ac,track,species,fold,r2,rmse,mae
ACOLITE,ACOLITE_only,Alexandrium_catenella,0,0.42999,916.00071,478.84079
ACOLITE,ACOLITE_only,Alexandrium_catenella,1,0.39941,1155.67708,497.09223
ACOLITE,ACOLITE_only,Alexandrium_catenella,2,0.41427,736.02685,435.44859
ACOLITE,ACOLITE_only,Alexandrium_catenella,3,0.38691,887.02763,494.11292
ACOLITE,ACOLITE_only,Alexandrium_catenella,4,0.42033,1022.71833,531.1135
ACOLITE,ACOLITE_only,Alexandrium_catenella,5,0.36877,964.70321,468.75074
ACOLITE,ACOLITE_only,Alexandrium_catenella,6,0.35746,1247.36529,542.19405
ACOLITE,ACOLITE_only,Alexandrium_catenella,7,0.43227,1126.21928,545.77637
ACOLITE,ACOLITE_only,Alexandrium_catenella,8,0.40982,964.48479,482.18517
ACOLITE,ACOLITE_only,Alexandrium_catenella,9,0.37282,1049.98719,512.54994
ACOLITE,ACOLITE_only,Alexandrium_catenella,10,0.4273,975.47506,541.73368
ACOLITE,ACOLITE_only,Alexandrium_catenella,11,0.37793,1171.89811,486.83278
ACOLITE,ACOLITE_only,Alexandrium_catenella,12,0.36254,1095.81279,501.63903
ACOLITE,ACOLITE_only,Alexandrium_catenella,13,0.41166,920.25649,471.24062
ACOLITE,ACOLITE_only,Alexandrium_catenella,14,0.39527,777.06757,455.66413
ACOLITE,ACOLITE_only,Alexandrium_catenella,15,0.42154,1227.05577,545.72287
ACOLITE,ACOLITE_only,Alexandrium_catenella,16,0.3361,2206.33183,579.16663
ACOLITE,ACOLITE_only,Alexandrium_catenella,17,0.37398,789.40956,437.78143
ACOLITE,ACOLITE_only,Alexandrium_catenella,18,0.31996,1350.67468,517.94878
ACOLITE,ACOLITE_only,Alexandrium_catenella,19,0.43271,2130.09418,541.23002
ACOLITE,ACOLITE_only,Alexandrium_catenella,20,0.41963,1138.75728,499.19602
ACOLITE,ACOLITE_only,Alexandrium_catenella,21,0.4654,1098.50415,508.1576
ACOLITE,ACOLITE_only,Alexandrium_catenella,22,0.35505,1176.99304,489.47757
ACOLITE,ACOLITE_only,Alexandrium_catenella,23,0.41159,826.02125,453.77383
ACOLITE,ACOLITE_only,Alexandrium_catenella,24,0.43491,1126.97765,556.08031
ACOLITE,ACOLITE_only,Alexandrium_catenella,25,0.41184,858.97356,462.17782
ACOLITE,ACOLITE_only,Alexandrium_catenella,26,0.38601,2082.87517,561.6184
ACOLITE,ACOLITE_only,Alexandrium_catenella,27,0.44338,1082.22125,525.66678
ACOLITE,ACOLITE_only,Alexandrium_catenella,28,0.29663,1208.60103,434.62782
ACOLITE,ACOLITE_only,Alexandrium_catenella,29,0.4727,1475.79543,570.18456
ACOLITE,ACOLITE_only,Alexandrium_catenella,30,0.36682,739.77889,455.04528
ACOLITE,ACOLITE_only,Alexandrium_catenella,31,0.32552,1190.58923,511.86128
ACOLITE,ACOLITE_only,Alexandrium_catenella,32,0.38791,829.74817,485.11519
ACOLITE,ACOLITE_only,Alexandrium_catenella,33,0.39644,756.94415,433.16779
ACOLITE,ACOLITE_only,Alexandrium_catenella,34,0.37333,990.81674,516.98175
ACOLITE,ACOLITE_only,Alexandrium_catenella,35,0.38415,861.2525,444.1737
ACOLITE,ACOLITE_only,Alexandrium_catenella,36,0.38341,973.62033,456.98128
ACOLITE,ACOLITE_only,Alexandrium_catenella,37,0.3636,1320.31814,540.10205
ACOLITE,ACOLITE_only,Alexandrium_catenella,38,0.43713,2158.19559,578.52882
ACOLITE,ACOLITE_only,Alexandrium_catenella,39,0.4437,748.48118,439.62001
ACOLITE,ACOLITE_only,Alexandrium_catenella,40,0.45968,2284.51329,630.81863
ACOLITE,ACOLITE_only,Alexandrium_catenella,41,0.34832,1163.98117,544.63343
ACOLITE,ACOLITE_only,Alexandrium_catenella,42,0.39349,2511.27277,606.54631
ACOLITE,ACOLITE_only,Alexandrium_catenella,43,0.35487,1015.10882,472.87083
ACOLITE,ACOLITE_only,Alexandrium_catenella,44,0.44273,2194.85037,595.05093
ACOLITE,ACOLITE_only,Alexandrium_catenella,45,0.41929,770.96323,419.65032
ACOLITE,ACOLITE_only,Alexandrium_catenella,46,0.42311,2076.96294,544.18077
ACOLITE,ACOLITE_only,Alexandrium_catenella,47,0.39976,962.28861,524.17277
ACOLITE,ACOLITE_only,Alexandrium_catenella,48,0.41155,820.9072,443.82197
ACOLITE,ACOLITE_only,Alexandrium_catenella,49,0.43799,777.64894,438.6653
ACOLITE,ACOLITE_roms,Alexandrium_catenella,0,0.46617,917.54418,475.96424
ACOLITE,ACOLITE_roms,Alexandrium_catenella,1,0.44497,1208.29058,481.48265
ACOLITE,ACOLITE_roms,Alexandrium_catenella,2,0.43961,698.448,431.43435
ACOLITE,ACOLITE_roms,Alexandrium_catenella,3,0.42908,829.21629,469.16624
ACOLITE,ACOLITE_roms,Alexandrium_catenella,4,0.4612,1073.60304,518.54852
ACOLITE,ACOLITE_roms,Alexandrium_catenella,5,0.45451,828.66784,427.59692
ACOLITE,ACOLITE_roms,Alexandrium_catenella,6,0.40036,1236.87754,534.24693
ACOLITE,ACOLITE_roms,Alexandrium_catenella,7,0.44811,1168.69071,551.53655
ACOLITE,ACOLITE_roms,Alexandrium_catenella,8,0.4867,852.34293,459.32222
ACOLITE,ACOLITE_roms,Alexandrium_catenella,9,0.41942,1039.49611,494.17853
ACOLITE,ACOLITE_roms,Alexandrium_catenella,10,0.46512,1066.20778,536.03778
ACOLITE,ACOLITE_roms,Alexandrium_catenella,11,0.42052,1252.75957,484.56285
ACOLITE,ACOLITE_roms,Alexandrium_catenella,12,0.40203,1216.04341,508.23679
ACOLITE,ACOLITE_roms,Alexandrium_catenella,13,0.46281,913.53044,451.72662
ACOLITE,ACOLITE_roms,Alexandrium_catenella,14,0.43157,755.03837,442.75384
ACOLITE,ACOLITE_roms,Alexandrium_catenella,15,0.45468,1311.43871,528.01102
ACOLITE,ACOLITE_roms,Alexandrium_catenella,16,0.3544,2322.53248,574.79845
ACOLITE,ACOLITE_roms,Alexandrium_catenella,17,0.43286,787.31761,429.98265
ACOLITE,ACOLITE_roms,Alexandrium_catenella,18,0.40741,1319.38361,477.88221
ACOLITE,ACOLITE_roms,Alexandrium_catenella,19,0.46931,2170.86469,527.5421
ACOLITE,ACOLITE_roms,Alexandrium_catenella,20,0.45418,1086.59543,484.70128
ACOLITE,ACOLITE_roms,Alexandrium_catenella,21,0.47071,1102.85104,502.50734
ACOLITE,ACOLITE_roms,Alexandrium_catenella,22,0.43434,1131.93154,458.98812
ACOLITE,ACOLITE_roms,Alexandrium_catenella,23,0.45594,709.58869,432.08856
ACOLITE,ACOLITE_roms,Alexandrium_catenella,24,0.45755,1051.78872,549.02542
ACOLITE,ACOLITE_roms,Alexandrium_catenella,25,0.42244,886.59882,462.06805
ACOLITE,ACOLITE_roms,Alexandrium_catenella,26,0.43614,2147.6168,547.77273
ACOLITE,ACOLITE_roms,Alexandrium_catenella,27,0.47185,1097.58535,529.6386
ACOLITE,ACOLITE_roms,Alexandrium_catenella,28,0.30271,1227.05569,428.57175
ACOLITE,ACOLITE_roms,Alexandrium_catenella,29,0.51422,1515.08215,551.72758
ACOLITE,ACOLITE_roms,Alexandrium_catenella,30,0.39177,765.37857,458.40766
ACOLITE,ACOLITE_roms,Alexandrium_catenella,31,0.37414,1183.94775,489.37011
ACOLITE,ACOLITE_roms,Alexandrium_catenella,32,0.45244,772.30216,464.59017
ACOLITE,ACOLITE_roms,Alexandrium_catenella,33,0.44873,730.22408,416.91493
ACOLITE,ACOLITE_roms,Alexandrium_catenella,34,0.43391,905.24497,489.84432
ACOLITE,ACOLITE_roms,Alexandrium_catenella,35,0.42309,792.75661,422.92772
ACOLITE,ACOLITE_roms,Alexandrium_catenella,36,0.4271,1009.88073,449.50796
ACOLITE,ACOLITE_roms,Alexandrium_catenella,37,0.45479,1269.03549,512.40486
ACOLITE,ACOLITE_roms,Alexandrium_catenella,38,0.46987,2177.19867,567.34728
ACOLITE,ACOLITE_roms,Alexandrium_catenella,39,0.45606,931.9805,451.13816
ACOLITE,ACOLITE_roms,Alexandrium_catenella,40,0.51387,2292.63418,619.19122
ACOLITE,ACOLITE_roms,Alexandrium_catenella,41,0.43058,1100.19185,498.24818
ACOLITE,ACOLITE_roms,Alexandrium_catenella,42,0.4417,2510.67401,598.41057
ACOLITE,ACOLITE_roms,Alexandrium_catenella,43,0.41387,994.21808,447.02643
ACOLITE,ACOLITE_roms,Alexandrium_catenella,44,0.45206,2275.39509,594.06106
ACOLITE,ACOLITE_roms,Alexandrium_catenella,45,0.44421,905.8378,417.18601
ACOLITE,ACOLITE_roms,Alexandrium_catenella,46,0.45538,2171.22364,544.79448
ACOLITE,ACOLITE_roms,Alexandrium_catenella,47,0.46985,903.38433,492.25401
ACOLITE,ACOLITE_roms,Alexandrium_catenella,48,0.45082,805.54495,426.68081
ACOLITE,ACOLITE_roms,Alexandrium_catenella,49,0.48376,853.90939,436.41502
ACOLITE,ACOLITE_only,Dinophysis_acuminata,0,0.559,756.33781,392.28104
ACOLITE,ACOLITE_only,Dinophysis_acuminata,1,0.52522,9994.00822,743.53241
ACOLITE,ACOLITE_only,Dinophysis_acuminata,2,0.53547,2341.13257,509.65584
ACOLITE,ACOLITE_only,Dinophysis_acuminata,3,0.52912,1845.28786,501.90655
ACOLITE,ACOLITE_only,Dinophysis_acuminata,4,0.4864,1973.60779,521.36158
ACOLITE,ACOLITE_only,Dinophysis_acuminata,5,0.56087,1829.51312,551.10982
ACOLITE,ACOLITE_only,Dinophysis_acuminata,6,0.55758,10324.22151,829.12157
ACOLITE,ACOLITE_only,Dinophysis_acuminata,7,0.54478,6402.52245,723.54852
ACOLITE,ACOLITE_only,Dinophysis_acuminata,8,0.53426,1494.55239,498.89284
ACOLITE,ACOLITE_only,Dinophysis_acuminata,9,0.45214,10281.45892,907.86953
ACOLITE,ACOLITE_only,Dinophysis_acuminata,10,0.53526,6177.25504,678.69971
