ac,species,n_bloom,warning_thr,cv_r2_mean_only,cv_r2_std_only,cv_r2_mean_roms,cv_r2_std_roms,delta_r2,cv_rmse_mean_only,cv_rmse_std_only,cv_rmse_mean_roms,cv_rmse_std_roms,delta_rmse
ACOLITE,Pseudo-nitzschia,2132,2000,0.38076,0.03559,0.4778,0.04282,0.09704,17599.82159,5876.22165,12848.01458,4041.47903,-4751.80701
ACOLITE,Karenia,2518,1000,0.50455,0.02202,0.58741,0.02206,0.08286,3679.18381,668.15998,3262.67047,667.44557,-416.51334
ACOLITE,Alexandrium_catenella,1706,100,0.39802,0.03825,0.44118,0.03577,0.04316,1198.76497,474.27456,1205.51902,495.85765,6.75405
ACOLITE,Dinophysis_acuminata,3897,200,0.53782,0.027,0.57111,0.02463,0.03329,3917.7176,3535.22051,3899.74456,3535.87383,-17.97304
ACOLITE,Dinophysis_norvegica,1276,200,0.33944,0.04827,0.36749,0.04371,0.02805,194.23798,23.26978,190.25231,21.97323,-3.98567
Baseline,Pseudo-nitzschia,2132,2000,0.3199,0.03344,0.48052,0.0408,0.16062,18365.17023,6072.889,12058.16137,3579.15783,-6307.00886
Baseline,Karenia,2518,1000,0.44883,0.02526,0.56859,0.02368,0.11976,3813.50059,664.91667,3291.7951,674.1501,-521.70549
Baseline,Alexandrium_catenella,1706,100,0.3726,0.03951,0.43538,0.04087,0.06278,1210.95445,477.61081,1198.04259,509.28533,-12.91186
Baseline,Dinophysis_acuminata,3897,200,0.51215,0.0268,0.55616,0.02349,0.04401,3946.52272,3471.47329,3901.62104,3484.83226,-44.90168
Baseline,Dinophysis_norvegica,1276,200,0.35195,0.04716,0.37715,0.04402,0.0252,191.81808,21.63799,188.77288,21.35971,-3.0452
C2RCC,Pseudo-nitzschia,2132,2000,0.25724,0.03245,0.45245,0.04379,0.19521,18498.24296,5960.29286,13221.34275,4061.50426,-5276.90021
C2RCC,Karenia,2518,1000,0.41278,0.02299,0.5587,0.02269,0.14592,3865.61863,646.36862,3326.84963,657.8726,-538.769
C2RCC,Alexandrium_catenella,1706,100,0.27094,0.02973,0.38924,0.03957,0.1183,1351.64005,498.61913,1272.89371,519.74638,-78.74634
C2RCC,Dinophysis_acuminata,3897,200,0.41473,0.02649,0.49738,0.02702,0.08265,4047.34432,3473.1805,3972.06871,3505.4754,-75.27561
C2RCC,Dinophysis_norvegica,1276,200,0.24108,0.04779,0.31875,0.04356,0.07767,207.45866,22.53939,200.4285,23.70672,-7.03016
