ac,track,species,warning_thr,n_bloom,cv_r2_mean,cv_r2_median,cv_r2_std,cv_rmse_mean,cv_rmse_median,cv_rmse_std,cv_mae_mean,cv_mae_median,cv_mae_std,n_folds
ACOLITE,ACOLITE_only,Alexandrium_catenella,100,1706,0.39802,0.39958,0.03825,1198.76497,1066.10422,474.27456,504.19947,500.41752,50.84149,50
ACOLITE,ACOLITE_roms,Alexandrium_catenella,100,1706,0.44118,0.44842,0.03577,1205.51902,1069.90541,495.85765,490.97644,484.63207,51.81178,50
ACOLITE,ACOLITE_only,Dinophysis_acuminata,200,3897,0.53782,0.53726,0.027,3917.7176,1849.68449,3535.22051,572.42551,500.3997,153.46875,50
ACOLITE,ACOLITE_roms,Dinophysis_acuminata,200,3897,0.57111,0.57568,0.02463,3899.74456,1872.40437,3535.87383,564.68016,492.02903,153.45445,50
ACOLITE,ACOLITE_only,Dinophysis_norvegica,200,1276,0.33944,0.33669,0.04827,194.23798,190.61864,23.26978,124.18751,123.19529,10.08276,50
ACOLITE,ACOLITE_roms,Dinophysis_norvegica,200,1276,0.36749,0.3798,0.04371,190.25231,186.72078,21.97323,122.47288,122.56901,9.12699,50
ACOLITE,ACOLITE_only,Karenia,1000,2518,0.50455,0.50648,0.02202,3679.18381,3589.47228,668.15998,2094.63804,2083.02606,105.05552,50
ACOLITE,ACOLITE_roms,Karenia,1000,2518,0.58741,0.5896,0.02206,3262.67047,3161.329,667.44557,1872.9984,1882.28512,100.19296,50
ACOLITE,ACOLITE_only,Pseudo-nitzschia,2000,2132,0.38076,0.38757,0.03559,17599.82159,17537.07905,5876.22165,5139.17653,5113.8237,677.8078,50
ACOLITE,ACOLITE_roms,Pseudo-nitzschia,2000,2132,0.4778,0.47786,0.04282,12848.01458,12922.83055,4041.47903,4481.3679,4389.08832,507.4835,50
Baseline,Baseline_only,Alexandrium_catenella,100,1706,0.3726,0.37405,0.03951,1210.95445,1064.90582,477.61081,503.32084,503.11818,49.99317,50
Baseline,Baseline_roms,Alexandrium_catenella,100,1706,0.43538,0.43953,0.04087,1198.04259,1047.59865,509.28533,486.49209,486.77312,52.96157,50
Baseline,Baseline_only,Dinophysis_acuminata,200,3897,0.51215,0.50862,0.0268,3946.52272,2027.48637,3471.47329,592.35866,531.71999,152.53052,50
Baseline,Baseline_roms,Dinophysis_acuminata,200,3897,0.55616,0.55535,0.02349,3901.62104,2030.07728,3484.83226,574.68583,503.41975,151.49377,50
Baseline,Baseline_only,Dinophysis_norvegica,200,1276,0.35195,0.35725,0.04716,191.81808,189.56362,21.63799,122.11192,121.25126,9.19893,50
Baseline,Baseline_roms,Dinophysis_norvegica,200,1276,0.37715,0.37916,0.04402,188.77288,184.54369,21.35971,121.012,119.58993,8.81802,50
Baseline,Baseline_only,Karenia,1000,2518,0.44883,0.44638,0.02526,3813.50059,3758.23901,664.91667,2187.6422,2178.11955,118.81006,50
Baseline,Baseline_roms,Karenia,1000,2518,0.56859,0.56788,0.02368,3291.7951,3156.47771,674.1501,1925.88085,1919.17177,107.28114,50
Baseline,Baseline_only,Pseudo-nitzschia,2000,2132,0.3199,0.31983,0.03344,18365.17023,18835.37295,6072.889,5399.56656,5456.82086,722.9557,50
Baseline,Baseline_roms,Pseudo-nitzschia,2000,2132,0.48052,0.48038,0.0408,12058.16137,12079.97542,3579.15783,4457.2994,4428.49962,501.90289,50
C2RCC,C2RCC_only,Alexandrium_catenella,100,1706,0.27094,0.26937,0.02973,1351.64005,1222.15428,498.61913,555.42746,552.22126,58.1111,50
C2RCC,C2RCC_roms,Alexandrium_catenella,100,1706,0.38924,0.3925,0.03957,1272.89371,1144.72248,519.74638,510.00472,505.57931,54.78639,50
C2RCC,C2RCC_only,Dinophysis_acuminata,200,3897,0.41473,0.41111,0.02649,4047.34432,2104.16649,3473.1805,639.47702,570.17221,153.35446,50
C2RCC,C2RCC_roms,Dinophysis_acuminata,200,3897,0.49738,0.49975,0.02702,3972.06871,2043.12522,3505.4754,609.13873,536.87307,155.79981,50
C2RCC,C2RCC_only,Dinophysis_norvegica,200,1276,0.24108,0.2426,0.04779,207.45866,204.39229,22.53939,131.61439,131.19164,9.63178,50
C2RCC,C2RCC_roms,Dinophysis_norvegica,200,1276,0.31875,0.31734,0.04356,200.4285,200.40964,23.70672,126.83316,126.05803,9.48959,50
C2RCC,C2RCC_only,Karenia,1000,2518,0.41278,0.41402,0.02299,3865.61863,3786.08677,646.36862,2218.77729,2203.00224,113.498,50
C2RCC,C2RCC_roms,Karenia,1000,2518,0.5587,0.55799,0.02269,3326.84963,3198.73111,657.8726,1947.48104,1928.02362,105.33178,50
C2RCC,C2RCC_only,Pseudo-nitzschia,2000,2132,0.25724,0.25939,0.03245,18498.24296,18902.45447,5960.29286,5606.54563,5653.64435,698.80134,50
C2RCC,C2RCC_roms,Pseudo-nitzschia,2000,2132,0.45245,0.45871,0.04379,13221.34275,12890.05354,4061.50426,4670.05444,4585.12959,507.80715,50
