feature,Alexandrium_catenella_perm_mean,Alexandrium_catenella_perm_std,Dinophysis_acuminata_perm_mean,Dinophysis_acuminata_perm_std,Dinophysis_norvegica_perm_mean,Dinophysis_norvegica_perm_std,Karenia_perm_mean,Karenia_perm_std,Pseudo-nitzschia_perm_mean,Pseudo-nitzschia_perm_std
A_GLH,0.03367,0.00349,0.35554,0.01944,0.09492,0.02969,0.11049,0.01519,0.07727,0.01865
A_MCI,0.05955,0.00657,0.04532,0.00695,0.02747,0.0077,0.05333,0.00529,0.09385,0.01525
A_BlueGreen_Ratio,0.02889,0.00493,0.00875,0.00589,0.02834,0.00806,0.15089,0.01379,0.05292,0.01009
A_FLH_665,0.02656,0.00371,0.03444,0.00581,0.02666,0.00584,0.10762,0.01633,0.04648,0.01206
A_Red_NIR_Ratio,0.10232,0.01405,0.0281,0.00327,0.02083,0.00781,0.01623,0.00527,0.04624,0.00742
A_BLH,0.06842,0.00941,0.03469,0.00697,0.03104,0.01303,0.02103,0.00475,0.03939,0.00944
A_rrs_560,0.01213,0.00424,0.01841,0.00369,0.01015,0.00523,0.0275,0.00614,0.08261,0.01487
A_rrs_490,0.06092,0.0077,0.02212,0.00508,0.01029,0.00444,0.00442,0.00368,0.02363,0.00466
A_CI,0.01036,0.00367,0.01594,0.00522,0.01995,0.00736,0.02366,0.00445,0.04656,0.00922
A_rrs_865,0.03566,0.01124,0.00315,0.0029,0.03806,0.01181,0.01858,0.00849,0.01849,0.00396
A_Blue_Red_Ratio,0.03185,0.00837,0.03427,0.00665,0.00172,0.00511,0.01784,0.00616,0.02587,0.0078
A_EBI,0.02365,0.00399,0.01072,0.00346,0.03321,0.00784,0.01918,0.00421,0.02269,0.00587
A_rrs_412,0.0205,0.00482,0.01507,0.00335,0.01003,0.00536,0.03075,0.00516,0.01694,0.00904
A_NDCI,0.02666,0.00439,0.01268,0.00356,0.00448,0.00609,0.01664,0.00388,0.02278,0.00621
A_rrs_682,0.02802,0.00385,0.01455,0.00342,-0.00204,0.00598,0.02376,0.00372,0.01651,0.00512
A_DINI,0.01135,0.00396,0.00418,0.00163,0.00171,0.0013,0.04323,0.00594,0.01696,0.00597
A_GBI,0.02312,0.00377,0.00023,0.00166,0.01358,0.00386,0.0187,0.00429,0.01949,0.00493
A_rrs_754,0.01614,0.00294,0.00527,0.00184,0.0088,0.00344,0.00893,0.00346,0.03302,0.00712
A_FLH_681,0.03301,0.00547,0.00886,0.0021,-0.00067,0.00337,0.00263,0.00278,0.0276,0.00559
A_RBD,0.01213,0.00226,0.02289,0.00182,0.00172,0.00222,0.01053,0.00269,0.01316,0.00384
A_KBBI,0.03412,0.00742,0.01237,0.00375,-0.0041,0.00168,0.00844,0.00323,0.00925,0.00256
A_rrs_709,0.01823,0.00561,0.00819,0.00288,0.00417,0.00331,0.0042,0.00287,0.02411,0.00399
A_NDWI,0.02918,0.00486,0.00971,0.00457,0.00761,0.00365,0.00476,0.00317,0.00754,0.00434
A_FLHmax,0.01921,0.0053,0.01031,0.00212,0.00565,0.00255,0.00671,0.00188,0.01254,0.00368
A_rrs_665,0.02512,0.00667,0.00494,0.00142,0.00651,0.00391,0.00062,0.00224,0.01691,0.00478
A_NDNI,0.01773,0.00451,0.00777,0.00307,-0.00147,0.00662,0.00046,0.00523,0.02289,0.00476
A_Green_Red_Ratio,0.00113,0.00109,0.0011,0.00125,0.00582,0.00204,0.00029,0.00057,0.00614,0.00208
A_RedEdge_Ratio,0.0,0.0,0.0,0.0,0.0,0.0,0.0018,0.00088,-0.00037,0.00023
A_Fluorescence_Peak,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
