feature,Alexandrium_catenella_perm_mean,Alexandrium_catenella_perm_std,Dinophysis_acuminata_perm_mean,Dinophysis_acuminata_perm_std,Dinophysis_norvegica_perm_mean,Dinophysis_norvegica_perm_std,Karenia_perm_mean,Karenia_perm_std,Pseudo-nitzschia_perm_mean,Pseudo-nitzschia_perm_std
roms_salt_sur,0.1009,0.0109,0.08196,0.00688,0.07803,0.02048,0.18565,0.01754,0.23444,0.02348
A_GLH,0.01406,0.00452,0.26966,0.01709,0.23118,0.0473,0.033,0.00628,0.05113,0.00901
roms_temp_sur,0.1481,0.02665,0.09239,0.00876,0.02752,0.00689,0.06449,0.00768,0.11108,0.0164
roms_zeta,0.02522,0.00233,0.00564,0.00271,0.00563,0.00448,0.10699,0.01341,0.01895,0.0028
A_BlueGreen_Ratio,0.01892,0.00302,0.02238,0.00272,0.02192,0.00579,0.05509,0.00603,0.03227,0.00375
A_Red_NIR_Ratio,0.07127,0.01313,0.01676,0.00204,0.02215,0.00483,0.00691,0.00153,0.01549,0.00374
A_MCI,0.03203,0.00502,0.03823,0.00758,0.01056,0.00372,0.01163,0.00258,0.01788,0.00447
A_BLH,0.02877,0.00695,0.04309,0.00567,0.01933,0.01138,0.01136,0.00331,0.00591,0.0036
A_FLH_665,0.01034,0.00366,0.02899,0.0058,0.01474,0.00639,0.02176,0.00383,0.02174,0.00684
roms_v_sur,0.02415,0.00467,0.00552,0.0034,0.01242,0.00445,0.02295,0.00476,0.01735,0.00353
roms_wind_speed,0.00953,0.00208,0.00785,0.00228,0.00333,0.00675,0.02167,0.00418,0.03138,0.01381
roms_current_speed,0.0084,0.00218,0.05594,0.00821,0.00108,0.00263,0.0039,0.00222,0.00318,0.0026
roms_Pair,0.01734,0.00282,0.00649,0.00184,0.00253,0.00405,0.02101,0.0018,0.02415,0.00911
A_NDCI,0.02175,0.00393,0.00663,0.00167,9e-05,0.00377,0.01216,0.00326,0.02491,0.0033
A_GBI,0.02505,0.00351,0.0012,0.00149,0.02653,0.00372,0.00364,0.00097,0.00303,0.00355
A_rrs_560,0.00905,0.00244,0.00473,0.00196,0.00086,0.00233,0.00689,0.00216,0.03306,0.00503
A_rrs_490,0.01575,0.00358,0.00822,0.00211,-0.00322,0.00312,0.00466,0.00187,0.02518,0.00483
A_rrs_412,0.0093,0.0025,0.00679,0.00309,-0.00098,0.00344,0.01378,0.00392,0.01857,0.00832
roms_wind_dir,0.01761,0.00397,0.0012,0.00118,-0.00091,0.00318,0.01721,0.00217,0.0116,0.00675
A_NDWI,0.02039,0.00486,0.01511,0.0041,0.00245,0.00086,0.00305,0.00155,0.00532,0.00183
roms_Vwind,0.01153,0.00404,0.00357,0.00157,0.01215,0.00428,0.00382,0.00159,0.01461,0.00528
A_rrs_682,0.01438,0.0036,0.01016,0.00232,0.00105,0.0015,0.00707,0.00139,0.01131,0.00279
A_KBBI,0.02022,0.00455,0.00279,0.00236,-0.00093,0.00231,0.00263,0.00086,0.01901,0.00319
A_rrs_865,0.0088,0.00335,0.00451,0.0018,0.01251,0.00729,0.00023,0.00121,0.01283,0.00394
roms_u_sur,0.00889,0.00284,0.00215,0.00163,0.00752,0.00488,0.00596,0.00358,0.01281,0.0038
A_FLHmax,0.00659,0.00191,0.011,0.0017,0.00892,0.00281,0.00323,0.00169,0.00601,0.00521
A_DINI,0.00827,0.00268,0.00279,0.00121,0.00148,0.0016,0.01503,0.00478,0.00586,0.0027
roms_current_dir,0.0077,0.0025,0.00829,0.00272,0.00474,0.00449,0.01102,0.00322,0.00096,0.00223
A_NDNI,0.00621,0.00311,0.00809,0.00234,0.00594,0.00376,0.00173,0.00088,0.01025,0.00269
A_EBI,0.00843,0.00315,0.00438,0.00091,0.00794,0.00365,0.00364,0.00145,0.00624,0.0038
A_CI,0.00569,0.00164,0.00973,0.00163,0.00851,0.00283,-0.00178,0.00171,0.00704,0.0021
roms_Uwind,0.00522,0.00164,0.00217,0.00238,-0.00159,0.01552,0.00631,0.00178,0.01542,0.00541
A_FLH_681,0.01828,0.00428,0.00882,0.00266,-0.00701,0.00299,0.00302,0.00153,0.00289,0.00265
A_RBD,0.00562,0.00133,0.00461,0.0015,0.00027,0.00225,0.00524,0.00175,0.00602,0.00306
A_rrs_754,0.00308,0.00178,0.00564,0.00184,0.00012,0.00231,0.0042,0.00183,0.00723,0.00243
A_Blue_Red_Ratio,0.00435,0.00264,0.00781,0.00224,0.0002,0.00407,0.00102,0.00175,0.00571,0.00234
A_rrs_709,0.00342,0.00215,0.00289,0.00117,0.00178,0.00328,0.00161,0.00098,0.00477,0.00169
A_rrs_665,0.0144,0.00323,-0.00176,0.00178,-0.00738,0.00348,-0.00056,0.00133,0.00593,0.00185
A_Green_Red_Ratio,0.00193,0.00108,0.00142,0.00118,0.00037,0.00087,-0.00028,0.00037,0.00059,0.00051
A_Fluorescence_Peak,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A_RedEdge_Ratio,-2e-05,5e-05,0.0,0.0,0.0,0.0,-0.0002,0.00014,0.0,0.0
