feature,Alexandrium_catenella_perm_mean,Alexandrium_catenella_perm_std,Dinophysis_acuminata_perm_mean,Dinophysis_acuminata_perm_std,Dinophysis_norvegica_perm_mean,Dinophysis_norvegica_perm_std,Karenia_perm_mean,Karenia_perm_std,Pseudo-nitzschia_perm_mean,Pseudo-nitzschia_perm_std
B_GLH,0.02579,0.00538,0.29347,0.0175,0.07761,0.02078,0.15558,0.00933,0.08748,0.01547
B_BLH,0.05524,0.01816,0.04524,0.00671,0.0459,0.01053,0.04279,0.00642,0.04787,0.00791
B_GBI,0.0151,0.00468,0.11546,0.00914,0.03658,0.01216,0.01526,0.00451,0.03041,0.0084
B_FLH_681,0.0746,0.00835,0.0902,0.00934,0.01305,0.01214,0.00341,0.00334,0.01512,0.00258
B_MCI,0.0512,0.00994,0.03821,0.00856,0.00604,0.00362,0.01441,0.0052,0.05449,0.01059
B_FLH_665,0.02828,0.00685,0.03375,0.00544,0.00438,0.00662,0.023,0.0034,0.05366,0.00949
B_EBI,0.03848,0.01006,0.02514,0.00328,0.01375,0.01015,0.02496,0.00394,0.03894,0.00955
B_rrs_412,0.04081,0.00762,0.018,0.00274,-0.0026,0.00944,0.02012,0.00382,0.06431,0.01143
B_Red_NIR_Ratio,0.07391,0.01017,0.00379,0.0036,-0.00612,0.00504,0.02685,0.00497,0.03257,0.00881
B_CI,0.01444,0.00791,0.0143,0.00298,0.00998,0.00482,0.02355,0.00803,0.05759,0.01278
B_FLHmax,0.03209,0.00701,0.02723,0.00606,0.01219,0.01076,0.01717,0.00304,0.02914,0.00416
B_rrs_560,0.00955,0.00372,0.01556,0.00365,0.00666,0.00382,0.03454,0.00399,0.02298,0.00472
B_DINI,0.01227,0.00756,0.0237,0.00567,0.00141,0.00578,0.02598,0.00486,0.02309,0.00658
B_NDWI,0.0229,0.00351,0.00628,0.00356,-0.00635,0.00675,0.02411,0.00617,0.0323,0.00546
B_NDCI,0.02244,0.00761,0.01627,0.00288,-0.00284,0.00818,0.00332,0.00468,0.03922,0.00683
B_rrs_490,0.01045,0.00486,0.01025,0.00398,0.00569,0.00402,0.04168,0.00799,0.00984,0.00466
B_KBBI,0.01802,0.00545,0.0054,0.00243,0.01181,0.00496,0.0196,0.00394,0.02053,0.00583
B_rrs_865,0.00838,0.00726,0.00741,0.00322,0.00693,0.00489,0.02116,0.00669,0.02464,0.00494
B_Blue_Red_Ratio,0.01697,0.00382,0.00965,0.00328,-0.0098,0.0082,0.02419,0.00835,0.0212,0.00546
B_BlueGreen_Ratio,0.01564,0.00397,0.0123,0.00388,-0.00792,0.00678,0.0256,0.00372,0.01498,0.00248
B_NDNI,0.00945,0.01064,0.01727,0.00332,0.0082,0.00286,0.0177,0.00454,0.00644,0.00254
B_RBD,-0.00092,0.00511,0.02662,0.00554,0.00615,0.00469,0.01117,0.00375,0.01451,0.00386
B_rrs_709,0.00375,0.00276,0.01673,0.00485,0.00833,0.0039,0.00566,0.00329,0.01642,0.00438
B_rrs_682,0.0217,0.00633,0.00822,0.00388,-0.00548,0.00341,0.0008,0.00167,0.01544,0.00402
B_rrs_673,0.00329,0.00216,0.01098,0.00307,0.00822,0.00244,0.00529,0.00128,0.01226,0.00597
B_rrs_754,0.02282,0.0055,0.00461,0.00335,-0.00047,0.00281,0.00688,0.00349,0.00514,0.00283
B_rrs_665,0.00785,0.00327,0.00197,0.00371,0.00092,0.00354,-0.00166,0.00207,0.01776,0.00435
B_Green_Red_Ratio,0.00289,0.00165,0.00061,0.00103,0.00698,0.00219,0.00176,0.00185,0.00441,0.00284
B_RedEdge_Ratio,0.00061,0.00127,0.00161,0.00062,-0.00021,0.00073,9e-05,0.00012,-0.00011,7e-05
B_Fluorescence_Peak,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
