feature,Alexandrium_catenella_perm_mean,Alexandrium_catenella_perm_std,Dinophysis_acuminata_perm_mean,Dinophysis_acuminata_perm_std,Dinophysis_norvegica_perm_mean,Dinophysis_norvegica_perm_std,Karenia_perm_mean,Karenia_perm_std,Pseudo-nitzschia_perm_mean,Pseudo-nitzschia_perm_std
roms_salt_sur,0.09775,0.00873,0.0988,0.01119,0.11751,0.02361,0.19362,0.02159,0.24921,0.02764
roms_temp_sur,0.12429,0.01925,0.0668,0.00481,0.04134,0.00853,0.05951,0.00739,0.13803,0.017
B_GLH,0.02415,0.00375,0.17166,0.01259,0.05583,0.015,0.05198,0.00622,0.05633,0.00965
B_GBI,0.00109,0.00234,0.07127,0.00658,0.0939,0.02533,0.00158,0.0011,0.01001,0.00306
roms_zeta,0.02554,0.00312,0.01446,0.00288,-0.00156,0.00369,0.07706,0.01434,0.05027,0.00517
B_FLH_681,0.04677,0.00714,0.05052,0.00576,0.03891,0.01073,0.0042,0.00214,0.01363,0.00294
B_BLH,0.02762,0.00681,0.02382,0.00496,0.0352,0.0082,0.01456,0.00396,0.01919,0.00286
B_FLHmax,0.03101,0.0064,0.01591,0.00381,0.02551,0.00577,0.01033,0.00259,0.02056,0.004
roms_v_sur,0.02968,0.00616,0.00487,0.00223,0.00442,0.00333,0.05554,0.00902,0.00812,0.00292
roms_Pair,0.02319,0.00526,0.0071,0.0021,0.00754,0.00616,0.02929,0.00414,0.01591,0.00667
B_CI,0.01565,0.00601,0.00177,0.00289,0.02866,0.0089,0.00114,0.00158,0.03314,0.00391
roms_wind_speed,0.00553,0.0024,0.00291,0.0018,0.01435,0.00567,0.02428,0.00346,0.03238,0.01435
B_EBI,0.03019,0.00591,0.00844,0.00216,0.02057,0.00742,0.00355,0.00142,0.01514,0.00431
B_MCI,0.03748,0.00616,0.02718,0.00584,0.00199,0.00202,0.00189,0.00158,0.00634,0.00294
roms_current_speed,0.00778,0.00199,0.04625,0.00501,-3e-05,0.00165,0.00509,0.00305,0.01349,0.00309
B_FLH_665,0.01728,0.00695,0.01897,0.0039,0.00978,0.00585,0.00237,0.00145,0.02234,0.00557
B_rrs_412,0.02244,0.00419,0.01647,0.00274,0.00612,0.00273,0.00627,0.00214,0.01134,0.0033
B_rrs_560,0.02062,0.00609,0.00964,0.00274,0.00976,0.00358,0.00303,0.00174,0.01454,0.00342
B_BlueGreen_Ratio,0.00588,0.00324,0.01721,0.00404,0.00415,0.00494,0.01207,0.00363,0.01229,0.00312
B_DINI,0.00815,0.00214,0.01143,0.00259,0.00059,0.00452,0.01939,0.0049,0.00764,0.00262
roms_wind_dir,0.0171,0.0065,0.00187,0.00134,0.00305,0.00156,0.01502,0.0028,0.00728,0.00404
roms_u_sur,0.01076,0.00332,0.00046,0.00155,0.01025,0.00608,0.00953,0.00263,0.01006,0.00326
B_rrs_490,0.0114,0.00249,0.01262,0.00284,0.00513,0.00332,0.00209,0.00164,0.00982,0.00276
roms_Vwind,0.01872,0.00528,0.00061,0.0019,0.00438,0.00331,0.0063,0.00216,0.00641,0.00559
B_Green_Red_Ratio,0.00246,0.00117,0.00224,0.00075,0.00078,0.00113,0.0288,0.00587,0.00196,0.00121
B_Red_NIR_Ratio,0.01671,0.00331,0.00695,0.00227,-0.00426,0.00237,0.00451,0.00359,0.01149,0.00496
roms_current_dir,0.00958,0.00256,0.00901,0.00225,0.00038,0.00401,0.00399,0.00259,0.01098,0.00255
B_NDNI,0.00159,0.00385,0.00706,0.00262,0.01136,0.0031,0.00181,0.00154,0.00932,0.00312
B_NDWI,0.00518,0.00442,0.00356,0.00218,0.00543,0.0055,0.0015,0.00219,0.01393,0.00394
roms_Uwind,0.00914,0.00271,0.00485,0.00215,-0.00411,0.00913,0.00895,0.00108,0.01047,0.00366
B_RBD,-0.0034,0.00252,0.01131,0.00244,0.00039,0.00284,0.00353,0.00181,0.01476,0.00271
B_NDCI,0.00396,0.00487,0.00334,0.00169,-0.00012,0.00173,0.0005,0.00184,0.0174,0.00286
B_rrs_754,0.00447,0.00142,0.00733,0.00269,0.00242,0.00242,0.00262,0.00142,0.00561,0.00205
B_rrs_865,0.00496,0.00482,0.00543,0.00271,-0.00069,0.00189,0.00104,0.00199,0.01071,0.00314
B_KBBI,0.00518,0.00204,0.00443,0.00176,0.00377,0.00304,0.00029,0.0022,0.00709,0.00227
B_rrs_665,0.00124,0.00227,0.01176,0.00332,0.00492,0.00308,0.00226,0.00201,0.00016,0.00121
B_rrs_709,0.00262,0.00105,0.00965,0.00278,0.00188,0.00245,0.0004,0.00295,0.00524,0.00204
B_rrs_682,0.00122,0.00436,0.00741,0.00132,0.00078,0.00168,-0.0017,0.00132,0.01033,0.00301
B_rrs_673,-0.00249,0.00172,0.00355,0.00115,0.00263,0.00136,0.00719,0.00128,0.00042,0.00052
B_Blue_Red_Ratio,0.00179,0.00387,0.00415,0.00114,-0.00455,0.00262,0.00022,0.00158,0.00686,0.00237
B_RedEdge_Ratio,-0.00013,0.00092,0.00437,0.00074,0.0,0.0,-7e-05,0.0001,-0.0,0.00013
B_Fluorescence_Peak,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
