feature,Alexandrium_catenella_perm_mean,Alexandrium_catenella_perm_std,Dinophysis_acuminata_perm_mean,Dinophysis_acuminata_perm_std,Dinophysis_norvegica_perm_mean,Dinophysis_norvegica_perm_std,Karenia_perm_mean,Karenia_perm_std,Pseudo-nitzschia_perm_mean,Pseudo-nitzschia_perm_std
C_RBD,0.02985,0.00594,0.11943,0.01312,0.00815,0.00399,0.04301,0.0092,0.04439,0.01108
C_GLH,0.01032,0.0049,0.05389,0.00844,0.1236,0.02561,0.02763,0.00528,0.02205,0.00633
C_KBBI,0.01723,0.00757,0.08233,0.00738,0.02256,0.00389,0.04502,0.00773,0.05686,0.00763
C_MCI,0.11161,0.02029,0.04529,0.00861,0.01978,0.00864,0.01975,0.00446,0.02581,0.00481
C_rrs_412,0.01954,0.00581,0.07261,0.01012,0.02898,0.01095,0.04397,0.00536,0.05014,0.00803
C_FLH_681,0.01372,0.00864,0.1184,0.01292,0.02332,0.00595,0.01354,0.0034,0.01308,0.00465
C_rrs_560,0.02555,0.00817,0.06326,0.00688,0.02666,0.00883,0.03233,0.00486,0.02888,0.00617
C_BLH,0.03784,0.01013,0.04509,0.00698,0.01513,0.00868,0.01704,0.00504,0.04459,0.00718
C_Red_NIR_Ratio,0.04405,0.00858,0.06503,0.00509,0.02293,0.01283,0.00527,0.00492,0.0176,0.00478
C_NDCI,0.0593,0.0088,0.03278,0.00517,0.01415,0.00845,0.01061,0.00381,0.03171,0.00675
C_rrs_490,0.02697,0.00739,0.04107,0.0055,0.01954,0.00637,0.02896,0.00701,0.02481,0.00447
C_CI,0.01158,0.00267,0.07078,0.00643,0.00294,0.0044,0.00909,0.00542,0.02894,0.00678
C_BlueGreen_Ratio,0.03639,0.00596,0.00328,0.00591,0.01684,0.01079,0.01921,0.00595,0.03397,0.00552
C_FLH_665,0.03173,0.00698,0.01963,0.00349,0.01709,0.00888,0.01712,0.00403,0.02193,0.01007
C_Blue_Red_Ratio,0.01592,0.00542,0.02364,0.00606,0.00774,0.00454,0.00671,0.00322,0.03023,0.00372
C_rrs_709,0.033,0.00803,0.0237,0.00331,0.01518,0.00416,7e-05,0.00181,0.00933,0.00257
C_FLHmax,0.01855,0.0051,0.02782,0.00547,0.00517,0.00256,0.01992,0.00516,0.00968,0.00477
C_rrs_865,0.01423,0.00572,0.04436,0.00478,0.00275,0.00341,0.00362,0.00537,0.01535,0.00595
C_rrs_673,0.02746,0.00558,0.02244,0.00476,-0.0002,0.00259,0.01961,0.00522,0.00995,0.0023
C_DINI,0.0124,0.0047,0.02627,0.00411,0.01006,0.00621,0.01451,0.00391,0.01543,0.00645
C_EBI,0.02833,0.00732,0.00583,0.00338,-0.01265,0.00562,0.02501,0.00608,0.02423,0.0042
C_NDWI,0.00229,0.00405,0.01992,0.00441,0.00153,0.00356,0.0096,0.0058,0.02437,0.00488
C_GBI,0.00927,0.00335,0.004,0.00345,0.0113,0.0033,0.00543,0.00238,0.02069,0.00521
C_NDNI,0.00047,0.00327,0.0137,0.0025,-0.00325,0.00382,0.01084,0.00336,0.02637,0.00338
C_rrs_682,0.00674,0.00701,0.02855,0.00449,0.00883,0.00286,0.00221,0.00393,0.00142,0.00174
C_rrs_665,0.01046,0.00483,0.01751,0.00307,-0.00186,0.00343,0.01064,0.00714,0.00994,0.0021
C_rrs_754,0.01575,0.0079,0.01889,0.00444,-0.00297,0.00294,-0.00253,0.00149,0.0131,0.00389
C_Green_Red_Ratio,0.00273,0.001,0.00095,0.00136,0.00193,0.00172,-0.00134,0.00145,0.00282,0.0013
C_RedEdge_Ratio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C_Fluorescence_Peak,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
