feature,Alexandrium_catenella_perm_mean,Alexandrium_catenella_perm_std,Dinophysis_acuminata_perm_mean,Dinophysis_acuminata_perm_std,Dinophysis_norvegica_perm_mean,Dinophysis_norvegica_perm_std,Karenia_perm_mean,Karenia_perm_std,Pseudo-nitzschia_perm_mean,Pseudo-nitzschia_perm_std
roms_salt_sur,0.09441,0.01202,0.12946,0.01417,0.11018,0.02476,0.20667,0.02277,0.22913,0.0244
roms_temp_sur,0.18908,0.0253,0.08035,0.00719,0.02245,0.00862,0.06313,0.00793,0.09342,0.01338
roms_zeta,0.01996,0.00229,0.0538,0.00713,0.00595,0.00818,0.08425,0.00934,0.13048,0.01223
C_GLH,0.01096,0.00394,0.02108,0.00406,0.13086,0.0385,0.02147,0.00605,0.00456,0.00485
C_RBD,0.01684,0.00392,0.07148,0.0085,0.01673,0.00639,0.0034,0.00175,0.01715,0.00331
C_rrs_560,0.01636,0.00497,0.02723,0.0048,0.06126,0.00881,0.01203,0.00283,0.00643,0.0035
C_BLH,0.02481,0.00743,0.02893,0.00423,0.01495,0.00583,0.02316,0.00411,0.01983,0.00483
C_MCI,0.04619,0.00986,0.03819,0.0064,-0.00033,0.00355,0.00032,0.00098,0.02227,0.00663
roms_wind_speed,0.0118,0.00216,0.00346,0.00176,0.00782,0.01388,0.02753,0.00456,0.04641,0.01792
C_KBBI,0.00583,0.00439,0.0441,0.00475,0.00371,0.00484,0.02107,0.00422,0.01713,0.00461
roms_v_sur,0.02625,0.00463,0.00725,0.00197,0.00279,0.00275,0.03251,0.00596,0.02248,0.00425
roms_current_speed,0.00743,0.00305,0.07169,0.01018,-0.00077,0.00237,-0.00334,0.00287,0.00856,0.0035
roms_Pair,0.01413,0.003,0.00523,0.00192,0.00419,0.00462,0.03139,0.00283,0.02664,0.00929
C_rrs_490,0.01858,0.00388,0.01736,0.00465,0.01771,0.00455,0.00629,0.00278,0.01843,0.00375
C_rrs_412,0.01082,0.00479,0.02121,0.00659,0.00864,0.00581,0.00295,0.00262,0.02122,0.00626
C_FLH_681,0.01271,0.0049,0.01186,0.00252,0.01238,0.00326,0.00696,0.00172,0.0206,0.00575
C_Blue_Red_Ratio,0.00612,0.00216,0.04165,0.00874,-0.00106,0.00302,0.00658,0.00206,0.00216,0.00214
C_NDCI,0.02079,0.00329,0.01042,0.00245,0.00274,0.00377,0.00174,0.00112,0.01771,0.00364
roms_u_sur,0.00521,0.00255,0.00138,0.00158,0.01234,0.0053,0.01939,0.00435,0.01444,0.00355
roms_Uwind,0.01404,0.00422,0.00602,0.00307,0.00763,0.00818,0.01144,0.0024,0.01272,0.00372
C_BlueGreen_Ratio,0.01857,0.00235,0.00475,0.00565,0.003,0.00372,0.00867,0.00232,0.01215,0.00357
C_rrs_865,0.00921,0.00473,0.03839,0.00302,-0.0028,0.00205,-0.00298,0.00144,0.00311,0.0017
C_Red_NIR_Ratio,0.01317,0.00412,0.01506,0.00213,0.01299,0.01181,0.00031,0.00119,0.00319,0.00291
C_GBI,0.00884,0.00156,0.00569,0.00246,0.02058,0.00299,0.00298,0.00109,0.00582,0.00255
roms_wind_dir,0.012,0.00591,-0.00133,0.00145,0.00028,0.00204,0.01551,0.00309,0.01435,0.00841
roms_current_dir,0.01271,0.00415,0.00524,0.00223,0.00357,0.00469,0.0091,0.00279,0.00592,0.00267
roms_Vwind,0.0288,0.00803,-0.00015,0.001,-0.0,0.00293,0.00556,0.00165,0.0017,0.00276
C_FLH_665,-0.00348,0.00294,0.01001,0.00266,0.00809,0.00378,0.00089,0.0013,0.01916,0.00561
C_CI,0.0095,0.00306,0.01515,0.00183,-0.00225,0.00249,-0.00243,0.00174,0.01385,0.0031
C_rrs_709,0.00869,0.00335,0.01373,0.00278,-0.00214,0.00206,0.00387,0.00152,0.00929,0.00569
C_DINI,0.00313,0.0029,0.00478,0.00266,0.01654,0.00538,0.00255,0.00284,0.0025,0.00227
C_NDWI,0.00322,0.00161,0.01078,0.00281,0.00469,0.00156,0.00111,0.00178,0.00742,0.00209
C_EBI,0.00959,0.00356,0.00093,0.00151,0.00136,0.00477,0.00306,0.00238,0.00938,0.00257
C_FLHmax,-0.00117,0.00184,0.01382,0.00361,0.00318,0.00169,0.00052,0.00149,0.00662,0.00273
C_rrs_682,0.00121,0.00216,0.0158,0.00343,0.00578,0.00196,0.00032,0.00147,-0.00085,0.00315
C_rrs_754,0.0109,0.00364,0.00843,0.00311,-0.00294,0.00169,-0.00213,0.00114,0.00789,0.00302
C_rrs_665,-0.00025,0.00246,0.01322,0.00271,-0.00127,0.00409,0.00839,0.00346,0.0017,0.00171
C_NDNI,0.00257,0.00179,-0.00121,0.00143,-0.00171,0.00169,0.00158,0.00247,0.01164,0.0027
C_Green_Red_Ratio,0.00098,0.00087,0.00232,0.0007,-0.00022,0.00044,-0.00017,0.00038,0.00253,0.00075
C_rrs_673,0.00048,0.00094,0.00321,0.00131,-0.00388,0.00158,0.00183,0.0016,0.00122,0.0013
C_RedEdge_Ratio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C_Fluorescence_Peak,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
