ac,track,tier,species,fold,f1,prauc,recall,precision
ACOLITE,ACOLITE_only,closure,Alexandrium_catenella,0,0.67511,0.77292,0.62257,0.73733
ACOLITE,ACOLITE_only,closure,Alexandrium_catenella,1,0.66105,0.7225,0.6255,0.70089
ACOLITE,ACOLITE_only,closure,Alexandrium_catenella,2,0.70757,0.81773,0.61786,0.82775
ACOLITE,ACOLITE_only,closure,Alexandrium_catenella,3,0.7093,0.79955,0.66304,0.7625
ACOLITE,ACOLITE_only,closure,Alexandrium_catenella,4,0.724,0.81724,0.65343,0.81166
ACOLITE,ACOLITE_only,closure,Alexandrium_catenella,5,0.70455,0.78838,0.63525,0.79082
ACOLITE,ACOLITE_only,closure,Alexandrium_catenella,6,0.72686,0.78496,0.67647,0.78537
ACOLITE,ACOLITE_only,closure,Alexandrium_catenella,7,0.70817,0.82093,0.65942,0.76471
ACOLITE,ACOLITE_only,closure,Alexandrium_catenella,8,0.72802,0.82208,0.63571,0.85167
ACOLITE,ACOLITE_only,closure,Alexandrium_catenella,9,0.68657,0.76706,0.6145,0.77778
ACOLITE,ACOLITE_only,closure,Alexandrium_catenella,10,0.71753,0.78241,0.68504,0.75325
ACOLITE,ACOLITE_only,closure,Alexandrium_catenella,11,0.69717,0.76926,0.65041,0.75117
ACOLITE,ACOLITE_only,closure,Alexandrium_catenella,12,0.70613,0.79495,0.62313,0.81463
ACOLITE,ACOLITE_only,closure,Alexandrium_catenella,13,0.69979,0.78355,0.63774,0.77523
ACOLITE,ACOLITE_only,closure,Alexandrium_catenella,14,0.70775,0.80761,0.64029,0.79111
ACOLITE,ACOLITE_only,closure,Alexandrium_catenella,15,0.6755,0.74486,0.63223,0.72512
ACOLITE,ACOLITE_only,closure,Alexandrium_catenella,16,0.72532,0.78521,0.69835,0.75446
ACOLITE,ACOLITE_only,closure,Alexandrium_catenella,17,0.70417,0.79246,0.63296,0.79343
ACOLITE,ACOLITE_only,closure,Alexandrium_catenella,18,0.69339,0.79039,0.63603,0.76211
ACOLITE,ACOLITE_only,closure,Alexandrium_catenella,19,0.70248,0.80942,0.67729,0.72961
ACOLITE,ACOLITE_only,closure,Alexandrium_catenella,20,0.70393,0.80069,0.6391,0.78341
ACOLITE,ACOLITE_only,closure,Alexandrium_catenella,21,0.72912,0.80059,0.65568,0.8211
ACOLITE,ACOLITE_only,closure,Alexandrium_catenella,22,0.71795,0.81765,0.64122,0.81553
ACOLITE,ACOLITE_only,closure,Alexandrium_catenella,23,0.66935,0.78219,0.62642,0.71861
ACOLITE,ACOLITE_only,closure,Alexandrium_catenella,24,0.65126,0.77805,0.58052,0.74163
ACOLITE,ACOLITE_only,closure,Alexandrium_catenella,25,0.69151,0.78475,0.63498,0.75909
ACOLITE,ACOLITE_only,closure,Alexandrium_catenella,26,0.68182,0.77387,0.6044,0.78199
