ac,track,tier,n_samples,n_features,n_folds_used,cv_f1_macro_mean,cv_f1_macro_median,cv_f1_macro_std,cv_prauc_macro_mean,cv_prauc_macro_median,cv_prauc_macro_std,cv_hamming_mean,cv_hamming_std,cv_subset_acc_mean,cv_subset_acc_std,cv_jaccard_mean,cv_jaccard_std
ACOLITE,ACOLITE_only,closure,9283,31,50,0.66938,0.66858,0.01802,0.73079,0.73271,0.01742,0.05403,0.00239,0.76698,0.00908,0.51949,0.01764
ACOLITE,ACOLITE_roms,closure,9283,43,50,0.66373,0.66603,0.01596,0.74508,0.74362,0.01657,0.05063,0.00235,0.77944,0.00994,0.52148,0.01511
Baseline,Baseline_only,closure,9283,32,50,0.65743,0.65943,0.01865,0.72244,0.72607,0.01939,0.05519,0.0023,0.76493,0.00879,0.5054,0.01772
Baseline,Baseline_roms,closure,9283,44,50,0.6603,0.66017,0.02103,0.74488,0.74528,0.01969,0.05136,0.00239,0.77818,0.01037,0.51595,0.01929
C2RCC,C2RCC_only,closure,9283,32,50,0.60285,0.60217,0.02041,0.66955,0.66669,0.01907,0.06343,0.00253,0.73372,0.01013,0.45114,0.01811
C2RCC,C2RCC_roms,closure,9283,44,50,0.63024,0.63237,0.01587,0.71427,0.70816,0.0192,0.0557,0.00264,0.76017,0.0104,0.48655,0.01487
ACOLITE,ACOLITE_only,warning,9283,31,50,0.72991,0.7315,0.00934,0.80726,0.80743,0.00902,0.11414,0.00363,0.57555,0.0111,0.58504,0.0109
ACOLITE,ACOLITE_roms,warning,9283,43,50,0.7447,0.74529,0.00826,0.81457,0.81351,0.00889,0.10873,0.00344,0.58834,0.01031,0.60428,0.00943
Baseline,Baseline_only,warning,9283,32,50,0.71049,0.71157,0.00997,0.79632,0.79645,0.01006,0.11902,0.00365,0.56492,0.01116,0.56208,0.01103
Baseline,Baseline_roms,warning,9283,44,50,0.73516,0.73502,0.00935,0.80931,0.80793,0.00978,0.11057,0.00357,0.58284,0.01111,0.59276,0.01076
C2RCC,C2RCC_only,warning,9283,32,50,0.66944,0.67049,0.00898,0.75295,0.75482,0.01021,0.13273,0.00366,0.53455,0.01118,0.51861,0.0094
C2RCC,C2RCC_roms,warning,9283,44,50,0.71251,0.71128,0.00967,0.78898,0.79033,0.0098,0.11822,0.00366,0.56246,0.01048,0.56785,0.01047
