track_type,tier,species,metric,ac_a,ac_b,n_a,n_b,mean_a,mean_b,delta,U_stat,p_value,significant,direction,rbc,effect_size
only,closure,Alexandrium_catenella,f1,ACOLITE,Baseline,50,50,0.69771,0.68047,-0.01723,1723.5,0.001111,True,ACOLITE_better,-0.3788,medium
only,closure,Alexandrium_catenella,f1,ACOLITE,C2RCC,50,50,0.69771,0.60817,-0.08954,2493.0,0.0,True,ACOLITE_better,-0.9944,large
only,closure,Alexandrium_catenella,f1,Baseline,C2RCC,50,50,0.68047,0.60817,-0.0723,2446.0,0.0,True,Baseline_better,-0.9568,large
only,closure,Alexandrium_catenella,prauc,ACOLITE,Baseline,50,50,0.78577,0.77731,-0.00846,1533.5,0.051061,False,ACOLITE_better,-0.2268,small
only,closure,Alexandrium_catenella,prauc,ACOLITE,C2RCC,50,50,0.78577,0.71029,-0.07548,2466.0,0.0,True,ACOLITE_better,-0.9728,large
only,closure,Alexandrium_catenella,prauc,Baseline,C2RCC,50,50,0.77731,0.71029,-0.06702,2459.0,0.0,True,Baseline_better,-0.9672,large
only,closure,Dinophysis_acuminata,f1,ACOLITE,Baseline,50,50,0.79839,0.79665,-0.00174,1310.0,0.681667,False,ACOLITE_better,-0.048,negligible
only,closure,Dinophysis_acuminata,f1,ACOLITE,C2RCC,50,50,0.79839,0.74426,-0.05413,2490.0,0.0,True,ACOLITE_better,-0.992,large
only,closure,Dinophysis_acuminata,f1,Baseline,C2RCC,50,50,0.79665,0.74426,-0.05239,2474.0,0.0,True,Baseline_better,-0.9792,large
only,closure,Dinophysis_acuminata,prauc,ACOLITE,Baseline,50,50,0.86852,0.86499,-0.00353,1459.5,0.149638,False,ACOLITE_better,-0.1676,small
only,closure,Dinophysis_acuminata,prauc,ACOLITE,C2RCC,50,50,0.86852,0.81354,-0.05498,2479.0,0.0,True,ACOLITE_better,-0.9832,large
only,closure,Dinophysis_acuminata,prauc,Baseline,C2RCC,50,50,0.86499,0.81354,-0.05145,2490.0,0.0,True,Baseline_better,-0.992,large
only,closure,Dinophysis_norvegica,f1,ACOLITE,Baseline,50,50,0.45618,0.45749,0.00132,1272.5,0.879439,False,Baseline_better,-0.018,negligible
