ac,tier,species,metric,only_track,roms_track,n_only,n_roms,median_only,median_roms,delta,U_stat,p_value,significant,direction,rbc,effect_size
ACOLITE,closure,Alexandrium_catenella,f1,ACOLITE_only,ACOLITE_roms,50,50,0.69771,0.72343,0.02572,502.0,0.0,True,roms_better,0.5984,large
ACOLITE,closure,Alexandrium_catenella,prauc,ACOLITE_only,ACOLITE_roms,50,50,0.78577,0.80077,0.01501,824.0,0.003354,True,roms_better,0.3408,medium
ACOLITE,closure,Dinophysis_acuminata,f1,ACOLITE_only,ACOLITE_roms,50,50,0.79839,0.80963,0.01123,725.0,0.000299,True,roms_better,0.42,medium
ACOLITE,closure,Dinophysis_acuminata,prauc,ACOLITE_only,ACOLITE_roms,50,50,0.86852,0.87224,0.00372,1090.5,0.273026,False,roms_better,0.1276,small
ACOLITE,closure,Dinophysis_norvegica,f1,ACOLITE_only,ACOLITE_roms,50,50,0.45618,0.36432,-0.09186,2195.5,0.0,True,only_better,-0.7564,large
ACOLITE,closure,Dinophysis_norvegica,prauc,ACOLITE_only,ACOLITE_roms,50,50,0.46585,0.45676,-0.00909,1359.5,0.452395,False,only_better,-0.0876,negligible
ACOLITE,closure,Karenia,f1,ACOLITE_only,ACOLITE_roms,50,50,0.81868,0.84007,0.0214,423.0,0.0,True,roms_better,0.6616,large
ACOLITE,closure,Karenia,prauc,ACOLITE_only,ACOLITE_roms,50,50,0.87295,0.88046,0.00751,955.5,0.042684,True,roms_better,0.2356,small
ACOLITE,closure,Pseudo-nitzschia,f1,ACOLITE_only,ACOLITE_roms,50,50,0.57595,0.58121,0.00527,1226.0,0.871285,False,roms_better,0.0192,negligible
ACOLITE,closure,Pseudo-nitzschia,prauc,ACOLITE_only,ACOLITE_roms,50,50,0.66084,0.71514,0.0543,450.0,0.0,True,roms_better,0.64,large
ACOLITE,warning,Alexandrium_catenella,f1,ACOLITE_only,ACOLITE_roms,50,50,0.68764,0.71434,0.0267,386.0,0.0,True,roms_better,0.6912,large
ACOLITE,warning,Alexandrium_catenella,prauc,ACOLITE_only,ACOLITE_roms,50,50,0.77513,0.78751,0.01238,796.5,0.001791,True,roms_better,0.3628,medium
ACOLITE,warning,Dinophysis_acuminata,f1,ACOLITE_only,ACOLITE_roms,50,50,0.76566,0.77238,0.00672,815.0,0.002741,True,roms_better,0.348,medium
ACOLITE,warning,Dinophysis_acuminata,prauc,ACOLITE_only,ACOLITE_roms,50,50,0.86632,0.86854,0.00223,1090.0,0.271519,False,roms_better,0.128,small
ACOLITE,warning,Dinophysis_norvegica,f1,ACOLITE_only,ACOLITE_roms,50,50,0.56709,0.56979,0.0027,1116.0,0.357399,False,roms_better,0.1072,small
ACOLITE,warning,Dinophysis_norvegica,prauc,ACOLITE_only,ACOLITE_roms,50,50,0.60946,0.60418,-0.00527,1366.0,0.425895,False,only_better,-0.0928,negligible
ACOLITE,warning,Karenia,f1,ACOLITE_only,ACOLITE_roms,50,50,0.87782,0.88957,0.01175,493.5,0.0,True,roms_better,0.6052,large
ACOLITE,warning,Karenia,prauc,ACOLITE_only,ACOLITE_roms,50,50,0.95441,0.96334,0.00892,218.5,0.0,True,roms_better,0.8252,large
ACOLITE,warning,Pseudo-nitzschia,f1,ACOLITE_only,ACOLITE_roms,50,50,0.75135,0.77745,0.0261,182.0,0.0,True,roms_better,0.8544,large
ACOLITE,warning,Pseudo-nitzschia,prauc,ACOLITE_only,ACOLITE_roms,50,50,0.83098,0.84926,0.01827,470.0,0.0,True,roms_better,0.624,large
Baseline,closure,Alexandrium_catenella,f1,Baseline_only,Baseline_roms,50,50,0.68047,0.71054,0.03007,467.0,0.0,True,roms_better,0.6264,large
Baseline,closure,Alexandrium_catenella,prauc,Baseline_only,Baseline_roms,50,50,0.77731,0.80619,0.02888,434.0,0.0,True,roms_better,0.6528,large
Baseline,closure,Dinophysis_acuminata,f1,Baseline_only,Baseline_roms,50,50,0.79665,0.80871,0.01207,758.0,0.000703,True,roms_better,0.3936,medium
Baseline,closure,Dinophysis_acuminata,prauc,Baseline_only,Baseline_roms,50,50,0.86499,0.87324,0.00825,833.5,0.004133,True,roms_better,0.3332,medium
Baseline,closure,Dinophysis_norvegica,f1,Baseline_only,Baseline_roms,50,50,0.45749,0.3695,-0.088,2055.0,0.0,True,only_better,-0.644,large
Baseline,closure,Dinophysis_norvegica,prauc,Baseline_only,Baseline_roms,50,50,0.4613,0.46108,-0.00022,1240.0,0.947783,False,only_better,0.008,negligible
Baseline,closure,Karenia,f1,Baseline_only,Baseline_roms,50,50,0.79853,0.82476,0.02623,292.0,0.0,True,roms_better,0.7664,large
Baseline,closure,Karenia,prauc,Baseline_only,Baseline_roms,50,50,0.86436,0.87668,0.01232,825.0,0.003429,True,roms_better,0.34,medium
Baseline,closure,Pseudo-nitzschia,f1,Baseline_only,Baseline_roms,50,50,0.55401,0.58799,0.03398,811.5,0.002531,True,roms_better,0.3508,medium
Baseline,closure,Pseudo-nitzschia,prauc,Baseline_only,Baseline_roms,50,50,0.64423,0.70723,0.063,438.0,0.0,True,roms_better,0.6496,large
Baseline,warning,Alexandrium_catenella,f1,Baseline_only,Baseline_roms,50,50,0.66032,0.6983,0.03798,178.0,0.0,True,roms_better,0.8576,large
Baseline,warning,Alexandrium_catenella,prauc,Baseline_only,Baseline_roms,50,50,0.76548,0.78775,0.02227,433.0,0.0,True,roms_better,0.6536,large
Baseline,warning,Dinophysis_acuminata,f1,Baseline_only,Baseline_roms,50,50,0.75779,0.76844,0.01065,681.0,8.9e-05,True,roms_better,0.4552,medium
Baseline,warning,Dinophysis_acuminata,prauc,Baseline_only,Baseline_roms,50,50,0.85767,0.86326,0.00559,893.5,0.01412,True,roms_better,0.2852,small
Baseline,warning,Dinophysis_norvegica,f1,Baseline_only,Baseline_roms,50,50,0.54708,0.55818,0.01111,997.0,0.081735,False,roms_better,0.2024,small
Baseline,warning,Dinophysis_norvegica,prauc,Baseline_only,Baseline_roms,50,50,0.60453,0.60258,-0.00195,1290.0,0.785386,False,only_better,-0.032,negligible
Baseline,warning,Karenia,f1,Baseline_only,Baseline_roms,50,50,0.8714,0.88693,0.01552,335.0,0.0,True,roms_better,0.732,large
Baseline,warning,Karenia,prauc,Baseline_only,Baseline_roms,50,50,0.95149,0.96175,0.01026,211.0,0.0,True,roms_better,0.8312,large
Baseline,warning,Pseudo-nitzschia,f1,Baseline_only,Baseline_roms,50,50,0.71585,0.76396,0.04811,13.0,0.0,True,roms_better,0.9896,large
Baseline,warning,Pseudo-nitzschia,prauc,Baseline_only,Baseline_roms,50,50,0.80241,0.83123,0.02881,325.0,0.0,True,roms_better,0.74,large
C2RCC,closure,Alexandrium_catenella,f1,C2RCC_only,C2RCC_roms,50,50,0.60817,0.67614,0.06797,80.0,0.0,True,roms_better,0.936,large
C2RCC,closure,Alexandrium_catenella,prauc,C2RCC_only,C2RCC_roms,50,50,0.71029,0.76964,0.05935,123.0,0.0,True,roms_better,0.9016,large
C2RCC,closure,Dinophysis_acuminata,f1,C2RCC_only,C2RCC_roms,50,50,0.74426,0.79189,0.04763,24.0,0.0,True,roms_better,0.9808,large
C2RCC,closure,Dinophysis_acuminata,prauc,C2RCC_only,C2RCC_roms,50,50,0.81354,0.84786,0.03432,163.0,0.0,True,roms_better,0.8696,large
C2RCC,closure,Dinophysis_norvegica,f1,C2RCC_only,C2RCC_roms,50,50,0.3504,0.30436,-0.04604,1775.0,0.000299,True,only_better,-0.42,medium
C2RCC,closure,Dinophysis_norvegica,prauc,C2RCC_only,C2RCC_roms,50,50,0.37923,0.41369,0.03446,908.0,0.018561,True,roms_better,0.2736,small
C2RCC,closure,Karenia,f1,C2RCC_only,C2RCC_roms,50,50,0.7977,0.82173,0.02403,368.0,0.0,True,roms_better,0.7056,large
C2RCC,closure,Karenia,prauc,C2RCC_only,C2RCC_roms,50,50,0.85851,0.87018,0.01166,811.0,0.002503,True,roms_better,0.3512,medium
C2RCC,closure,Pseudo-nitzschia,f1,C2RCC_only,C2RCC_roms,50,50,0.51371,0.55707,0.04336,702.5,0.000162,True,roms_better,0.438,medium
C2RCC,closure,Pseudo-nitzschia,prauc,C2RCC_only,C2RCC_roms,50,50,0.58619,0.67,0.08381,322.0,0.0,True,roms_better,0.7424,large
C2RCC,warning,Alexandrium_catenella,f1,C2RCC_only,C2RCC_roms,50,50,0.61114,0.67431,0.06317,51.5,0.0,True,roms_better,0.9588,large
C2RCC,warning,Alexandrium_catenella,prauc,C2RCC_only,C2RCC_roms,50,50,0.7058,0.75864,0.05285,93.5,0.0,True,roms_better,0.9252,large
