ac,tier,species,n_positive,threshold,cv_recall_mean_only,cv_recall_mean_roms,delta_recall,extra_blooms_per_100
ACOLITE,closure,Karenia,1212,5000,0.84161,0.87996,0.03835,3.8
ACOLITE,closure,Alexandrium_catenella,1310,300,0.63757,0.67019,0.03262,3.3
ACOLITE,closure,Dinophysis_acuminata,2095,500,0.80781,0.82734,0.01953,2.0
ACOLITE,closure,Pseudo-nitzschia,381,13000,0.47576,0.45816,-0.0176,-1.8
ACOLITE,closure,Dinophysis_norvegica,255,500,0.3839,0.25564,-0.12826,-12.8
Baseline,closure,Karenia,1212,5000,0.80692,0.85793,0.05101,5.1
Baseline,closure,Alexandrium_catenella,1310,300,0.60208,0.63983,0.03775,3.8
Baseline,closure,Dinophysis_acuminata,2095,500,0.7927,0.81457,0.02187,2.2
Baseline,closure,Pseudo-nitzschia,381,13000,0.45107,0.4669,0.01583,1.6
Baseline,closure,Dinophysis_norvegica,255,500,0.37552,0.25929,-0.11623,-11.6
C2RCC,closure,Dinophysis_acuminata,2095,500,0.7232,0.80455,0.08135,8.1
C2RCC,closure,Alexandrium_catenella,1310,300,0.52127,0.60135,0.08008,8.0
C2RCC,closure,Karenia,1212,5000,0.85282,0.90137,0.04855,4.9
C2RCC,closure,Pseudo-nitzschia,381,13000,0.39548,0.43333,0.03785,3.8
C2RCC,closure,Dinophysis_norvegica,255,500,0.25322,0.19778,-0.05544,-5.5
ACOLITE,warning,Pseudo-nitzschia,2132,2000,0.7299,0.77794,0.04804,4.8
ACOLITE,warning,Alexandrium_catenella,1706,100,0.6369,0.67261,0.03571,3.6
ACOLITE,warning,Dinophysis_acuminata,3897,200,0.73591,0.74804,0.01213,1.2
ACOLITE,warning,Karenia,2518,1000,0.83757,0.84837,0.0108,1.1
ACOLITE,warning,Dinophysis_norvegica,1276,200,0.492,0.49291,0.00091,0.1
Baseline,warning,Pseudo-nitzschia,2132,2000,0.67285,0.74718,0.07433,7.4
Baseline,warning,Alexandrium_catenella,1706,100,0.58621,0.63565,0.04944,4.9
Baseline,warning,Dinophysis_acuminata,3897,200,0.72271,0.74027,0.01756,1.8
Baseline,warning,Karenia,2518,1000,0.81838,0.83569,0.01731,1.7
Baseline,warning,Dinophysis_norvegica,1276,200,0.45879,0.4731,0.01431,1.4
C2RCC,warning,Alexandrium_catenella,1706,100,0.53673,0.61323,0.0765,7.7
C2RCC,warning,Pseudo-nitzschia,2132,2000,0.65453,0.72999,0.07546,7.5
C2RCC,warning,Dinophysis_norvegica,1276,200,0.35572,0.4151,0.05938,5.9
C2RCC,warning,Karenia,2518,1000,0.78443,0.82331,0.03888,3.9
C2RCC,warning,Dinophysis_acuminata,3897,200,0.7355,0.76071,0.02521,2.5
