ac,tier,species,n_positive,threshold,cv_f1_mean_only,cv_f1_std_only,cv_f1_mean_roms,cv_f1_std_roms,delta_f1,cv_prauc_mean_only,cv_prauc_std_only,cv_prauc_mean_roms,cv_prauc_std_roms,delta_prauc
ACOLITE,closure,Alexandrium_catenella,1310,300,0.69771,0.02281,0.72343,0.02412,0.02572,0.78577,0.02344,0.80078,0.0239,0.01501
ACOLITE,closure,Karenia,1212,5000,0.81867,0.01697,0.84007,0.01553,0.0214,0.87295,0.01887,0.88046,0.01854,0.00751
ACOLITE,closure,Dinophysis_acuminata,2095,500,0.79839,0.01433,0.80963,0.01513,0.01124,0.86852,0.01579,0.87224,0.01497,0.00372
ACOLITE,closure,Pseudo-nitzschia,381,13000,0.57595,0.04953,0.58121,0.04273,0.00526,0.66084,0.04091,0.71514,0.04036,0.0543
ACOLITE,closure,Dinophysis_norvegica,255,500,0.45618,0.05435,0.36432,0.05777,-0.09186,0.46585,0.06176,0.45676,0.06163,-0.00909
Baseline,closure,Pseudo-nitzschia,381,13000,0.55401,0.04888,0.58799,0.05066,0.03398,0.64423,0.04626,0.70723,0.04834,0.063
Baseline,closure,Alexandrium_catenella,1310,300,0.68047,0.02428,0.71054,0.02398,0.03007,0.77731,0.02071,0.80619,0.02093,0.02888
Baseline,closure,Karenia,1212,5000,0.79853,0.01709,0.82476,0.01469,0.02623,0.86436,0.02032,0.87668,0.01894,0.01232
Baseline,closure,Dinophysis_acuminata,2095,500,0.79665,0.01555,0.80871,0.01568,0.01206,0.86499,0.01321,0.87324,0.01339,0.00825
Baseline,closure,Dinophysis_norvegica,255,500,0.45749,0.06388,0.3695,0.06741,-0.08799,0.4613,0.06847,0.46108,0.06457,-0.00022
C2RCC,closure,Alexandrium_catenella,1310,300,0.60817,0.02224,0.67614,0.02611,0.06797,0.71029,0.0241,0.76964,0.02542,0.05935
C2RCC,closure,Dinophysis_acuminata,2095,500,0.74426,0.01414,0.79189,0.01531,0.04763,0.81354,0.01697,0.84786,0.01748,0.03432
C2RCC,closure,Pseudo-nitzschia,381,13000,0.51371,0.05446,0.55707,0.04362,0.04336,0.58619,0.0543,0.67,0.05154,0.08381
C2RCC,closure,Karenia,1212,5000,0.7977,0.01626,0.82173,0.01525,0.02403,0.85851,0.01814,0.87017,0.01824,0.01166
C2RCC,closure,Dinophysis_norvegica,255,500,0.3504,0.06398,0.30436,0.05325,-0.04604,0.37923,0.05856,0.41369,0.0666,0.03446
ACOLITE,warning,Alexandrium_catenella,1706,100,0.68764,0.01991,0.71434,0.01616,0.0267,0.77513,0.01968,0.78751,0.01744,0.01238
ACOLITE,warning,Pseudo-nitzschia,2132,2000,0.75135,0.01336,0.77745,0.01234,0.0261,0.83098,0.01402,0.84926,0.01548,0.01828
ACOLITE,warning,Karenia,2518,1000,0.87782,0.00985,0.88957,0.00958,0.01175,0.95441,0.005,0.96334,0.00467,0.00893
ACOLITE,warning,Dinophysis_acuminata,3897,200,0.76566,0.01155,0.77238,0.01102,0.00672,0.86631,0.00986,0.86854,0.00978,0.00223
ACOLITE,warning,Dinophysis_norvegica,1276,200,0.56709,0.02433,0.56979,0.02736,0.0027,0.60946,0.0283,0.60418,0.03192,-0.00528
Baseline,warning,Pseudo-nitzschia,2132,2000,0.71585,0.01562,0.76396,0.01387,0.04811,0.80241,0.01753,0.83123,0.01753,0.02882
Baseline,warning,Alexandrium_catenella,1706,100,0.66032,0.01848,0.6983,0.01949,0.03798,0.76548,0.01859,0.78775,0.01614,0.02227
Baseline,warning,Karenia,2518,1000,0.8714,0.01021,0.88693,0.00956,0.01553,0.95149,0.00559,0.96175,0.00451,0.01026
Baseline,warning,Dinophysis_norvegica,1276,200,0.54708,0.0296,0.55818,0.02686,0.0111,0.60453,0.03046,0.60258,0.03227,-0.00195
Baseline,warning,Dinophysis_acuminata,3897,200,0.75779,0.01229,0.76844,0.01343,0.01065,0.85767,0.01103,0.86326,0.01132,0.00559
C2RCC,warning,Alexandrium_catenella,1706,100,0.61114,0.01945,0.67431,0.02234,0.06317,0.7058,0.0228,0.75864,0.0193,0.05284
C2RCC,warning,Dinophysis_norvegica,1276,200,0.44719,0.02667,0.49886,0.03057,0.05167,0.50165,0.03084,0.54673,0.03563,0.04508
C2RCC,warning,Pseudo-nitzschia,2132,2000,0.69535,0.01561,0.74445,0.01662,0.0491,0.78031,0.0163,0.82184,0.0186,0.04153
C2RCC,warning,Dinophysis_acuminata,3897,200,0.74351,0.01032,0.76955,0.01051,0.02604,0.83639,0.00956,0.86093,0.00997,0.02454
C2RCC,warning,Karenia,2518,1000,0.85001,0.01265,0.87539,0.01052,0.02538,0.94058,0.00696,0.95674,0.00551,0.01616
