ac,track,tier,species,threshold,n_positive,cv_f1_mean,cv_f1_median,cv_f1_std,cv_prauc_mean,cv_prauc_median,cv_prauc_std,cv_recall_mean,cv_recall_median,cv_recall_std,cv_precision_mean,cv_precision_median,cv_precision_std
ACOLITE,ACOLITE_only,closure,Alexandrium_catenella,300,1310,0.69771,0.7007,0.02281,0.78577,0.78508,0.02344,0.63757,0.63587,0.0279,0.77176,0.76856,0.03327
ACOLITE,ACOLITE_roms,closure,Alexandrium_catenella,300,1310,0.72343,0.72482,0.02412,0.80078,0.80264,0.0239,0.67019,0.66901,0.03238,0.78735,0.78403,0.03111
ACOLITE,ACOLITE_only,closure,Dinophysis_acuminata,500,2095,0.79839,0.79954,0.01433,0.86852,0.86951,0.01579,0.80781,0.80877,0.01806,0.78961,0.7868,0.02039
ACOLITE,ACOLITE_roms,closure,Dinophysis_acuminata,500,2095,0.80963,0.80972,0.01513,0.87224,0.87437,0.01497,0.82734,0.83008,0.01927,0.79309,0.78852,0.02124
ACOLITE,ACOLITE_only,closure,Dinophysis_norvegica,500,255,0.45618,0.45815,0.05435,0.46585,0.45745,0.06176,0.3839,0.38312,0.05637,0.56884,0.58333,0.07136
ACOLITE,ACOLITE_roms,closure,Dinophysis_norvegica,500,255,0.36432,0.36992,0.05777,0.45676,0.45461,0.06163,0.25564,0.26251,0.04685,0.64677,0.65109,0.09761
ACOLITE,ACOLITE_only,closure,Karenia,5000,1212,0.81867,0.82018,0.01697,0.87295,0.87443,0.01887,0.84161,0.8385,0.02452,0.79767,0.7957,0.02411
ACOLITE,ACOLITE_roms,closure,Karenia,5000,1212,0.84007,0.83794,0.01553,0.88046,0.88358,0.01854,0.87996,0.8791,0.02072,0.80421,0.80226,0.02369
ACOLITE,ACOLITE_only,closure,Pseudo-nitzschia,13000,381,0.57595,0.59195,0.04953,0.66084,0.66234,0.04091,0.47576,0.4869,0.05997,0.73864,0.73691,0.05277
ACOLITE,ACOLITE_roms,closure,Pseudo-nitzschia,13000,381,0.58121,0.59175,0.04273,0.71514,0.71771,0.04036,0.45816,0.46291,0.04868,0.80273,0.80217,0.05719
Baseline,Baseline_only,closure,Alexandrium_catenella,300,1310,0.68047,0.68261,0.02428,0.77731,0.77978,0.02071,0.60208,0.6,0.03245,0.7843,0.78816,0.03175
Baseline,Baseline_roms,closure,Alexandrium_catenella,300,1310,0.71054,0.71359,0.02398,0.80619,0.80799,0.02093,0.63983,0.63906,0.03365,0.80072,0.80211,0.02996
Baseline,Baseline_only,closure,Dinophysis_acuminata,500,2095,0.79665,0.79826,0.01555,0.86499,0.86668,0.01321,0.7927,0.79505,0.02309,0.80116,0.8,0.01874
Baseline,Baseline_roms,closure,Dinophysis_acuminata,500,2095,0.80871,0.80898,0.01568,0.87324,0.87496,0.01339,0.81457,0.81637,0.0213,0.80341,0.80349,0.0205
Baseline,Baseline_only,closure,Dinophysis_norvegica,500,255,0.45749,0.45611,0.06388,0.4613,0.46794,0.06847,0.37552,0.36549,0.06728,0.59403,0.59317,0.07538
Baseline,Baseline_roms,closure,Dinophysis_norvegica,500,255,0.3695,0.37083,0.06741,0.46108,0.45482,0.06457,0.25929,0.26208,0.05651,0.6628,0.66667,0.10632
Baseline,Baseline_only,closure,Karenia,5000,1212,0.79853,0.80089,0.01709,0.86436,0.86778,0.02032,0.80692,0.81378,0.02801,0.7913,0.79292,0.02422
Baseline,Baseline_roms,closure,Karenia,5000,1212,0.82476,0.82418,0.01469,0.87668,0.87783,0.01894,0.85793,0.85654,0.02248,0.7948,0.79615,0.02385
Baseline,Baseline_only,closure,Pseudo-nitzschia,13000,381,0.55401,0.55514,0.04888,0.64423,0.64413,0.04626,0.45107,0.45512,0.05555,0.72595,0.72093,0.05889
Baseline,Baseline_roms,closure,Pseudo-nitzschia,13000,381,0.58799,0.57728,0.05066,0.70723,0.70574,0.04834,0.4669,0.45946,0.05501,0.80063,0.79574,0.05774
C2RCC,C2RCC_only,closure,Alexandrium_catenella,300,1310,0.60817,0.60628,0.02224,0.71029,0.70968,0.0241,0.52127,0.51762,0.02938,0.73215,0.72937,0.0321
C2RCC,C2RCC_roms,closure,Alexandrium_catenella,300,1310,0.67614,0.68008,0.02611,0.76964,0.77117,0.02542,0.60135,0.60457,0.03481,0.77437,0.77674,0.03389
C2RCC,C2RCC_only,closure,Dinophysis_acuminata,500,2095,0.74426,0.74431,0.01414,0.81354,0.81842,0.01697,0.7232,0.72274,0.01892,0.76711,0.76703,0.02025
C2RCC,C2RCC_roms,closure,Dinophysis_acuminata,500,2095,0.79189,0.79105,0.01531,0.84786,0.84969,0.01748,0.80455,0.80378,0.01912,0.78006,0.7809,0.02115
C2RCC,C2RCC_only,closure,Dinophysis_norvegica,500,255,0.3504,0.35859,0.06398,0.37923,0.37117,0.05856,0.25322,0.25431,0.05199,0.58282,0.6,0.11107
C2RCC,C2RCC_roms,closure,Dinophysis_norvegica,500,255,0.30436,0.31504,0.05325,0.41369,0.40465,0.0666,0.19778,0.19783,0.03885,0.6794,0.66667,0.12579
C2RCC,C2RCC_only,closure,Karenia,5000,1212,0.7977,0.797,0.01626,0.85851,0.85966,0.01814,0.85282,0.85488,0.02353,0.74993,0.75181,0.02373
C2RCC,C2RCC_roms,closure,Karenia,5000,1212,0.82173,0.82676,0.01525,0.87017,0.87138,0.01824,0.90137,0.90242,0.01846,0.75554,0.75517,0.02359
C2RCC,C2RCC_only,closure,Pseudo-nitzschia,13000,381,0.51371,0.50662,0.05446,0.58619,0.58178,0.0543,0.39548,0.38397,0.05531,0.74045,0.74709,0.06042
C2RCC,C2RCC_roms,closure,Pseudo-nitzschia,13000,381,0.55707,0.55932,0.04362,0.67,0.67097,0.05154,0.43333,0.43539,0.04358,0.7845,0.79118,0.05622
ACOLITE,ACOLITE_only,warning,Alexandrium_catenella,100,1706,0.68764,0.68949,0.01991,0.77513,0.77658,0.01968,0.6369,0.63497,0.02655,0.74832,0.74413,0.02798
ACOLITE,ACOLITE_roms,warning,Alexandrium_catenella,100,1706,0.71434,0.71722,0.01616,0.78751,0.78949,0.01744,0.67261,0.67195,0.02605,0.7628,0.76229,0.02384
ACOLITE,ACOLITE_only,warning,Dinophysis_acuminata,200,3897,0.76566,0.76663,0.01155,0.86631,0.86695,0.00986,0.73591,0.73736,0.01793,0.7983,0.79798,0.01401
ACOLITE,ACOLITE_roms,warning,Dinophysis_acuminata,200,3897,0.77238,0.77344,0.01102,0.86854,0.86828,0.00978,0.74804,0.74575,0.01568,0.79868,0.79789,0.01502
ACOLITE,ACOLITE_only,warning,Dinophysis_norvegica,200,1276,0.56709,0.56547,0.02433,0.60946,0.60812,0.0283,0.492,0.49017,0.02693,0.67062,0.67653,0.03249
ACOLITE,ACOLITE_roms,warning,Dinophysis_norvegica,200,1276,0.56979,0.57337,0.02736,0.60418,0.60463,0.03192,0.49291,0.49627,0.0288,0.67648,0.6816,0.03662
ACOLITE,ACOLITE_only,warning,Karenia,1000,2518,0.87782,0.87725,0.00985,0.95441,0.95503,0.005,0.83757,0.83665,0.0157,0.9224,0.92184,0.01252
ACOLITE,ACOLITE_roms,warning,Karenia,1000,2518,0.88957,0.88878,0.00958,0.96334,0.96379,0.00467,0.84837,0.84831,0.01465,0.9352,0.93583,0.01229
ACOLITE,ACOLITE_only,warning,Pseudo-nitzschia,2000,2132,0.75135,0.75281,0.01336,0.83098,0.8312,0.01402,0.7299,0.7311,0.01759,0.77456,0.77256,0.01926
ACOLITE,ACOLITE_roms,warning,Pseudo-nitzschia,2000,2132,0.77745,0.77711,0.01234,0.84926,0.84953,0.01548,0.77794,0.78084,0.01518,0.77738,0.77219,0.02005
Baseline,Baseline_only,warning,Alexandrium_catenella,100,1706,0.66032,0.6615,0.01848,0.76548,0.76758,0.01859,0.58621,0.58358,0.02407,0.757,0.7587,0.02482
Baseline,Baseline_roms,warning,Alexandrium_catenella,100,1706,0.6983,0.69847,0.01949,0.78775,0.79089,0.01614,0.63565,0.63104,0.02734,0.77589,0.77802,0.02518
Baseline,Baseline_only,warning,Dinophysis_acuminata,200,3897,0.75779,0.7576,0.01229,0.85767,0.85789,0.01103,0.72271,0.72617,0.01667,0.79681,0.79643,0.01626
Baseline,Baseline_roms,warning,Dinophysis_acuminata,200,3897,0.76844,0.7684,0.01343,0.86326,0.86444,0.01132,0.74027,0.74003,0.0174,0.79917,0.79904,0.01696
Baseline,Baseline_only,warning,Dinophysis_norvegica,200,1276,0.54708,0.55453,0.0296,0.60453,0.60303,0.03046,0.45879,0.46492,0.02874,0.67879,0.68,0.03985
Baseline,Baseline_roms,warning,Dinophysis_norvegica,200,1276,0.55818,0.55972,0.02686,0.60258,0.5998,0.03227,0.4731,0.47174,0.02578,0.68209,0.68002,0.04102
Baseline,Baseline_only,warning,Karenia,1000,2518,0.8714,0.8714,0.01021,0.95149,0.95107,0.00559,0.81838,0.81827,0.01727,0.93211,0.93105,0.01119
Baseline,Baseline_roms,warning,Karenia,1000,2518,0.88693,0.88762,0.00956,0.96175,0.96171,0.00451,0.83569,0.8348,0.01593,0.94516,0.94607,0.01192
Baseline,Baseline_only,warning,Pseudo-nitzschia,2000,2132,0.71585,0.71537,0.01562,0.80241,0.80633,0.01753,0.67285,0.67336,0.01915,0.76521,0.76676,0.02064
Baseline,Baseline_roms,warning,Pseudo-nitzschia,2000,2132,0.76396,0.76568,0.01387,0.83123,0.83248,0.01753,0.74718,0.74383,0.01868,0.78204,0.78114,0.0208
