feature,Alexandrium_catenella_perm_mean,Alexandrium_catenella_perm_std,Dinophysis_acuminata_perm_mean,Dinophysis_acuminata_perm_std,Dinophysis_norvegica_perm_mean,Dinophysis_norvegica_perm_std,Karenia_perm_mean,Karenia_perm_std,Pseudo-nitzschia_perm_mean,Pseudo-nitzschia_perm_std
A_GLH,0.10636,0.01559,0.22165,0.01371,0.26564,0.04658,0.15489,0.02056,0.13676,0.02248
doy_cos,0.10996,0.0133,0.02153,0.00318,0.16496,0.02735,0.2137,0.02492,0.2119,0.03125
doy_sin,0.08859,0.01124,0.01787,0.00376,0.09968,0.04329,0.13721,0.01638,0.26958,0.03353
A_BlueGreen_Ratio,0.07902,0.01023,0.05206,0.00743,0.21116,0.03568,0.0794,0.01423,0.11119,0.02503
A_rrs_560,0.01977,0.0092,0.00306,0.00522,0.23783,0.05349,-0.00288,0.00445,0.11226,0.022
A_MCI,0.01249,0.0122,0.00075,0.00288,0.13071,0.03779,0.02319,0.01164,0.17997,0.03239
A_Red_NIR_Ratio,0.02293,0.00649,0.00705,0.00141,0.19437,0.03487,0.01299,0.00665,0.0448,0.02372
A_rrs_490,0.02606,0.00616,0.00274,0.00235,0.13177,0.0335,-0.00129,0.00396,0.05147,0.0196
A_NDWI,0.00424,0.00493,0.00588,0.0049,0.1348,0.0351,0.01895,0.00882,0.00367,0.01067
A_FLH_665,0.01122,0.00587,0.00834,0.00386,0.05267,0.02309,0.0261,0.01069,0.05828,0.02197
A_RedEdge_Ratio,0.00694,0.0065,0.00446,0.00203,0.11334,0.02838,0.00265,0.00318,0.02052,0.01295
A_NDCI,0.0096,0.005,0.00415,0.00187,0.07316,0.02524,0.00294,0.00537,0.03382,0.01428
A_rrs_709,0.00791,0.00482,0.0017,0.00205,0.05099,0.02132,0.00182,0.00123,0.0394,0.01453
A_DINI,-0.00102,0.00419,-0.00039,0.00499,0.07272,0.02898,0.00668,0.00343,0.01369,0.01405
A_BLH,0.01016,0.00554,0.00692,0.00341,0.04802,0.02844,-0.00072,0.00429,0.02414,0.01599
A_rrs_665,0.00885,0.00813,0.00377,0.00252,0.05325,0.02252,-0.00131,0.00254,0.02325,0.01439
A_CI,0.01781,0.00811,0.00384,0.00302,0.05746,0.01838,0.00133,0.00283,0.00637,0.01654
A_Blue_Red_Ratio,0.00749,0.00574,0.00127,0.00334,0.06289,0.0222,-0.00372,0.00342,0.01673,0.01052
A_rrs_865,0.00353,0.00493,0.00054,0.00296,0.05206,0.02185,0.00411,0.00497,0.01832,0.01274
A_Fluorescence_Peak,0.00166,0.00356,0.00293,0.00293,0.0576,0.02161,0.00107,0.00248,0.00595,0.01099
A_Green_Red_Ratio,0.01142,0.00578,0.00415,0.00329,0.05028,0.02234,0.00036,0.00207,0.00264,0.00974
A_NDNI,0.00736,0.00471,0.00489,0.00269,0.04218,0.02491,-0.00164,0.00261,0.01587,0.01162
A_KBBI,0.00366,0.00358,0.00463,0.00201,0.02538,0.01728,0.00155,0.00306,0.02995,0.01324
A_rrs_754,0.00274,0.00513,0.01123,0.00265,0.04379,0.01559,0.0024,0.00294,-0.00204,0.00821
A_rrs_412,0.00169,0.00664,0.00244,0.00374,0.03665,0.01695,0.0049,0.0037,0.00881,0.01406
A_rrs_682,-0.00253,0.00375,0.0022,0.00231,0.03334,0.02295,0.00111,0.00181,0.01217,0.01096
A_FLHmax,0.0003,0.00231,0.00934,0.00252,0.0232,0.01942,0.00185,0.00442,0.00558,0.01492
A_RBD,0.00019,0.00513,0.00496,0.0024,0.0298,0.00969,-0.00049,0.0029,-0.00124,0.01323
A_FLH_681,0.00023,0.00287,0.00573,0.00208,0.00208,0.00671,0.00079,0.00269,0.01728,0.01194
A_EBI,-0.0014,0.00269,0.00048,0.0021,0.02195,0.00808,0.00165,0.00158,-0.00107,0.00698
A_GBI,-0.00124,0.00282,0.00127,0.00291,-0.00959,0.01,0.00891,0.00826,0.00874,0.00809
