feature,Alexandrium_catenella_perm_mean,Alexandrium_catenella_perm_std,Dinophysis_acuminata_perm_mean,Dinophysis_acuminata_perm_std,Dinophysis_norvegica_perm_mean,Dinophysis_norvegica_perm_std,Karenia_perm_mean,Karenia_perm_std,Pseudo-nitzschia_perm_mean,Pseudo-nitzschia_perm_std
A_GLH,0.06626,0.00985,0.06373,0.00499,0.17034,0.02005,0.01625,0.00435,0.05741,0.0057
doy_sin,0.05981,0.00816,0.04061,0.00423,0.03446,0.00933,0.15793,0.01257,0.05802,0.00508
doy_cos,0.0709,0.01042,0.01658,0.00394,0.01588,0.00793,0.11445,0.00792,0.05245,0.00659
A_BlueGreen_Ratio,0.04394,0.01147,-0.0003,0.0043,0.06345,0.0121,0.05689,0.00685,0.02095,0.0041
A_rrs_560,0.02322,0.00904,-0.00463,0.00195,0.06511,0.01144,0.00494,0.00205,0.01743,0.00583
A_CI,0.03183,0.00821,-0.00094,0.00239,0.03286,0.0097,0.0067,0.00295,0.00856,0.00452
A_rrs_412,0.01634,0.00741,0.00473,0.00267,0.03123,0.00641,0.00762,0.00393,0.01154,0.00421
A_MCI,0.01708,0.00855,0.00341,0.00286,0.0105,0.00824,0.01299,0.00426,0.02634,0.00565
A_Green_Red_Ratio,0.0149,0.00536,-0.00245,0.0031,0.02476,0.00839,0.00376,0.00193,0.01373,0.00481
A_FLH_665,0.00402,0.00463,0.00601,0.00252,0.00673,0.00695,0.0108,0.00323,0.02003,0.00407
A_BLH,0.00798,0.0038,-0.00209,0.00269,0.02023,0.01192,0.00237,0.00271,0.0179,0.00387
A_NDWI,0.0115,0.00629,-0.00189,0.00229,0.01453,0.00695,0.0079,0.00341,0.01181,0.00325
A_rrs_709,0.00664,0.00475,-0.00037,0.00201,0.02291,0.00656,0.00443,0.00215,0.00633,0.00277
A_rrs_490,0.00012,0.00787,-0.00069,0.00173,0.02468,0.00767,-0.0001,0.00201,0.01419,0.00517
A_Blue_Red_Ratio,0.01233,0.00558,-0.00246,0.00229,0.00905,0.00686,0.00962,0.00297,0.00882,0.00336
A_NDCI,0.00789,0.00559,0.00043,0.00202,0.00873,0.00606,0.00428,0.00268,0.00922,0.00467
A_GBI,0.00831,0.00433,0.00264,0.00195,-0.00049,0.00408,0.00837,0.00302,0.00846,0.00318
A_Red_NIR_Ratio,0.009,0.00548,0.00117,0.00296,0.00576,0.00692,0.00448,0.00211,0.00674,0.00393
A_rrs_865,0.00855,0.00563,-0.00392,0.00201,0.01229,0.00641,0.00377,0.00188,0.00609,0.00245
A_NDNI,0.00943,0.00501,-0.00425,0.00237,0.00668,0.00658,0.00397,0.00219,0.00996,0.00258
A_DINI,0.0065,0.00578,-0.00109,0.00183,0.01427,0.00683,0.00315,0.00296,0.00235,0.00523
A_FLHmax,0.00761,0.00285,-0.00212,0.00201,0.00409,0.00444,0.00684,0.00255,0.00468,0.00216
A_FLH_681,0.00564,0.00357,0.00022,0.00199,0.00178,0.00359,0.0044,0.00196,0.00712,0.00318
A_rrs_665,0.00238,0.00455,-0.00388,0.00181,0.01129,0.00676,0.00425,0.00142,0.00136,0.00203
A_RedEdge_Ratio,0.0071,0.00638,-0.00258,0.00217,5e-05,0.00691,0.00213,0.0026,0.00723,0.00394
A_Fluorescence_Peak,-0.00294,0.00541,0.00125,0.0015,0.0064,0.00515,0.00441,0.00203,0.00212,0.00231
A_RBD,0.00181,0.00309,-0.00153,0.00191,-0.00546,0.00607,0.00557,0.00266,0.00608,0.00371
A_rrs_754,-0.00211,0.0043,-0.00447,0.00178,0.00172,0.00622,0.00335,0.00225,0.0063,0.00246
A_KBBI,0.00979,0.00311,-0.00186,0.00157,-0.00732,0.00493,0.00143,0.00285,-0.00012,0.00384
A_rrs_682,-0.00509,0.00584,-0.00162,0.00218,0.00258,0.0047,0.00253,0.0017,0.00251,0.00295
A_EBI,0.00262,0.00222,0.00069,0.00136,-0.0035,0.00376,-0.00054,0.00141,0.00053,0.0019
