feature,Alexandrium_catenella_perm_mean,Alexandrium_catenella_perm_std,Dinophysis_acuminata_perm_mean,Dinophysis_acuminata_perm_std,Dinophysis_norvegica_perm_mean,Dinophysis_norvegica_perm_std,Karenia_perm_mean,Karenia_perm_std,Pseudo-nitzschia_perm_mean,Pseudo-nitzschia_perm_std
roms_salt_sur,0.09857,0.01154,0.01815,0.00693,0.1775,0.05308,0.30146,0.02913,0.249,0.03949
A_GLH,0.0691,0.01252,0.17273,0.01536,0.2691,0.0417,0.01299,0.00759,0.03697,0.01932
A_BlueGreen_Ratio,0.0551,0.0107,0.03683,0.00822,0.2046,0.04393,0.09752,0.01911,0.07045,0.01901
roms_temp_sur,0.07814,0.01526,0.00789,0.00327,0.09076,0.04017,0.026,0.01184,0.21331,0.02957
doy_cos,0.02988,0.00739,0.01626,0.00383,0.11975,0.02566,0.03477,0.01072,0.17058,0.03638
roms_zeta,0.13422,0.02396,0.00852,0.00516,0.09716,0.03884,0.00469,0.00413,0.12573,0.03149
doy_sin,0.05003,0.01057,0.02455,0.00408,0.06382,0.02966,0.08236,0.01073,0.14873,0.0337
A_MCI,0.00826,0.00635,0.00294,0.0028,0.11838,0.03192,0.01345,0.00774,0.13517,0.02479
A_Red_NIR_Ratio,0.00787,0.00462,0.00535,0.00277,0.2225,0.03401,0.00785,0.00556,0.02288,0.01587
A_rrs_560,0.01633,0.00869,0.00556,0.00503,0.19061,0.03581,0.00522,0.00436,0.03089,0.02021
roms_current_dir,0.01165,0.00713,0.00273,0.00362,0.11298,0.05953,0.00444,0.00388,0.01189,0.01008
A_NDWI,0.01034,0.00413,0.00586,0.00335,0.09534,0.04498,0.02481,0.00831,0.00182,0.00887
A_rrs_490,0.01294,0.00662,0.00269,0.00245,0.10808,0.03827,0.00026,0.00235,0.01127,0.00859
A_DINI,0.00685,0.00445,0.0029,0.00367,0.10564,0.04075,0.00128,0.00226,0.01134,0.01199
roms_v_sur,0.00816,0.00633,0.01147,0.00635,0.05925,0.0245,0.0157,0.00524,0.02965,0.01001
A_FLH_665,0.00666,0.0037,0.00394,0.00247,0.07352,0.03194,0.00789,0.00653,0.02281,0.01776
A_NDCI,0.00349,0.00486,0.00307,0.00176,0.08883,0.0356,0.00422,0.00257,0.0058,0.00878
A_Blue_Red_Ratio,0.00988,0.00383,-0.00034,0.00208,0.08078,0.02447,0.00111,0.00506,0.00542,0.01488
A_RBD,0.00877,0.00379,0.00032,0.00229,0.06584,0.02561,0.00259,0.00271,0.01529,0.00933
A_RedEdge_Ratio,0.00678,0.00651,0.00237,0.00168,0.07048,0.03502,0.00102,0.00323,0.00968,0.01226
A_BLH,0.00215,0.00584,0.00628,0.00321,0.05659,0.02461,0.00439,0.00267,0.01676,0.01016
A_NDNI,0.00915,0.00411,-0.00207,0.00202,0.06329,0.02297,0.0018,0.0041,0.00804,0.01179
roms_current_speed,0.00304,0.00536,0.00942,0.00576,0.05571,0.02358,-0.0037,0.00204,0.01545,0.01495
roms_u_sur,-0.00073,0.00555,-0.00327,0.0027,0.04358,0.022,0.00577,0.0028,0.0337,0.00919
A_EBI,-0.00213,0.0029,0.00102,0.00151,0.06313,0.01459,0.00657,0.00096,0.00854,0.00801
A_KBBI,0.00554,0.00338,0.00297,0.0029,0.06021,0.02698,0.0013,0.00252,0.0007,0.00836
A_CI,0.01412,0.00706,0.00233,0.00376,0.04038,0.0189,0.00625,0.00412,0.00531,0.00753
roms_Pair,0.0045,0.0041,0.00358,0.0023,0.02762,0.01896,0.01314,0.00379,0.01854,0.01109
A_rrs_412,0.0038,0.00587,0.00255,0.00307,0.04536,0.02904,0.00264,0.00274,0.0128,0.01217
A_Fluorescence_Peak,0.00757,0.00701,-0.0004,0.00254,0.04948,0.02319,0.00222,0.00354,0.00446,0.01238
A_rrs_665,0.00388,0.00575,0.00083,0.00269,0.051,0.02357,-0.0013,0.00276,0.00348,0.0108
A_rrs_682,0.00268,0.00707,0.00081,0.00152,0.04461,0.02865,0.00178,0.00262,0.00688,0.01244
roms_wind_speed,-0.00387,0.0033,0.00013,0.00188,0.04076,0.02259,0.00989,0.00475,0.00895,0.01235
A_rrs_865,0.00449,0.00471,0.00586,0.00188,0.04591,0.01902,0.00242,0.00333,-0.00562,0.01042
A_Green_Red_Ratio,0.0049,0.00581,-0.00064,0.00344,0.0297,0.02508,0.00385,0.00237,0.01456,0.00879
A_GBI,0.0041,0.00371,0.00133,0.00254,0.03378,0.0103,0.01054,0.00537,0.00182,0.00786
roms_wind_dir,0.0081,0.00582,0.00217,0.00276,0.02167,0.02147,0.00164,0.00145,0.01143,0.01351
A_rrs_754,-0.0041,0.00371,-0.00266,0.00201,0.0418,0.0199,0.00125,0.00204,0.00756,0.00847
roms_Vwind,-0.0003,0.00561,0.0008,0.00253,0.00968,0.02333,0.0068,0.00377,0.02499,0.01312
A_rrs_709,0.00793,0.00494,-0.00078,0.00212,0.03006,0.02328,-0.0038,0.00208,0.00018,0.00996
A_FLH_681,0.00471,0.00353,0.002,0.00152,0.02881,0.01097,-9e-05,0.00355,-0.00375,0.00799
A_FLHmax,0.00651,0.0032,0.00299,0.00146,0.00904,0.01375,0.00058,0.00341,0.00209,0.00901
roms_Uwind,0.00273,0.00493,0.00128,0.00208,-0.01023,0.01582,0.00561,0.0017,-0.00031,0.01414
