feature,Alexandrium_catenella_perm_mean,Alexandrium_catenella_perm_std,Dinophysis_acuminata_perm_mean,Dinophysis_acuminata_perm_std,Dinophysis_norvegica_perm_mean,Dinophysis_norvegica_perm_std,Karenia_perm_mean,Karenia_perm_std,Pseudo-nitzschia_perm_mean,Pseudo-nitzschia_perm_std
roms_salt_sur,0.06485,0.00943,0.00243,0.0024,0.10916,0.02594,0.15307,0.0103,0.03553,0.00689
A_GLH,0.03948,0.01022,0.00803,0.00506,0.14962,0.01708,0.00775,0.00302,0.03108,0.00773
roms_zeta,0.11622,0.01588,0.0015,0.00331,0.03658,0.01139,0.00902,0.00269,0.01949,0.00598
doy_sin,0.02648,0.00801,0.00754,0.00362,0.02603,0.00622,0.04375,0.00541,0.03344,0.00677
A_BlueGreen_Ratio,0.03691,0.00924,-0.00157,0.00386,0.03475,0.01071,0.00941,0.0029,0.02328,0.00557
roms_temp_sur,0.02268,0.00544,0.00238,0.0029,0.02572,0.00717,0.00989,0.00322,0.02733,0.00594
roms_current_dir,0.00976,0.00722,-0.00788,0.00249,0.06949,0.01403,0.00362,0.00228,0.00855,0.00327
doy_cos,0.02093,0.00867,0.00255,0.0031,0.0056,0.00989,0.01676,0.00365,0.03307,0.00563
A_rrs_560,0.0072,0.00831,-0.00331,0.00182,0.02617,0.01085,-0.00082,0.00187,0.00439,0.004
A_CI,0.00156,0.00428,-0.00103,0.00191,0.01315,0.00507,0.00442,0.00187,0.00055,0.00261
A_MCI,-0.00088,0.00533,-0.00489,0.00154,0.00112,0.00616,0.00674,0.00207,0.01403,0.00447
A_FLH_665,0.00058,0.0041,-0.00399,0.00169,0.00375,0.00387,0.00475,0.00226,0.01098,0.00283
roms_u_sur,0.00091,0.00331,-0.00269,0.00131,0.00822,0.00575,0.00296,0.00182,0.00619,0.00367
A_Red_NIR_Ratio,0.00689,0.00457,-0.0052,0.00208,0.0037,0.00407,0.00374,0.00154,0.00628,0.0021
A_NDWI,-0.0048,0.00482,-0.00228,0.00168,0.0111,0.00744,0.00547,0.00249,0.00585,0.00225
A_rrs_412,0.00132,0.00443,-0.00182,0.00171,0.002,0.00569,0.00769,0.00329,0.00485,0.00231
A_BLH,0.00869,0.00553,-0.00688,0.00184,0.00296,0.00633,0.00475,0.00202,0.00392,0.0023
A_FLH_681,0.00439,0.00341,-0.00277,0.00181,0.00195,0.00432,0.00103,0.00173,0.00705,0.00256
roms_Pair,0.00269,0.00548,-0.00306,0.00118,-0.00054,0.00425,0.00307,0.00254,0.00752,0.00341
A_Green_Red_Ratio,0.00049,0.00578,-0.00433,0.0021,0.00498,0.00572,0.00113,0.00179,0.00618,0.00238
roms_wind_speed,-0.00183,0.00309,-0.00242,0.00102,0.00214,0.0037,0.0008,0.00266,0.00839,0.00299
roms_v_sur,-0.00092,0.00436,-0.00396,0.00252,0.00045,0.00627,0.00307,0.00214,0.00833,0.00286
roms_current_speed,0.0022,0.00351,-0.0044,0.00198,0.00361,0.00748,0.00105,0.00162,0.00435,0.00336
A_NDNI,0.00334,0.00442,-0.00796,0.0017,0.0024,0.00607,0.00316,0.00197,0.00456,0.00294
A_rrs_754,-0.0012,0.00282,-0.00416,0.00134,0.00568,0.00629,0.00068,0.00201,0.00341,0.00212
A_NDCI,0.00505,0.00391,-0.00543,0.002,-0.00227,0.0056,0.00203,0.00163,0.00471,0.00309
A_DINI,0.00075,0.00477,-0.00351,0.00226,-0.00035,0.00585,-0.00068,0.00157,0.00619,0.00363
A_FLHmax,-0.00128,0.00319,-0.0052,0.00165,-0.00122,0.00278,0.00448,0.00158,0.00503,0.00238
A_rrs_682,-0.00221,0.00404,-0.00348,0.00162,0.00305,0.00505,0.00255,0.00212,0.0017,0.00245
A_rrs_709,-0.00031,0.00417,-0.00435,0.00153,-0.00063,0.00511,1e-05,0.00166,0.0067,0.00248
roms_wind_dir,-0.00169,0.00323,-0.00347,0.00156,-0.00464,0.0048,0.00371,0.00294,0.00749,0.00274
A_KBBI,0.00156,0.00371,-0.00509,0.00156,-0.00011,0.00369,0.00109,0.0024,0.00303,0.00185
A_EBI,0.00191,0.0023,-0.00164,0.0011,-0.00143,0.00321,-0.00074,0.0012,0.00203,0.00111
A_RBD,-0.0001,0.0035,-0.00484,0.00143,-0.00287,0.00396,0.0036,0.00165,0.00418,0.00248
A_Blue_Red_Ratio,-0.00429,0.00278,-0.00179,0.00165,0.00238,0.00431,0.00194,0.00253,0.0016,0.00235
roms_Uwind,0.00144,0.00454,-0.00414,0.00169,-0.00419,0.00431,0.00289,0.002,0.00296,0.00318
A_rrs_865,-0.00037,0.00355,-0.00283,0.00165,-0.00643,0.00579,0.00072,0.00145,0.00752,0.00282
A_RedEdge_Ratio,0.0031,0.00373,-0.00614,0.00168,-0.0025,0.00579,0.00101,0.00179,0.00204,0.00237
roms_Vwind,0.00129,0.00367,-0.00524,0.00268,-0.00766,0.00581,0.0025,0.00187,0.00544,0.00229
A_Fluorescence_Peak,-0.00057,0.00324,-0.00552,0.00142,-0.00179,0.0047,0.00234,0.00225,0.0003,0.00281
A_GBI,0.00153,0.00313,-0.00428,0.00203,-0.0061,0.00452,0.00309,0.00147,0.00052,0.00267
A_rrs_490,-0.0029,0.00377,-0.00404,0.00168,-0.0092,0.00704,0.00364,0.00258,0.00203,0.00344
A_rrs_665,-0.00065,0.00338,-0.00295,0.00154,-0.00611,0.00598,-0.00168,0.00149,0.00061,0.00234
