feature,Alexandrium_catenella_perm_mean,Alexandrium_catenella_perm_std,Dinophysis_acuminata_perm_mean,Dinophysis_acuminata_perm_std,Dinophysis_norvegica_perm_mean,Dinophysis_norvegica_perm_std,Karenia_perm_mean,Karenia_perm_std,Pseudo-nitzschia_perm_mean,Pseudo-nitzschia_perm_std
doy_sin,0.15551,0.0151,0.01529,0.00304,0.04256,0.01519,0.16965,0.01756,0.3288,0.03299
doy_cos,0.13636,0.01357,0.00893,0.003,0.05143,0.02965,0.21902,0.02377,0.21594,0.04234
B_GLH,0.06984,0.01015,0.09885,0.01244,0.21803,0.0425,0.0359,0.00988,0.11246,0.02238
B_GBI,0.05762,0.00953,0.00286,0.00465,0.22808,0.03475,0.02434,0.00766,0.05051,0.01768
B_rrs_560,0.01517,0.01105,0.01183,0.00317,0.09664,0.02971,0.04391,0.00815,0.05578,0.01333
B_FLH_681,0.06022,0.00948,0.0004,0.00293,0.08387,0.0287,0.01127,0.0041,0.06698,0.02608
B_BLH,0.03707,0.00774,0.00297,0.00259,0.09431,0.02214,0.03921,0.00807,0.04861,0.02451
B_rrs_490,0.02413,0.00832,0.00219,0.00344,0.05981,0.02542,0.08331,0.01095,0.04611,0.01519
B_FLHmax,0.06558,0.01184,-0.00024,0.00237,0.06791,0.02287,0.01289,0.00241,0.03029,0.022
B_BlueGreen_Ratio,0.03517,0.01018,0.01598,0.00573,0.06406,0.01908,0.02917,0.00471,0.01576,0.01619
B_DINI,0.02479,0.00891,0.01004,0.00619,0.07232,0.02583,0.03079,0.00776,0.00446,0.01372
B_Red_NIR_Ratio,0.02431,0.01,0.00356,0.00268,0.04799,0.02858,0.01083,0.0073,0.03007,0.01865
B_FLH_665,0.03165,0.00926,0.00267,0.00385,0.00787,0.01543,0.00809,0.00351,0.05666,0.0299
B_RedEdge_Ratio,0.01031,0.00558,0.00274,0.00209,0.02648,0.01366,0.01534,0.00298,0.03399,0.02106
B_Blue_Red_Ratio,0.01592,0.0053,-0.00036,0.00271,0.0205,0.00913,0.01667,0.00447,0.03213,0.01537
B_KBBI,0.0143,0.00555,0.00231,0.00217,0.00875,0.01306,0.00923,0.00359,0.04644,0.01836
B_NDCI,0.00892,0.00511,0.00105,0.00372,0.02578,0.01433,0.00932,0.00302,0.03557,0.0183
B_MCI,0.01859,0.00611,-0.00262,0.00234,0.026,0.0138,0.00672,0.00419,0.02011,0.01734
B_CI,0.02715,0.00633,-0.00288,0.00226,0.02749,0.01027,0.01259,0.00807,0.00441,0.01003
B_Green_Red_Ratio,0.02573,0.00819,-0.00496,0.00354,0.02745,0.00973,0.01402,0.00591,0.00597,0.01472
B_NDNI,0.01561,0.00577,-0.00184,0.00311,0.01845,0.01179,0.01188,0.0037,0.01743,0.01626
B_rrs_412,0.01017,0.00561,0.00296,0.0025,0.02847,0.01003,0.01104,0.00357,0.00804,0.01481
B_rrs_709,0.00858,0.00357,-0.0023,0.00256,0.01707,0.01408,0.01147,0.00355,0.02427,0.01988
B_RBD,0.01342,0.00369,0.00331,0.00288,0.01037,0.00958,0.01306,0.00519,0.0132,0.01026
B_NDWI,0.01238,0.00816,-0.00189,0.00231,0.01429,0.01494,0.01502,0.00479,0.01261,0.01468
B_Fluorescence_Peak,0.00735,0.00486,0.0012,0.00332,0.0159,0.012,0.00516,0.00414,0.02158,0.02294
B_rrs_665,0.00571,0.00471,-0.00171,0.00295,0.01673,0.00991,0.01699,0.00582,0.01125,0.01493
B_rrs_682,0.01037,0.0076,-0.00662,0.00234,0.00581,0.01408,0.01037,0.0045,0.02418,0.01463
B_rrs_673,0.0068,0.00604,-0.00063,0.00195,0.0171,0.01076,0.01102,0.00379,0.00631,0.01239
B_rrs_754,0.00707,0.00442,-0.00099,0.00254,0.01893,0.01305,0.00984,0.00421,0.00546,0.01152
B_EBI,0.01053,0.00556,-0.00147,0.00191,0.01428,0.00948,0.00391,0.00263,0.01056,0.00997
B_rrs_865,0.00663,0.00516,0.00237,0.00235,0.00536,0.01335,0.00905,0.00471,0.00467,0.01129
