feature,Alexandrium_catenella_perm_mean,Alexandrium_catenella_perm_std,Dinophysis_acuminata_perm_mean,Dinophysis_acuminata_perm_std,Dinophysis_norvegica_perm_mean,Dinophysis_norvegica_perm_std,Karenia_perm_mean,Karenia_perm_std,Pseudo-nitzschia_perm_mean,Pseudo-nitzschia_perm_std
doy_sin,0.11541,0.00843,0.02811,0.00441,0.0233,0.00778,0.2124,0.01272,0.08389,0.00932
B_GLH,0.07015,0.00814,0.02486,0.00516,0.17096,0.02026,0.0095,0.00334,0.07102,0.00919
doy_cos,0.11983,0.00926,0.01398,0.00307,0.01701,0.00827,0.04284,0.0052,0.05693,0.00788
B_GBI,0.03004,0.01057,-0.0007,0.00292,0.09324,0.01211,0.00842,0.00318,0.04669,0.00808
B_BlueGreen_Ratio,0.02603,0.00764,0.00175,0.00406,0.06525,0.01189,0.01654,0.00465,0.02421,0.0059
B_FLH_681,0.03716,0.00777,0.00069,0.00158,0.0348,0.00782,0.00398,0.00229,0.01864,0.00534
B_FLHmax,0.03564,0.00837,1e-05,0.0017,0.02469,0.00802,0.00361,0.00295,0.02632,0.00297
B_DINI,0.00991,0.00586,-0.00235,0.00159,0.04595,0.01039,0.01014,0.0032,0.02082,0.00544
B_Red_NIR_Ratio,0.018,0.00603,0.00047,0.0029,0.03944,0.00786,0.00627,0.00364,0.01093,0.00482
B_rrs_560,0.00647,0.00744,-0.00078,0.00306,0.04274,0.01122,0.00796,0.00317,0.01684,0.00468
B_CI,0.01181,0.00606,0.00053,0.00258,0.01947,0.00668,0.00861,0.00216,0.01428,0.00426
B_BLH,0.01404,0.0074,0.00021,0.00294,0.00838,0.00688,0.01387,0.00423,0.01276,0.00484
B_rrs_490,0.00772,0.00605,-0.00543,0.00176,0.01156,0.00762,0.01274,0.00289,0.01372,0.00552
B_KBBI,0.0032,0.00462,-0.00209,0.00166,0.01256,0.00537,0.00823,0.00292,0.01609,0.00454
B_Green_Red_Ratio,0.01197,0.00431,-0.0016,0.00201,0.0127,0.00539,0.00685,0.00277,0.0063,0.00498
B_NDWI,0.0102,0.00623,-4e-05,0.00162,0.01449,0.00704,-0.00189,0.00123,0.00707,0.00455
B_MCI,0.00268,0.00475,0.00352,0.00181,0.01031,0.00634,0.00599,0.00367,0.00708,0.00386
B_RBD,0.00395,0.00354,0.00018,0.00155,0.00109,0.00625,0.0069,0.00373,0.015,0.0039
B_rrs_754,-0.00291,0.00326,0.0009,0.0014,0.01579,0.00643,0.00193,0.00291,0.01098,0.00455
B_NDCI,0.00773,0.00403,0.00128,0.00251,0.00345,0.00567,0.00447,0.00218,0.0073,0.00424
B_FLH_665,0.00744,0.00579,-0.00531,0.00299,0.00723,0.00526,0.00662,0.003,0.00724,0.00365
B_rrs_412,0.00529,0.00606,-0.00113,0.00244,0.00639,0.00486,0.00556,0.00188,0.00319,0.00296
B_NDNI,0.00604,0.00519,-0.00144,0.00242,0.0056,0.00493,0.00465,0.00206,0.0044,0.00403
B_rrs_709,0.00161,0.00349,-0.00106,0.003,0.00406,0.0042,0.00355,0.00142,0.0102,0.00462
B_RedEdge_Ratio,0.00611,0.00594,-0.00363,0.00316,0.01024,0.00815,0.00464,0.0026,0.0003,0.00466
B_Fluorescence_Peak,0.00169,0.00458,-0.00079,0.00214,-0.00037,0.0045,0.00418,0.00235,0.01227,0.00253
B_rrs_865,-0.00011,0.0037,-0.00306,0.00153,0.00739,0.00398,0.0007,0.00149,0.00862,0.00307
B_Blue_Red_Ratio,-0.00039,0.00414,0.00127,0.0015,0.00152,0.00481,0.00198,0.00262,0.00793,0.00305
B_rrs_673,0.0004,0.00406,-0.00274,0.00163,0.0031,0.00481,0.00398,0.00165,0.00752,0.00319
B_rrs_682,0.00212,0.00527,-0.00291,0.00218,0.00032,0.00614,0.00737,0.0027,0.00309,0.00438
B_rrs_665,-0.00433,0.00324,-0.0004,0.00141,0.00346,0.00421,0.00159,0.00223,0.00433,0.00367
B_EBI,-0.00087,0.00353,-0.00359,0.00196,0.00215,0.0038,0.00055,0.00145,0.00503,0.00264
