feature,Alexandrium_catenella_perm_mean,Alexandrium_catenella_perm_std,Dinophysis_acuminata_perm_mean,Dinophysis_acuminata_perm_std,Dinophysis_norvegica_perm_mean,Dinophysis_norvegica_perm_std,Karenia_perm_mean,Karenia_perm_std,Pseudo-nitzschia_perm_mean,Pseudo-nitzschia_perm_std
roms_salt_sur,0.08597,0.01253,0.00655,0.00509,0.17696,0.05142,0.26487,0.01866,0.31753,0.04345
B_GLH,0.0443,0.00856,0.08438,0.01003,0.30168,0.05082,0.01872,0.00635,0.05151,0.01738
doy_sin,0.05641,0.00762,0.01202,0.00296,0.08727,0.03287,0.06394,0.01046,0.27966,0.03838
roms_temp_sur,0.06777,0.00889,0.00307,0.00196,0.06792,0.02761,0.05314,0.01023,0.30737,0.03398
doy_cos,0.05071,0.01107,0.00712,0.00289,0.1202,0.03077,0.03854,0.0091,0.23489,0.04015
B_GBI,0.03937,0.00704,0.00237,0.00353,0.29246,0.03888,0.01192,0.00574,0.08443,0.02212
roms_zeta,0.13945,0.01813,0.00033,0.0033,0.07151,0.03806,0.01423,0.00435,0.18366,0.02777
B_FLH_681,0.04364,0.01297,-0.00052,0.00227,0.21908,0.03323,0.00716,0.00658,0.06203,0.01586
B_BlueGreen_Ratio,0.02117,0.00713,0.01817,0.0034,0.11909,0.02787,0.01997,0.00669,0.06775,0.01584
B_rrs_560,0.00882,0.00677,0.00536,0.00302,0.13077,0.04118,0.02441,0.00617,0.06661,0.01811
B_FLHmax,0.02777,0.00773,-0.0015,0.00253,0.11585,0.02607,0.00505,0.00384,0.07182,0.01908
B_DINI,0.01503,0.00745,-0.0009,0.0034,0.12828,0.03365,0.01017,0.00464,0.02792,0.0145
B_rrs_490,0.00542,0.00534,-0.00183,0.00212,0.10418,0.0428,0.02897,0.00781,0.0404,0.01443
B_RedEdge_Ratio,0.0098,0.00479,0.00033,0.00293,0.08323,0.03051,0.00259,0.00268,0.07855,0.02348
roms_current_dir,0.00991,0.00566,0.00245,0.00363,0.13698,0.05247,0.00459,0.0038,0.0202,0.01623
B_BLH,0.00676,0.00517,-0.00079,0.00176,0.08768,0.02644,0.01942,0.0046,0.05586,0.01625
B_Red_NIR_Ratio,0.02035,0.00619,0.00173,0.00189,0.03144,0.0245,0.01876,0.00718,0.07316,0.01122
B_KBBI,0.00976,0.00412,-0.00108,0.00228,0.06009,0.02553,0.01228,0.00269,0.06053,0.01173
B_Fluorescence_Peak,0.00025,0.00353,-0.00083,0.00152,0.06817,0.0285,0.01065,0.0053,0.0588,0.02015
B_CI,0.00761,0.0027,-0.00108,0.00251,0.06954,0.02625,0.00687,0.00336,0.05373,0.01953
B_NDNI,0.0063,0.00358,-0.0024,0.00236,0.05795,0.02723,0.00897,0.00376,0.06335,0.01448
B_rrs_682,0.00569,0.00395,-0.00206,0.00218,0.07106,0.02534,0.0032,0.00338,0.05465,0.02406
B_NDCI,0.01288,0.00572,0.00076,0.00205,0.05286,0.0226,0.00539,0.00274,0.0604,0.02086
B_rrs_709,0.00176,0.00385,-0.00111,0.00266,0.06544,0.03096,0.00325,0.00239,0.05987,0.02105
B_rrs_673,-6e-05,0.00439,-0.00123,0.00244,0.05212,0.01732,0.0094,0.00362,0.06174,0.01703
B_FLH_665,0.00775,0.00663,0.00321,0.00157,0.04255,0.02124,0.00952,0.00416,0.05632,0.01843
B_Green_Red_Ratio,0.00901,0.00409,-0.00172,0.00236,0.06993,0.01962,0.00619,0.00354,0.03492,0.01471
B_Blue_Red_Ratio,0.00201,0.00373,-3e-05,0.00239,0.05031,0.02374,0.009,0.00429,0.05704,0.02222
roms_v_sur,0.01096,0.00636,0.00211,0.00617,0.04077,0.02305,0.01872,0.00826,0.04335,0.01212
roms_current_speed,0.0103,0.00525,0.00476,0.00384,0.04648,0.0244,0.00615,0.0038,0.04613,0.01286
B_MCI,0.00851,0.00682,-0.00078,0.00247,0.04611,0.02405,0.00581,0.00379,0.05126,0.02037
B_rrs_412,0.0067,0.00517,0.00018,0.00275,0.05562,0.02113,0.00977,0.00454,0.0381,0.01382
B_RBD,0.01395,0.00518,0.00064,0.00199,0.0304,0.02614,0.00389,0.00247,0.04933,0.01647
B_rrs_665,0.00883,0.00342,0.00138,0.00213,0.03097,0.02466,0.00428,0.00371,0.04983,0.01687
roms_wind_speed,0.00034,0.00326,-0.00158,0.00173,0.0308,0.03357,0.01419,0.00478,0.04843,0.01537
B_rrs_754,0.00217,0.00463,-0.00156,0.00236,0.03089,0.01988,0.00256,0.00393,0.04728,0.01316
roms_Vwind,0.00653,0.00423,-0.00022,0.00169,0.01458,0.01438,0.00748,0.00388,0.05196,0.01335
B_NDWI,0.00817,0.00524,-0.0006,0.00208,0.01647,0.01085,0.00659,0.00355,0.04816,0.01231
B_rrs_865,-0.0015,0.00196,-0.00249,0.00209,0.03237,0.01387,0.00971,0.00369,0.03702,0.01691
roms_u_sur,0.00182,0.00486,0.00127,0.00208,0.01289,0.01527,0.00878,0.00341,0.03648,0.01279
roms_Pair,0.00287,0.00464,-0.00301,0.00226,0.0099,0.01699,0.02017,0.0039,0.02625,0.01183
roms_wind_dir,0.00051,0.00255,-0.00092,0.002,-0.00502,0.01772,0.01011,0.00573,0.01911,0.01517
roms_Uwind,0.00302,0.00278,-0.0015,0.00279,-0.00551,0.00912,0.00907,0.00244,0.0165,0.01123
B_EBI,0.0041,0.00338,-0.00396,0.00141,-0.00271,0.01436,0.00352,0.00289,0.00965,0.00786
