feature,Alexandrium_catenella_perm_mean,Alexandrium_catenella_perm_std,Dinophysis_acuminata_perm_mean,Dinophysis_acuminata_perm_std,Dinophysis_norvegica_perm_mean,Dinophysis_norvegica_perm_std,Karenia_perm_mean,Karenia_perm_std,Pseudo-nitzschia_perm_mean,Pseudo-nitzschia_perm_std
roms_salt_sur,0.05163,0.01009,0.00994,0.00353,0.10258,0.02273,0.14445,0.01205,0.03883,0.00792
B_GLH,0.0192,0.00536,0.01215,0.00497,0.15941,0.03393,0.00535,0.00165,0.03152,0.00666
doy_sin,0.05596,0.00789,0.01134,0.0044,0.02555,0.00778,0.05194,0.00714,0.0535,0.007
roms_zeta,0.09301,0.01359,0.00338,0.00366,0.02513,0.00966,0.00996,0.00485,0.01705,0.00517
roms_temp_sur,0.03055,0.0061,0.0082,0.00391,0.01611,0.00717,0.02567,0.00512,0.03576,0.00502
doy_cos,0.0284,0.0094,0.00305,0.00227,0.00815,0.00433,0.02648,0.00337,0.04422,0.00589
B_GBI,0.01609,0.00641,0.00205,0.00297,0.05412,0.009,0.0045,0.00186,0.01877,0.00533
roms_current_dir,0.00031,0.00581,0.00354,0.00232,0.06849,0.01647,0.01172,0.00301,0.01038,0.00295
B_BlueGreen_Ratio,0.00579,0.00559,0.00018,0.00349,0.04486,0.01722,0.01766,0.00403,0.01175,0.004
B_rrs_560,0.00227,0.00415,0.00184,0.0028,0.03097,0.00956,0.01151,0.00289,0.01537,0.00529
B_DINI,-0.00068,0.00506,-0.00114,0.00313,0.03698,0.01063,0.00749,0.00255,0.00721,0.00348
B_FLH_681,0.01421,0.00452,0.00047,0.00162,0.01478,0.0077,0.00333,0.0012,0.01474,0.00343
roms_v_sur,0.00444,0.00492,0.00022,0.00186,0.00302,0.00987,0.00463,0.00231,0.01294,0.00403
B_BLH,0.00205,0.00415,0.00082,0.00266,0.00248,0.00558,0.00997,0.00332,0.00793,0.00303
B_Red_NIR_Ratio,-0.00178,0.00417,0.00011,0.00187,0.01032,0.00684,0.00645,0.00219,0.00318,0.00295
roms_current_speed,-0.0002,0.00316,0.00029,0.00137,0.00384,0.0067,0.00393,0.00246,0.01009,0.00258
roms_Pair,0.00116,0.00296,0.00185,0.00138,-0.00591,0.00424,0.00892,0.00227,0.01079,0.00408
B_rrs_490,0.00254,0.0047,-0.00075,0.0016,-0.00171,0.00513,0.00746,0.00226,0.00653,0.00338
B_Green_Red_Ratio,0.00164,0.00404,0.00159,0.00202,-0.00162,0.00421,0.00281,0.00132,0.00763,0.00258
B_rrs_682,0.00458,0.00318,0.00224,0.00167,-0.00492,0.00309,0.00562,0.00164,0.00335,0.00204
roms_u_sur,-0.00268,0.00346,-0.0019,0.00193,-0.00692,0.00536,0.00993,0.00284,0.01194,0.00223
B_rrs_754,-0.00208,0.00217,-0.00146,0.00257,0.00089,0.00438,0.00503,0.00156,0.00776,0.00318
B_FLHmax,0.00111,0.00411,-0.00201,0.00178,-0.00502,0.00473,0.00394,0.00193,0.01142,0.00262
roms_wind_speed,0.00049,0.00233,-0.00116,0.00217,-0.00471,0.00424,0.00444,0.00285,0.00952,0.00355
roms_wind_dir,-0.00431,0.00399,-0.00066,0.00191,-0.00554,0.00233,0.00908,0.00295,0.00784,0.00251
B_Fluorescence_Peak,0.00292,0.00294,-0.0025,0.00168,-0.00564,0.00375,0.00558,0.00169,0.00581,0.00214
B_KBBI,0.00141,0.00353,-0.00024,0.00161,-0.00909,0.00413,0.00843,0.00302,0.00524,0.00256
B_CI,0.00459,0.00443,0.00308,0.00177,-0.00839,0.00419,0.00449,0.00116,0.00134,0.00327
B_NDCI,-0.00669,0.00318,-0.00076,0.00253,0.00034,0.00486,0.00575,0.00177,0.00614,0.00216
B_NDWI,-0.00069,0.00397,0.00253,0.00164,-0.0072,0.0038,0.00081,0.00172,0.00918,0.00394
B_MCI,0.00134,0.00333,0.00055,0.00168,-0.00578,0.00524,0.00401,0.00151,0.00343,0.00318
B_rrs_865,0.00064,0.00314,0.00077,0.00135,-0.00684,0.00544,0.00318,0.00156,0.00499,0.00221
B_rrs_665,0.00026,0.00359,-0.00065,0.00253,-0.011,0.00386,0.00338,0.00186,0.01011,0.00268
B_Blue_Red_Ratio,-0.00174,0.0046,-0.00229,0.00184,-0.00863,0.00374,0.00515,0.00224,0.00943,0.00349
roms_Uwind,-0.0024,0.00329,-0.00052,0.00215,-0.01246,0.00329,0.00453,0.00219,0.01081,0.00351
B_RedEdge_Ratio,-0.00354,0.00474,-0.00351,0.00171,-0.00148,0.0047,0.00388,0.00132,0.00417,0.00248
roms_Vwind,-0.0009,0.00494,-0.00439,0.00235,-0.00542,0.00432,0.00517,0.00226,0.00498,0.00362
B_rrs_673,-0.00046,0.00444,-0.00177,0.00204,-0.00611,0.00481,0.00428,0.00157,0.00314,0.00276
B_RBD,-0.00072,0.0044,-0.00198,0.00173,-0.00844,0.00461,0.00325,0.00221,0.00666,0.00323
B_FLH_665,-0.00581,0.00274,-0.00145,0.00213,-0.0048,0.00571,0.00652,0.00238,0.00345,0.00201
B_rrs_709,-0.00307,0.0027,0.0003,0.00145,-0.01223,0.00377,0.00345,0.00125,0.00659,0.00266
B_NDNI,-0.00127,0.00334,2e-05,0.00203,-0.00815,0.00256,0.00264,0.00138,0.00108,0.00292
B_EBI,-0.00391,0.00214,-0.00399,0.00152,-0.00445,0.00314,-0.00071,0.00096,0.00659,0.00208
B_rrs_412,-0.00405,0.0044,-0.00239,0.00201,-0.00716,0.00339,0.00495,0.00171,0.00126,0.00354
