feature,Alexandrium_catenella_perm_mean,Alexandrium_catenella_perm_std,Dinophysis_acuminata_perm_mean,Dinophysis_acuminata_perm_std,Dinophysis_norvegica_perm_mean,Dinophysis_norvegica_perm_std,Karenia_perm_mean,Karenia_perm_std,Pseudo-nitzschia_perm_mean,Pseudo-nitzschia_perm_std
doy_cos,0.11395,0.01552,0.03005,0.00704,0.0929,0.03101,0.24726,0.02295,0.20557,0.04173
doy_sin,0.16158,0.01434,0.04674,0.00528,0.078,0.02324,0.16297,0.02077,0.23738,0.03181
C_RBD,0.08392,0.01926,0.00977,0.00533,0.11154,0.02162,0.00404,0.00261,0.07065,0.01857
C_rrs_560,0.03031,0.01541,0.01213,0.00577,0.12603,0.0293,0.00503,0.00327,0.06036,0.01656
C_rrs_412,0.01184,0.00714,0.0147,0.00587,0.11649,0.03635,0.01461,0.00498,0.03988,0.01843
C_rrs_490,0.01742,0.00734,0.00938,0.00399,0.09157,0.02757,0.01225,0.00623,0.05474,0.02604
C_DINI,0.01943,0.01036,0.0088,0.00505,0.09521,0.03779,0.03583,0.00992,0.02515,0.01738
C_KBBI,0.03167,0.00859,0.01543,0.00746,0.06571,0.02647,0.00085,0.00257,0.04947,0.0203
C_Red_NIR_Ratio,0.00291,0.00893,0.00247,0.00465,0.07765,0.01916,0.00675,0.00354,0.04988,0.01389
C_NDWI,0.00387,0.00688,0.00769,0.00364,0.07512,0.01953,0.00584,0.00264,0.03099,0.01231
C_rrs_665,0.02389,0.01156,0.01582,0.00584,0.03659,0.011,0.00559,0.00382,0.03302,0.01657
C_GLH,0.01427,0.00658,0.02595,0.00847,0.02972,0.01412,0.00683,0.00309,0.03142,0.01333
C_BlueGreen_Ratio,0.01454,0.00814,0.0042,0.00595,0.03188,0.01588,0.01689,0.00404,0.03502,0.02064
C_FLH_681,0.01379,0.00818,0.0044,0.00324,0.04805,0.01131,0.00304,0.00276,0.02698,0.01016
C_rrs_682,0.01708,0.01018,0.00442,0.00427,0.03732,0.01102,0.00445,0.00322,0.02773,0.01063
C_Blue_Red_Ratio,0.00777,0.006,0.00538,0.00479,0.0383,0.01916,0.0042,0.00213,0.02654,0.01454
C_BLH,0.01579,0.01077,0.02149,0.00569,0.01552,0.01136,0.01039,0.00639,0.01813,0.01926
C_FLHmax,0.00607,0.00401,0.00622,0.00395,0.03164,0.01224,0.00841,0.00446,0.02894,0.01312
C_RedEdge_Ratio,0.00045,0.00638,0.00265,0.00454,0.04397,0.00955,0.00703,0.00171,0.0242,0.00742
C_CI,0.00635,0.00689,0.00745,0.00542,0.03279,0.01322,0.00422,0.00338,0.02556,0.01267
C_NDCI,0.00727,0.0063,0.00108,0.0048,0.04219,0.01846,0.0028,0.00099,0.01983,0.00876
C_rrs_673,0.0113,0.0089,0.01006,0.0052,0.03374,0.0128,0.00472,0.0026,0.01224,0.00946
C_MCI,0.02464,0.00717,0.01073,0.004,0.01644,0.01774,0.00661,0.00308,0.0135,0.01141
C_rrs_754,0.01274,0.00696,0.00466,0.00418,0.02823,0.01335,0.00101,0.00181,0.02494,0.01131
C_Fluorescence_Peak,0.01075,0.00578,0.01124,0.00358,0.03069,0.01528,0.00136,0.0032,0.01619,0.01267
C_rrs_709,0.00553,0.00951,0.00639,0.00486,0.02288,0.01895,0.00372,0.00193,0.02539,0.01144
C_Green_Red_Ratio,0.0061,0.00563,0.01057,0.00561,0.02986,0.01511,0.00116,0.00299,0.016,0.00843
C_NDNI,0.01366,0.00516,0.00498,0.00322,0.01966,0.01424,0.00409,0.00156,0.02039,0.01107
C_rrs_865,0.00553,0.00501,0.00462,0.00283,0.02751,0.01751,0.00395,0.00228,0.02007,0.00934
C_FLH_665,0.00715,0.00563,0.00248,0.00352,0.03845,0.02237,2e-05,0.00275,0.01228,0.00998
C_GBI,0.01144,0.00758,0.00373,0.00351,0.02281,0.01128,0.0036,0.00357,0.01458,0.01135
C_EBI,-0.00535,0.00188,0.0042,0.00128,0.00919,0.01217,0.0,0.0,0.00276,0.00527
