feature,Alexandrium_catenella_perm_mean,Alexandrium_catenella_perm_std,Dinophysis_acuminata_perm_mean,Dinophysis_acuminata_perm_std,Dinophysis_norvegica_perm_mean,Dinophysis_norvegica_perm_std,Karenia_perm_mean,Karenia_perm_std,Pseudo-nitzschia_perm_mean,Pseudo-nitzschia_perm_std
doy_sin,0.09767,0.01183,0.05511,0.00581,0.04361,0.01287,0.18303,0.01704,0.09435,0.00763
doy_cos,0.10111,0.01325,0.02679,0.00497,0.02092,0.01167,0.11544,0.00958,0.06648,0.00837
C_rrs_560,0.00449,0.00819,-0.00449,0.00341,0.0742,0.01368,0.0015,0.0043,0.02203,0.00707
C_RBD,0.03258,0.00896,-0.00055,0.00363,0.05098,0.01119,-0.003,0.00286,0.01712,0.00531
C_rrs_490,-0.00132,0.00675,-0.00502,0.00242,0.06812,0.01128,0.00451,0.00432,0.01534,0.00503
C_rrs_412,0.00709,0.00483,0.00133,0.0035,0.03723,0.01117,0.00477,0.00435,0.01155,0.00416
C_KBBI,0.02045,0.00992,0.00112,0.0027,0.03604,0.01346,-0.00542,0.00291,1e-05,0.00455
C_GLH,0.00622,0.00597,0.0055,0.00237,0.03033,0.00986,-0.00094,0.00361,0.00945,0.00403
C_BLH,0.00562,0.00466,0.00568,0.00344,0.01314,0.00972,0.00724,0.00282,0.0102,0.00503
C_BlueGreen_Ratio,0.01159,0.00537,-0.00215,0.00335,0.01332,0.00577,0.00442,0.00425,0.01345,0.00465
C_DINI,0.00311,0.00855,-0.00449,0.00289,0.02493,0.01006,-0.0039,0.00356,0.01116,0.00503
C_Red_NIR_Ratio,0.00482,0.00584,-0.00258,0.00256,0.02234,0.00874,-0.00469,0.00265,0.01039,0.00571
C_rrs_673,0.00888,0.00507,-0.00356,0.00219,0.0153,0.00682,-0.00211,0.00282,0.00698,0.00471
C_Blue_Red_Ratio,0.00601,0.00466,-0.00278,0.00233,0.0146,0.01054,0.00106,0.00339,0.00427,0.00401
C_rrs_682,0.00911,0.00393,-0.00135,0.00189,0.01068,0.00791,-0.00015,0.00266,0.00464,0.00504
C_Green_Red_Ratio,0.00322,0.00545,-0.00228,0.00368,0.01131,0.00942,-0.00195,0.00224,0.00905,0.00461
C_FLHmax,0.00946,0.00413,-0.00015,0.00246,0.0025,0.00784,-9e-05,0.00247,0.0064,0.00334
C_NDNI,0.00693,0.00476,-0.00228,0.00204,0.00865,0.00777,-0.00555,0.00198,0.00797,0.00405
C_CI,0.00195,0.00447,0.00069,0.00244,0.00956,0.00744,-0.00377,0.00247,0.00585,0.00455
C_Fluorescence_Peak,0.00611,0.00559,-0.00632,0.00232,0.01227,0.0062,-0.00426,0.00176,0.00565,0.0045
C_rrs_709,0.00716,0.0049,0.00016,0.00204,0.00811,0.00615,-0.00684,0.00271,0.00382,0.00359
C_rrs_665,0.01103,0.00716,-0.00562,0.00304,0.01289,0.00765,-0.00711,0.00203,0.00057,0.00396
C_MCI,0.01364,0.0058,-0.00111,0.0032,-0.0033,0.00777,0.00094,0.00401,0.00129,0.00386
C_NDWI,0.00634,0.00498,-0.00304,0.00242,0.00354,0.00699,-0.00288,0.00246,0.00692,0.00463
C_rrs_865,0.00386,0.00497,-0.00271,0.00289,0.0012,0.01165,-0.00492,0.00266,0.00897,0.00511
C_rrs_754,0.00313,0.00469,-0.0022,0.00228,0.00772,0.00802,-0.00481,0.00303,0.00219,0.00477
C_FLH_665,0.00336,0.00718,-0.00408,0.00262,0.00075,0.00614,-0.00041,0.00322,0.00552,0.00537
C_NDCI,-0.00154,0.00425,-0.00318,0.00321,0.00646,0.00746,-0.00361,0.00233,0.00348,0.00266
C_EBI,0.00145,0.00181,0.00062,0.00095,-0.00318,0.003,-0.00206,0.00118,0.00165,0.00213
C_GBI,-0.00123,0.00383,-0.00577,0.00222,-0.00014,0.00714,-0.00743,0.00343,0.0108,0.00449
C_FLH_681,0.00395,0.00571,-0.00055,0.003,-0.00995,0.00629,-0.00458,0.00287,0.00388,0.00331
C_RedEdge_Ratio,-0.00681,0.00401,-0.00328,0.00294,0.00439,0.00675,-0.00525,0.0026,0.00303,0.00381
