feature,Alexandrium_catenella_perm_mean,Alexandrium_catenella_perm_std,Dinophysis_acuminata_perm_mean,Dinophysis_acuminata_perm_std,Dinophysis_norvegica_perm_mean,Dinophysis_norvegica_perm_std,Karenia_perm_mean,Karenia_perm_std,Pseudo-nitzschia_perm_mean,Pseudo-nitzschia_perm_std
roms_salt_sur,0.11738,0.0199,0.05186,0.00764,0.1192,0.04721,0.274,0.02286,0.21734,0.03352
doy_cos,0.09996,0.01541,0.01605,0.00421,0.11454,0.03353,0.01925,0.00586,0.19366,0.03114
roms_temp_sur,0.12045,0.01277,0.01882,0.00338,0.02312,0.02195,0.03136,0.00857,0.2393,0.02591
roms_zeta,0.17229,0.02158,0.04144,0.00805,0.04311,0.03863,0.01589,0.00379,0.12808,0.03759
C_rrs_560,0.04348,0.01028,0.00803,0.00496,0.21944,0.0416,0.0019,0.00402,0.08115,0.01593
doy_sin,0.06792,0.00962,0.01064,0.00538,-0.01186,0.01447,0.07148,0.01044,0.20363,0.03469
C_RBD,0.06872,0.01431,0.004,0.00313,0.18072,0.02894,0.00302,0.00147,0.05389,0.02437
C_rrs_490,0.02977,0.01049,0.00071,0.00329,0.14705,0.04431,0.00436,0.00312,0.00773,0.0105
C_KBBI,0.04053,0.00835,-0.0048,0.00244,0.11502,0.03561,0.00205,0.00171,0.02555,0.01476
roms_current_dir,0.02879,0.00851,0.01345,0.00576,0.11364,0.05345,0.00729,0.00344,0.00602,0.01402
C_rrs_412,0.01483,0.00792,0.00462,0.0029,0.1092,0.03971,-0.00143,0.00201,0.01276,0.01706
C_DINI,0.01037,0.00663,-0.00384,0.00381,0.08382,0.02701,0.00205,0.00417,0.02047,0.01014
C_BlueGreen_Ratio,0.01345,0.00472,-0.00303,0.00261,0.01948,0.01973,0.01044,0.00484,0.04252,0.01112
roms_v_sur,0.0168,0.00688,0.01436,0.00671,0.01737,0.0229,0.00669,0.00354,0.02323,0.00701
C_rrs_673,0.01118,0.0057,-0.00058,0.00323,0.03327,0.03109,0.00049,0.00188,0.03335,0.00936
C_GLH,0.0169,0.00444,0.00085,0.00198,0.06342,0.01466,0.00372,0.00135,-0.00789,0.01535
roms_current_speed,0.01516,0.00964,0.02289,0.00758,0.01676,0.02077,-0.00097,0.00163,0.00817,0.01435
C_Red_NIR_Ratio,0.0117,0.00431,-0.0008,0.00218,0.02642,0.02049,0.0018,0.00233,0.01543,0.0089
C_rrs_865,0.00953,0.00436,-0.00235,0.00304,0.02366,0.02262,0.00157,0.00213,0.016,0.00961
C_FLHmax,0.0063,0.00442,-0.00126,0.00318,0.0249,0.01464,-0.00014,0.00244,0.01792,0.01017
C_rrs_665,0.00939,0.00602,-0.00137,0.003,0.00735,0.01209,0.0024,0.00196,0.0227,0.00973
C_FLH_681,0.00445,0.00489,0.00083,0.0026,0.01994,0.00167,-0.00259,0.00148,0.01707,0.00553
C_NDWI,0.01937,0.00738,-0.00389,0.00314,0.00748,0.01816,-8e-05,0.00161,0.01269,0.01069
roms_Vwind,0.00135,0.00488,-0.00121,0.00369,0.00615,0.00809,0.0059,0.0022,0.02191,0.01401
C_Fluorescence_Peak,0.00569,0.00541,-0.00303,0.0033,0.01855,0.01872,0.00279,0.00161,0.00994,0.01153
C_CI,0.01104,0.00698,-0.00324,0.00227,0.00721,0.01866,0.00082,0.00232,0.01543,0.0089
roms_Uwind,0.00313,0.0063,0.00178,0.00229,0.00358,0.01249,0.00697,0.00346,0.01215,0.01152
C_rrs_682,0.00857,0.00525,-0.00196,0.00302,0.01259,0.01839,-0.00083,0.00238,0.00658,0.00636
C_rrs_709,0.0101,0.0067,-0.00483,0.00364,0.00112,0.01481,0.00135,0.00161,0.01656,0.00965
C_Blue_Red_Ratio,0.01034,0.00524,-0.00215,0.00262,-0.00706,0.01715,0.00059,0.00221,0.02187,0.00717
C_Green_Red_Ratio,0.01164,0.00625,-0.00243,0.00383,0.00315,0.01571,-0.0054,0.00148,0.01656,0.01026
C_rrs_754,0.00655,0.00565,-0.00138,0.00188,0.00218,0.0104,0.00176,0.00187,0.01433,0.00943
C_MCI,0.0076,0.00617,0.0037,0.00302,-0.00251,0.00227,-0.00226,0.00209,0.01432,0.00866
C_BLH,-0.00106,0.00546,0.00315,0.00419,0.00442,0.00728,0.00136,0.00232,0.01285,0.01624
C_RedEdge_Ratio,0.0084,0.0042,-0.00109,0.00206,0.00162,0.00937,0.00124,0.00224,0.00713,0.00716
C_FLH_665,0.00475,0.00403,0.00153,0.00173,-0.00207,0.00336,-0.00111,0.00152,0.00877,0.0056
C_NDNI,0.00856,0.00533,-0.00143,0.00254,-0.00953,0.00619,0.00082,0.00148,0.01319,0.00664
roms_Pair,0.00214,0.00682,-0.00461,0.0025,0.00098,0.00524,0.00573,0.00365,0.00629,0.01695
roms_wind_dir,0.0074,0.0055,-0.0036,0.00298,-0.00959,0.01727,0.00932,0.00248,0.00381,0.01224
C_GBI,0.00392,0.00469,0.00116,0.00261,-0.01084,0.01268,-0.00205,0.00219,0.0143,0.00617
roms_u_sur,0.0032,0.00388,0.00139,0.00387,-0.00685,0.01806,0.00049,0.00166,0.00685,0.01906
C_NDCI,0.0004,0.00407,-0.00025,0.00208,-0.00181,0.00819,-0.0014,0.00183,0.00494,0.00737
roms_wind_speed,0.00723,0.00604,0.00064,0.00272,-0.02136,0.01351,0.00457,0.00328,0.00885,0.01175
C_EBI,0.00168,0.00149,-0.00166,0.00168,0.00842,0.0059,0.00058,0.00148,-0.01554,0.00714
