feature,Alexandrium_catenella_perm_mean,Alexandrium_catenella_perm_std,Dinophysis_acuminata_perm_mean,Dinophysis_acuminata_perm_std,Dinophysis_norvegica_perm_mean,Dinophysis_norvegica_perm_std,Karenia_perm_mean,Karenia_perm_std,Pseudo-nitzschia_perm_mean,Pseudo-nitzschia_perm_std
roms_salt_sur,0.07361,0.01192,0.00969,0.0039,0.10212,0.01877,0.15553,0.01079,0.03005,0.00791
roms_zeta,0.13456,0.01818,0.00753,0.00396,0.07438,0.01515,0.00175,0.00282,0.034,0.00806
doy_sin,0.04736,0.005,0.01438,0.00407,0.02535,0.01108,0.04685,0.00579,0.05717,0.00501
roms_current_dir,0.02427,0.00662,-0.00479,0.00293,0.11665,0.02446,0.00042,0.00221,0.01014,0.00336
roms_temp_sur,0.05099,0.00734,0.00299,0.00215,0.03383,0.00883,0.02128,0.00411,0.03499,0.0061
doy_cos,0.04839,0.01222,-0.00219,0.00255,0.01452,0.00848,0.01665,0.00358,0.03877,0.00568
C_rrs_560,0.0272,0.00882,-0.00425,0.00221,0.04406,0.01121,0.00469,0.00231,0.01278,0.00514
C_RBD,0.02488,0.01012,-0.00121,0.00187,0.03651,0.01306,0.00041,0.00188,0.0039,0.00455
C_rrs_490,0.0085,0.00407,-0.00184,0.00208,0.05168,0.01194,0.00317,0.00352,0.00155,0.00335
roms_v_sur,0.02154,0.00721,-0.00242,0.00331,0.02148,0.01219,-0.00395,0.00206,0.00455,0.00417
roms_current_speed,0.01401,0.00456,-0.0003,0.00258,0.01522,0.01238,-0.00438,0.00245,0.00508,0.0028
C_GLH,0.00521,0.00401,-0.00242,0.0025,0.02033,0.00716,-0.00151,0.00219,0.00666,0.00398
C_rrs_412,0.01032,0.00388,-0.00291,0.00194,0.02217,0.0114,-0.0009,0.0022,-0.00042,0.00381
C_KBBI,0.01443,0.00604,0.00166,0.00172,0.01056,0.01,-0.00113,0.00261,-0.00026,0.00526
roms_u_sur,0.01061,0.00422,-0.00153,0.00176,0.01196,0.00783,0.00119,0.00201,-0.00056,0.00268
C_BlueGreen_Ratio,0.00645,0.00647,-0.0003,0.00173,0.00388,0.00843,0.00097,0.00254,0.00962,0.00474
C_Green_Red_Ratio,0.00766,0.00449,-0.00121,0.00153,0.00722,0.00565,0.00169,0.00166,0.00069,0.00313
roms_Pair,0.01188,0.00452,-0.00254,0.00186,-0.00965,0.00578,0.00993,0.00372,0.00624,0.00324
C_DINI,0.00785,0.00739,-0.0012,0.00132,0.00976,0.00836,1e-05,0.00302,-0.0024,0.00523
C_rrs_665,0.0104,0.00555,2e-05,0.00229,0.00776,0.00708,-0.00289,0.0013,-0.00243,0.00289
C_MCI,0.0087,0.00544,0.00047,0.00156,0.00091,0.00637,-0.00282,0.00153,0.00507,0.00277
C_NDWI,0.01081,0.00575,-0.00273,0.00121,0.00394,0.00799,-0.00134,0.00211,-0.00039,0.00385
C_BLH,0.0085,0.00389,-0.00298,0.00235,0.00156,0.00633,-0.00173,0.00182,0.00403,0.00374
C_rrs_865,0.00517,0.00645,0.00104,0.00119,0.00136,0.00725,-0.00135,0.0011,0.00125,0.00144
C_NDNI,0.00802,0.0047,-0.00162,0.00134,0.00081,0.00512,2e-05,0.00189,-0.0001,0.00258
C_FLHmax,0.00846,0.00685,-0.00198,0.00118,0.00489,0.00444,-0.00415,0.0014,-0.0002,0.00269
C_Fluorescence_Peak,0.01299,0.00475,-0.00257,0.00148,0.00037,0.00635,-0.00072,0.00154,-0.0033,0.00237
C_rrs_709,0.00593,0.00366,0.0009,0.00186,-6e-05,0.00593,-0.00178,0.00145,-0.0019,0.0024
C_Red_NIR_Ratio,0.01184,0.00452,-0.00282,0.00142,-0.0036,0.00555,-0.00394,0.00171,0.00029,0.00182
C_EBI,0.00274,0.00238,0.00103,0.0007,-0.00223,0.00219,-0.00201,0.00073,0.00099,0.00072
C_GBI,0.00057,0.00453,-0.00165,0.0021,-0.00385,0.00644,-0.00082,0.00241,0.00554,0.00393
roms_wind_speed,0.00985,0.00468,-0.0015,0.00235,-0.01318,0.00705,-0.00038,0.00201,0.00379,0.00314
C_rrs_673,0.00921,0.00468,-0.00277,0.00241,0.00174,0.00684,-0.00183,0.00209,-0.0079,0.00329
C_FLH_681,0.003,0.0045,-0.00381,0.00211,0.00564,0.00667,-0.00383,0.00218,-0.00267,0.00249
C_rrs_754,0.00186,0.00349,-0.00082,0.00156,0.0011,0.00698,-0.00207,0.00184,-0.00268,0.00281
roms_Uwind,0.01162,0.00512,-0.00323,0.00185,-0.01546,0.00507,0.00207,0.00226,0.00222,0.00307
roms_wind_dir,0.00863,0.00462,-0.00536,0.00178,-0.00861,0.00554,0.00165,0.00226,-0.0011,0.00246
C_FLH_665,0.00199,0.00451,-0.00107,0.00184,-0.00342,0.00694,-0.00139,0.00167,-0.00125,0.0031
