ac,track,tier,species,fold,f1,prauc,recall,precision
ACOLITE,ACOLITE_only,closure,Alexandrium_catenella,0,0.71777,0.82381,0.68212,0.75735
ACOLITE,ACOLITE_only,closure,Alexandrium_catenella,1,0.71034,0.75263,0.73571,0.68667
ACOLITE,ACOLITE_only,closure,Alexandrium_catenella,2,0.77076,0.87427,0.70732,0.84672
ACOLITE,ACOLITE_only,closure,Alexandrium_catenella,3,0.75261,0.84675,0.73469,0.77143
ACOLITE,ACOLITE_only,closure,Alexandrium_catenella,4,0.75908,0.86704,0.70552,0.82143
ACOLITE,ACOLITE_only,closure,Alexandrium_catenella,5,0.7594,0.8399,0.71631,0.808
ACOLITE,ACOLITE_only,closure,Alexandrium_catenella,6,0.78967,0.84469,0.76429,0.81679
ACOLITE,ACOLITE_only,closure,Alexandrium_catenella,7,0.7697,0.88175,0.7341,0.80892
ACOLITE,ACOLITE_only,closure,Alexandrium_catenella,8,0.81081,0.88404,0.74074,0.89552
ACOLITE,ACOLITE_only,closure,Alexandrium_catenella,9,0.72414,0.8042,0.66038,0.80153
ACOLITE,ACOLITE_only,closure,Alexandrium_catenella,10,0.75862,0.83585,0.74324,0.77465
ACOLITE,ACOLITE_only,closure,Alexandrium_catenella,11,0.76817,0.82475,0.74497,0.79286
ACOLITE,ACOLITE_only,closure,Alexandrium_catenella,12,0.7451,0.82518,0.68675,0.81429
ACOLITE,ACOLITE_only,closure,Alexandrium_catenella,13,0.78395,0.85137,0.72159,0.85811
ACOLITE,ACOLITE_only,closure,Alexandrium_catenella,14,0.74121,0.8108,0.6988,0.78912
ACOLITE,ACOLITE_only,closure,Alexandrium_catenella,15,0.74525,0.81623,0.74242,0.74809
ACOLITE,ACOLITE_only,closure,Alexandrium_catenella,16,0.77491,0.84708,0.76087,0.78947
ACOLITE,ACOLITE_only,closure,Alexandrium_catenella,17,0.78082,0.848,0.7451,0.82014
ACOLITE,ACOLITE_only,closure,Alexandrium_catenella,18,0.7474,0.83256,0.71523,0.78261
ACOLITE,ACOLITE_only,closure,Alexandrium_catenella,19,0.75887,0.8645,0.76429,0.75352
ACOLITE,ACOLITE_only,closure,Alexandrium_catenella,20,0.74921,0.84057,0.69822,0.80822
ACOLITE,ACOLITE_only,closure,Alexandrium_catenella,21,0.76094,0.85132,0.71519,0.81295
ACOLITE,ACOLITE_only,closure,Alexandrium_catenella,22,0.79167,0.88435,0.74026,0.85075
ACOLITE,ACOLITE_only,closure,Alexandrium_catenella,23,0.71777,0.84047,0.66883,0.77444
ACOLITE,ACOLITE_only,closure,Alexandrium_catenella,24,0.69597,0.83212,0.62914,0.77869
ACOLITE,ACOLITE_only,closure,Alexandrium_catenella,25,0.73077,0.82511,0.69512,0.77027
ACOLITE,ACOLITE_only,closure,Alexandrium_catenella,26,0.75949,0.83901,0.70588,0.82192
ACOLITE,ACOLITE_only,closure,Alexandrium_catenella,27,0.70946,0.75597,0.65217,0.77778
ACOLITE,ACOLITE_only,closure,Alexandrium_catenella,28,0.75884,0.84886,0.71515,0.80822
ACOLITE,ACOLITE_only,closure,Alexandrium_catenella,29,0.77931,0.86002,0.73377,0.83088
ACOLITE,ACOLITE_only,closure,Alexandrium_catenella,30,0.80128,0.8817,0.7764,0.82781
ACOLITE,ACOLITE_only,closure,Alexandrium_catenella,31,0.7474,0.81257,0.71523,0.78261
ACOLITE,ACOLITE_only,closure,Alexandrium_catenella,32,0.71756,0.80286,0.68116,0.75806
ACOLITE,ACOLITE_only,closure,Alexandrium_catenella,33,0.74021,0.81241,0.69799,0.78788
ACOLITE,ACOLITE_only,closure,Alexandrium_catenella,34,0.75079,0.84899,0.70414,0.80405
ACOLITE,ACOLITE_only,closure,Alexandrium_catenella,35,0.73288,0.85633,0.6859,0.78676
ACOLITE,ACOLITE_only,closure,Alexandrium_catenella,36,0.77352,0.85119,0.72549,0.82836
ACOLITE,ACOLITE_only,closure,Alexandrium_catenella,37,0.8,0.88544,0.74172,0.86822
ACOLITE,ACOLITE_only,closure,Alexandrium_catenella,38,0.77256,0.82366,0.73288,0.81679
ACOLITE,ACOLITE_only,closure,Alexandrium_catenella,39,0.77632,0.80378,0.76623,0.78667
ACOLITE,ACOLITE_only,closure,Alexandrium_catenella,40,0.70968,0.77108,0.69231,0.72794
ACOLITE,ACOLITE_only,closure,Alexandrium_catenella,41,0.77441,0.86427,0.73248,0.82143
ACOLITE,ACOLITE_only,closure,Alexandrium_catenella,42,0.70968,0.81554,0.67176,0.75214
ACOLITE,ACOLITE_only,closure,Alexandrium_catenella,43,0.76074,0.83238,0.73373,0.78981
ACOLITE,ACOLITE_only,closure,Alexandrium_catenella,44,0.78519,0.84868,0.76259,0.80916
ACOLITE,ACOLITE_only,closure,Alexandrium_catenella,45,0.74205,0.82444,0.68182,0.81395
ACOLITE,ACOLITE_only,closure,Alexandrium_catenella,46,0.73154,0.81836,0.69427,0.77305
ACOLITE,ACOLITE_only,closure,Alexandrium_catenella,47,0.77622,0.83888,0.7551,0.79856
ACOLITE,ACOLITE_only,closure,Alexandrium_catenella,48,0.79863,0.82851,0.77483,0.82394
ACOLITE,ACOLITE_only,closure,Alexandrium_catenella,49,0.7651,0.85313,0.72152,0.81429
ACOLITE,ACOLITE_roms,closure,Alexandrium_catenella,0,0.73381,0.80813,0.6755,0.80315
ACOLITE,ACOLITE_roms,closure,Alexandrium_catenella,1,0.69718,0.73775,0.70714,0.6875
ACOLITE,ACOLITE_roms,closure,Alexandrium_catenella,2,0.78289,0.87511,0.72561,0.85
ACOLITE,ACOLITE_roms,closure,Alexandrium_catenella,3,0.75458,0.87697,0.70068,0.81746
ACOLITE,ACOLITE_roms,closure,Alexandrium_catenella,4,0.80268,0.90544,0.7362,0.88235
ACOLITE,ACOLITE_roms,closure,Alexandrium_catenella,5,0.78327,0.8636,0.7305,0.84426
ACOLITE,ACOLITE_roms,closure,Alexandrium_catenella,6,0.80147,0.88664,0.77857,0.82576
ACOLITE,ACOLITE_roms,closure,Alexandrium_catenella,7,0.8048,0.88707,0.77457,0.8375
ACOLITE,ACOLITE_roms,closure,Alexandrium_catenella,8,0.7619,0.89128,0.69136,0.84848
ACOLITE,ACOLITE_roms,closure,Alexandrium_catenella,9,0.71672,0.82903,0.66038,0.78358
ACOLITE,ACOLITE_roms,closure,Alexandrium_catenella,10,0.73118,0.82955,0.68919,0.77863
ACOLITE,ACOLITE_roms,closure,Alexandrium_catenella,11,0.78596,0.84606,0.75168,0.82353
ACOLITE,ACOLITE_roms,closure,Alexandrium_catenella,12,0.70627,0.81106,0.64458,0.78102
ACOLITE,ACOLITE_roms,closure,Alexandrium_catenella,13,0.75776,0.86735,0.69318,0.83562
ACOLITE,ACOLITE_roms,closure,Alexandrium_catenella,14,0.76527,0.82907,0.71687,0.82069
