ac,track,tier,n_samples,n_features,n_folds_used,cv_f1_macro_mean,cv_f1_macro_median,cv_f1_macro_std,cv_prauc_macro_mean,cv_prauc_macro_median,cv_prauc_macro_std,cv_hamming_mean,cv_hamming_std,cv_subset_acc_mean,cv_subset_acc_std,cv_jaccard_mean,cv_jaccard_std
ACOLITE,ACOLITE_only,closure,9283,31,50,0.54865,0.5412,0.04395,0.62876,0.61626,0.05569,0.05322,0.00353,0.77999,0.01259,0.42729,0.03547
ACOLITE,ACOLITE_roms,closure,9283,43,50,0.49094,0.49075,0.02398,0.63434,0.61296,0.05281,0.05326,0.00365,0.77958,0.01284,0.38052,0.02033
Baseline,Baseline_only,closure,9283,32,50,0.57373,0.5609,0.05642,0.64888,0.63408,0.05306,0.0536,0.00369,0.78162,0.013,0.44517,0.0498
Baseline,Baseline_roms,closure,9283,44,50,0.49974,0.50214,0.02576,0.64776,0.64619,0.04709,0.05308,0.00376,0.78243,0.01395,0.38703,0.02262
C2RCC,C2RCC_only,closure,9283,32,50,0.47589,0.46499,0.05129,0.54798,0.53681,0.04981,0.06703,0.0041,0.73366,0.0143,0.35052,0.04294
C2RCC,C2RCC_roms,closure,9283,44,50,0.44724,0.44385,0.02346,0.59176,0.58161,0.05238,0.06003,0.00444,0.75616,0.01535,0.33722,0.01895
ACOLITE,ACOLITE_only,warning,9283,31,50,0.74295,0.7409,0.01615,0.8086,0.80736,0.01554,0.10684,0.00547,0.60221,0.01748,0.59946,0.01911
ACOLITE,ACOLITE_roms,warning,9283,43,50,0.73185,0.73116,0.01829,0.81125,0.81213,0.0172,0.10618,0.00582,0.60208,0.01629,0.59001,0.01983
Baseline,Baseline_only,warning,9283,32,50,0.73006,0.73102,0.01677,0.80565,0.80683,0.01647,0.11131,0.00555,0.59085,0.01794,0.5839,0.01924
Baseline,Baseline_roms,warning,9283,44,50,0.71333,0.71258,0.02033,0.80144,0.80055,0.01617,0.10892,0.00606,0.59356,0.01774,0.57067,0.02125
C2RCC,C2RCC_only,warning,9283,32,50,0.6575,0.65814,0.02003,0.74195,0.74502,0.02219,0.13154,0.00663,0.54866,0.01879,0.50392,0.0198
C2RCC,C2RCC_roms,warning,9283,44,50,0.66383,0.66269,0.02151,0.77363,0.77636,0.02174,0.12079,0.00691,0.56549,0.01887,0.51885,0.02069
