ac,tier,species,n_positive,threshold,cv_recall_mean_only,cv_recall_mean_roms,delta_recall,extra_blooms_per_100
ACOLITE,closure,Dinophysis_acuminata,2095,500,0.89996,0.90867,0.00871,0.9
ACOLITE,closure,Alexandrium_catenella,1310,300,0.71811,0.71898,0.00087,0.1
ACOLITE,closure,Karenia,1212,5000,0.059,0.0,-0.059,-5.9
ACOLITE,closure,Dinophysis_norvegica,255,500,0.45407,0.29986,-0.15421,-15.4
ACOLITE,closure,Pseudo-nitzschia,381,13000,0.46078,0.29438,-0.1664,-16.6
Baseline,closure,Alexandrium_catenella,1310,300,0.701,0.70705,0.00605,0.6
Baseline,closure,Dinophysis_acuminata,2095,500,0.88856,0.89402,0.00546,0.5
Baseline,closure,Pseudo-nitzschia,381,13000,0.47549,0.33566,-0.13983,-14.0
Baseline,closure,Dinophysis_norvegica,255,500,0.44718,0.30605,-0.14113,-14.1
Baseline,closure,Karenia,1212,5000,0.19967,0.0,-0.19967,-20.0
C2RCC,closure,Dinophysis_acuminata,2095,500,0.79186,0.87667,0.08481,8.5
C2RCC,closure,Alexandrium_catenella,1310,300,0.54308,0.60874,0.06566,6.6
C2RCC,closure,Dinophysis_norvegica,255,500,0.29806,0.23109,-0.06697,-6.7
C2RCC,closure,Karenia,1212,5000,0.105,0.00667,-0.09833,-9.8
C2RCC,closure,Pseudo-nitzschia,381,13000,0.35006,0.23544,-0.11462,-11.5
ACOLITE,warning,Pseudo-nitzschia,2132,2000,0.80087,0.82725,0.02638,2.6
ACOLITE,warning,Alexandrium_catenella,1706,100,0.73217,0.74874,0.01657,1.7
ACOLITE,warning,Dinophysis_acuminata,3897,200,0.86876,0.88249,0.01373,1.4
ACOLITE,warning,Dinophysis_norvegica,1276,200,0.64672,0.64044,-0.00628,-0.6
ACOLITE,warning,Karenia,2518,1000,0.54294,0.41169,-0.13125,-13.1
Baseline,warning,Pseudo-nitzschia,2132,2000,0.78117,0.80708,0.02591,2.6
Baseline,warning,Alexandrium_catenella,1706,100,0.69756,0.7219,0.02434,2.4
Baseline,warning,Dinophysis_acuminata,3897,200,0.86346,0.87596,0.0125,1.2
Baseline,warning,Dinophysis_norvegica,1276,200,0.61253,0.6186,0.00607,0.6
Baseline,warning,Karenia,2518,1000,0.53603,0.35289,-0.18314,-18.3
C2RCC,warning,Alexandrium_catenella,1706,100,0.5784,0.65676,0.07836,7.8
C2RCC,warning,Dinophysis_norvegica,1276,200,0.46864,0.5378,0.06916,6.9
C2RCC,warning,Dinophysis_acuminata,3897,200,0.84983,0.89033,0.0405,4.0
C2RCC,warning,Pseudo-nitzschia,2132,2000,0.71263,0.75073,0.0381,3.8
C2RCC,warning,Karenia,2518,1000,0.39135,0.25256,-0.13879,-13.9
