ac,tier,species,n_positive,threshold,cv_f1_mean_only,cv_f1_std_only,cv_f1_mean_roms,cv_f1_std_roms,delta_f1,cv_prauc_mean_only,cv_prauc_std_only,cv_prauc_mean_roms,cv_prauc_std_roms,delta_prauc
ACOLITE,closure,Alexandrium_catenella,1310,300,0.75576,0.02731,0.76274,0.0317,0.00698,0.83655,0.02925,0.8472,0.03193,0.01065
ACOLITE,closure,Dinophysis_acuminata,2095,500,0.86156,0.01214,0.85946,0.01292,-0.0021,0.91425,0.01508,0.90998,0.01403,-0.00427
ACOLITE,closure,Karenia,1212,5000,0.07387,0.18347,0.0,0.0,-0.07387,0.22825,0.23475,0.22603,0.19758,-0.00222
ACOLITE,closure,Dinophysis_norvegica,255,500,0.50463,0.05901,0.40799,0.06974,-0.09664,0.54239,0.0684,0.53104,0.07021,-0.01135
ACOLITE,closure,Pseudo-nitzschia,381,13000,0.54742,0.07878,0.42452,0.08014,-0.1229,0.60262,0.06652,0.63662,0.07656,0.034
Baseline,closure,Alexandrium_catenella,1310,300,0.74593,0.02883,0.75717,0.02769,0.01124,0.83502,0.02708,0.85035,0.02864,0.01533
Baseline,closure,Dinophysis_acuminata,2095,500,0.85825,0.01422,0.85771,0.01459,-0.00054,0.91323,0.01281,0.91379,0.01261,0.00056
Baseline,closure,Dinophysis_norvegica,255,500,0.50783,0.06464,0.41479,0.07269,-0.09304,0.53723,0.06985,0.53926,0.06968,0.00203
Baseline,closure,Pseudo-nitzschia,381,13000,0.56305,0.06755,0.46901,0.07747,-0.09404,0.62509,0.07158,0.64649,0.08227,0.0214
Baseline,closure,Karenia,1212,5000,0.1936,0.26983,0.0,0.0,-0.1936,0.31777,0.22866,0.26976,0.18651,-0.04801
C2RCC,closure,Alexandrium_catenella,1310,300,0.63552,0.03327,0.69224,0.03655,0.05672,0.7546,0.03408,0.80864,0.0367,0.05404
C2RCC,closure,Dinophysis_acuminata,2095,500,0.80371,0.01465,0.84049,0.01502,0.03678,0.87687,0.01513,0.893,0.01552,0.01613
C2RCC,closure,Dinophysis_norvegica,255,500,0.39117,0.06758,0.34202,0.06491,-0.04915,0.4467,0.06567,0.48402,0.07565,0.03732
C2RCC,closure,Karenia,1212,5000,0.08149,0.20067,0.01,0.07,-0.07149,0.12522,0.18523,0.19075,0.21688,0.06553
C2RCC,closure,Pseudo-nitzschia,381,13000,0.46758,0.08242,0.35145,0.07328,-0.11613,0.51518,0.07546,0.56184,0.07827,0.04666
ACOLITE,warning,Alexandrium_catenella,1706,100,0.75453,0.02068,0.77001,0.01906,0.01548,0.83501,0.02305,0.83823,0.02128,0.00322
ACOLITE,warning,Pseudo-nitzschia,2132,2000,0.79114,0.01507,0.79372,0.01783,0.00258,0.8634,0.01447,0.85454,0.01895,-0.00886
ACOLITE,warning,Dinophysis_acuminata,3897,200,0.87144,0.01092,0.87233,0.01032,0.00089,0.94889,0.00865,0.9462,0.00871,-0.00269
ACOLITE,warning,Dinophysis_norvegica,1276,200,0.67974,0.02427,0.6801,0.02657,0.00036,0.73146,0.03004,0.72426,0.03336,-0.0072
ACOLITE,warning,Karenia,2518,1000,0.61788,0.04536,0.5431,0.06746,-0.07478,0.66424,0.05683,0.69304,0.06225,0.0288
Baseline,warning,Alexandrium_catenella,1706,100,0.73341,0.02453,0.75509,0.02238,0.02168,0.83011,0.02201,0.83712,0.02043,0.00701
Baseline,warning,Pseudo-nitzschia,2132,2000,0.77744,0.02113,0.7893,0.01827,0.01186,0.8494,0.02107,0.83779,0.02335,-0.01161
Baseline,warning,Dinophysis_norvegica,1276,200,0.65615,0.02722,0.66366,0.02646,0.00751,0.72543,0.0302,0.71821,0.032,-0.00722
Baseline,warning,Dinophysis_acuminata,3897,200,0.869,0.01078,0.87023,0.01206,0.00123,0.94311,0.00964,0.94262,0.01016,-0.00049
Baseline,warning,Karenia,2518,1000,0.61432,0.06031,0.48837,0.07381,-0.12595,0.68019,0.05895,0.67146,0.05471,-0.00873
C2RCC,warning,Alexandrium_catenella,1706,100,0.65381,0.02535,0.71334,0.02721,0.05953,0.76079,0.02923,0.80513,0.02754,0.04434
C2RCC,warning,Dinophysis_norvegica,1276,200,0.54967,0.02983,0.60565,0.03284,0.05598,0.62173,0.03236,0.67008,0.03641,0.04835
C2RCC,warning,Dinophysis_acuminata,3897,200,0.84876,0.01022,0.86735,0.00918,0.01859,0.92702,0.00856,0.93975,0.00995,0.01273
C2RCC,warning,Pseudo-nitzschia,2132,2000,0.73001,0.01921,0.74713,0.02382,0.01712,0.81533,0.02142,0.81705,0.02454,0.00172
C2RCC,warning,Karenia,2518,1000,0.50524,0.07309,0.38567,0.06888,-0.11957,0.58488,0.07746,0.63613,0.07241,0.05125
