ac,track,tier,species,threshold,n_positive,cv_f1_mean,cv_f1_median,cv_f1_std,cv_prauc_mean,cv_prauc_median,cv_prauc_std,cv_recall_mean,cv_recall_median,cv_recall_std,cv_precision_mean,cv_precision_median,cv_precision_std
ACOLITE,ACOLITE_only,closure,Alexandrium_catenella,300,1310,0.75576,0.75897,0.02731,0.83655,0.83945,0.02925,0.71811,0.71892,0.03292,0.79886,0.80279,0.03561
ACOLITE,ACOLITE_roms,closure,Alexandrium_catenella,300,1310,0.76274,0.76317,0.0317,0.8472,0.85002,0.03193,0.71898,0.72311,0.03915,0.81354,0.81782,0.03589
ACOLITE,ACOLITE_only,closure,Dinophysis_acuminata,500,2095,0.86156,0.85936,0.01214,0.91425,0.91467,0.01508,0.89996,0.90325,0.01674,0.82666,0.82538,0.01815
ACOLITE,ACOLITE_roms,closure,Dinophysis_acuminata,500,2095,0.85946,0.85826,0.01292,0.90998,0.91083,0.01403,0.90867,0.91066,0.01605,0.81571,0.81435,0.02089
ACOLITE,ACOLITE_only,closure,Dinophysis_norvegica,500,255,0.50463,0.5065,0.05901,0.54239,0.54029,0.0684,0.45407,0.45671,0.06629,0.5746,0.57735,0.07361
ACOLITE,ACOLITE_roms,closure,Dinophysis_norvegica,500,255,0.40799,0.40927,0.06974,0.53104,0.54092,0.07021,0.29986,0.3,0.06177,0.65353,0.64853,0.10156
ACOLITE,ACOLITE_only,closure,Karenia,5000,1212,0.07387,0.0,0.18347,0.22825,0.17223,0.23475,0.059,0.0,0.14611,0.10333,0.0,0.26223
ACOLITE,ACOLITE_roms,closure,Karenia,5000,1212,0.0,0.0,0.0,0.22603,0.1846,0.19758,0.0,0.0,0.0,0.0,0.0,0.0
ACOLITE,ACOLITE_only,closure,Pseudo-nitzschia,13000,381,0.54742,0.54416,0.07878,0.60262,0.60516,0.06652,0.46078,0.45804,0.08932,0.68874,0.68301,0.08521
ACOLITE,ACOLITE_roms,closure,Pseudo-nitzschia,13000,381,0.42452,0.43308,0.08014,0.63662,0.64641,0.07656,0.29438,0.29773,0.0682,0.79047,0.79286,0.11076
Baseline,Baseline_only,closure,Alexandrium_catenella,300,1310,0.74593,0.74914,0.02883,0.83502,0.84318,0.02708,0.701,0.71061,0.03999,0.79936,0.80796,0.03847
Baseline,Baseline_roms,closure,Alexandrium_catenella,300,1310,0.75717,0.76141,0.02769,0.85035,0.85245,0.02864,0.70705,0.71159,0.03935,0.81681,0.81549,0.03186
Baseline,Baseline_only,closure,Dinophysis_acuminata,500,2095,0.85825,0.85734,0.01422,0.91323,0.91537,0.01281,0.88856,0.88874,0.01742,0.83025,0.82829,0.01951
Baseline,Baseline_roms,closure,Dinophysis_acuminata,500,2095,0.85771,0.85695,0.01459,0.91379,0.91631,0.01261,0.89402,0.89629,0.01752,0.82454,0.8237,0.01988
Baseline,Baseline_only,closure,Dinophysis_norvegica,500,255,0.50783,0.50758,0.06464,0.53723,0.53489,0.06985,0.44718,0.4375,0.07248,0.59493,0.5872,0.07613
Baseline,Baseline_roms,closure,Dinophysis_norvegica,500,255,0.41479,0.41585,0.07269,0.53926,0.53771,0.06968,0.30605,0.31096,0.06726,0.66481,0.68091,0.10591
Baseline,Baseline_only,closure,Karenia,5000,1212,0.1936,0.0,0.26983,0.31777,0.276,0.22866,0.19967,0.0,0.29709,0.24286,0.0,0.34966
Baseline,Baseline_roms,closure,Karenia,5000,1212,0.0,0.0,0.0,0.26976,0.25992,0.18651,0.0,0.0,0.0,0.0,0.0,0.0
Baseline,Baseline_only,closure,Pseudo-nitzschia,13000,381,0.56305,0.56635,0.06755,0.62509,0.61586,0.07158,0.47549,0.4775,0.0804,0.70646,0.69848,0.09397
Baseline,Baseline_roms,closure,Pseudo-nitzschia,13000,381,0.46901,0.48074,0.07747,0.64649,0.65306,0.08227,0.33566,0.35068,0.06926,0.80242,0.83333,0.10916
C2RCC,C2RCC_only,closure,Alexandrium_catenella,300,1310,0.63552,0.6342,0.03327,0.7546,0.75961,0.03408,0.54308,0.54222,0.04008,0.76866,0.76887,0.03928
C2RCC,C2RCC_roms,closure,Alexandrium_catenella,300,1310,0.69224,0.69323,0.03655,0.80864,0.81204,0.0367,0.60874,0.6045,0.0434,0.80509,0.80509,0.0455
C2RCC,C2RCC_only,closure,Dinophysis_acuminata,500,2095,0.80371,0.80501,0.01465,0.87687,0.87808,0.01513,0.79186,0.79117,0.01969,0.81652,0.81572,0.02248
C2RCC,C2RCC_roms,closure,Dinophysis_acuminata,500,2095,0.84049,0.83828,0.01502,0.893,0.89278,0.01552,0.87667,0.87895,0.01737,0.80754,0.80785,0.02122
C2RCC,C2RCC_only,closure,Dinophysis_norvegica,500,255,0.39117,0.38529,0.06758,0.4467,0.44147,0.06567,0.29806,0.29028,0.05841,0.58302,0.6,0.11248
C2RCC,C2RCC_roms,closure,Dinophysis_norvegica,500,255,0.34202,0.35088,0.06491,0.48402,0.49283,0.07565,0.23109,0.23077,0.05097,0.68045,0.68586,0.1296
C2RCC,C2RCC_only,closure,Karenia,5000,1212,0.08149,0.0,0.20067,0.12522,0.03242,0.18523,0.105,0.0,0.26077,0.07167,0.0,0.18105
C2RCC,C2RCC_roms,closure,Karenia,5000,1212,0.01,0.0,0.07,0.19075,0.09268,0.21688,0.00667,0.0,0.04667,0.02,0.0,0.14
C2RCC,C2RCC_only,closure,Pseudo-nitzschia,13000,381,0.46758,0.47458,0.08242,0.51518,0.51982,0.07546,0.35006,0.35068,0.07724,0.72167,0.7303,0.1022
C2RCC,C2RCC_roms,closure,Pseudo-nitzschia,13000,381,0.35145,0.35778,0.07328,0.56184,0.55023,0.07827,0.23544,0.23529,0.05728,0.72011,0.7303,0.12875
ACOLITE,ACOLITE_only,warning,Alexandrium_catenella,100,1706,0.75453,0.75491,0.02068,0.83501,0.83284,0.02305,0.73217,0.72793,0.03206,0.77973,0.77633,0.029
ACOLITE,ACOLITE_roms,warning,Alexandrium_catenella,100,1706,0.77001,0.76981,0.01906,0.83823,0.83752,0.02128,0.74874,0.75061,0.02997,0.79367,0.79224,0.02529
ACOLITE,ACOLITE_only,warning,Dinophysis_acuminata,200,3897,0.87144,0.87177,0.01092,0.94889,0.9496,0.00865,0.86876,0.8696,0.01436,0.87431,0.87342,0.01344
ACOLITE,ACOLITE_roms,warning,Dinophysis_acuminata,200,3897,0.87233,0.87127,0.01032,0.9462,0.94717,0.00871,0.88249,0.88278,0.01181,0.86259,0.86413,0.01538
ACOLITE,ACOLITE_only,warning,Dinophysis_norvegica,200,1276,0.67974,0.67873,0.02427,0.73146,0.72531,0.03004,0.64672,0.64095,0.02993,0.71753,0.72307,0.03172
ACOLITE,ACOLITE_roms,warning,Dinophysis_norvegica,200,1276,0.6801,0.68131,0.02657,0.72426,0.72289,0.03336,0.64044,0.6388,0.03048,0.72651,0.72454,0.03836
ACOLITE,ACOLITE_only,warning,Karenia,1000,2518,0.61788,0.61097,0.04536,0.66424,0.67303,0.05683,0.54294,0.54276,0.05762,0.72438,0.73401,0.06312
ACOLITE,ACOLITE_roms,warning,Karenia,1000,2518,0.5431,0.55013,0.06746,0.69304,0.69011,0.06225,0.41169,0.4193,0.06791,0.8128,0.81125,0.08135
ACOLITE,ACOLITE_only,warning,Pseudo-nitzschia,2000,2132,0.79114,0.79313,0.01507,0.8634,0.86513,0.01447,0.80087,0.80335,0.02456,0.78232,0.78291,0.0204
ACOLITE,ACOLITE_roms,warning,Pseudo-nitzschia,2000,2132,0.79372,0.79477,0.01783,0.85454,0.85252,0.01895,0.82725,0.82908,0.02259,0.76341,0.75649,0.025
Baseline,Baseline_only,warning,Alexandrium_catenella,100,1706,0.73341,0.737,0.02453,0.83011,0.83086,0.02201,0.69756,0.69424,0.03346,0.7744,0.77775,0.0293
Baseline,Baseline_roms,warning,Alexandrium_catenella,100,1706,0.75509,0.75539,0.02238,0.83712,0.83856,0.02043,0.7219,0.72679,0.03303,0.79287,0.79141,0.02875
Baseline,Baseline_only,warning,Dinophysis_acuminata,200,3897,0.869,0.86858,0.01078,0.94311,0.94535,0.00964,0.86346,0.86428,0.01304,0.87481,0.87491,0.01556
Baseline,Baseline_roms,warning,Dinophysis_acuminata,200,3897,0.87023,0.87016,0.01206,0.94262,0.94334,0.01016,0.87596,0.87582,0.01299,0.86479,0.86844,0.01773
Baseline,Baseline_only,warning,Dinophysis_norvegica,200,1276,0.65615,0.65758,0.02722,0.72543,0.72244,0.0302,0.61253,0.61609,0.03015,0.7081,0.70915,0.04018
Baseline,Baseline_roms,warning,Dinophysis_norvegica,200,1276,0.66366,0.66391,0.02646,0.71821,0.71557,0.032,0.6186,0.61814,0.0272,0.71733,0.71739,0.04129
Baseline,Baseline_only,warning,Karenia,1000,2518,0.61432,0.62102,0.06031,0.68019,0.67744,0.05895,0.53603,0.53448,0.07194,0.72743,0.72361,0.07089
Baseline,Baseline_roms,warning,Karenia,1000,2518,0.48837,0.5,0.07381,0.67146,0.67054,0.05471,0.35289,0.35016,0.07623,0.82216,0.82376,0.07629
Baseline,Baseline_only,warning,Pseudo-nitzschia,2000,2132,0.77744,0.77873,0.02113,0.8494,0.85685,0.02107,0.78117,0.78431,0.02501,0.77447,0.77998,0.0287
Baseline,Baseline_roms,warning,Pseudo-nitzschia,2000,2132,0.7893,0.7942,0.01827,0.83779,0.83568,0.02335,0.80708,0.81013,0.02401,0.77305,0.77325,0.02665
