feature,Alexandrium_catenella_perm_mean,Alexandrium_catenella_perm_std,Dinophysis_acuminata_perm_mean,Dinophysis_acuminata_perm_std,Dinophysis_norvegica_perm_mean,Dinophysis_norvegica_perm_std,Karenia_perm_mean,Karenia_perm_std,Pseudo-nitzschia_perm_mean,Pseudo-nitzschia_perm_std
A_GLH,0.07946,0.0155,0.10673,0.01603,0.26312,0.05843,0.0,0.0,0.1962,0.04301
doy_cos,0.0489,0.01397,0.01221,0.00452,0.18958,0.05799,0.0,0.0,0.13563,0.04918
A_BlueGreen_Ratio,0.05424,0.01499,0.0304,0.00798,0.17134,0.0519,0.0,0.0,0.10438,0.04298
doy_sin,0.04078,0.01229,0.01227,0.00388,0.10834,0.04723,0.0,0.0,0.19441,0.04843
A_MCI,0.0191,0.00947,-0.00151,0.00229,0.16782,0.03777,0.0,0.0,0.16956,0.05907
A_Red_NIR_Ratio,0.02792,0.01026,0.00815,0.00287,0.22961,0.02878,0.0,0.0,0.08497,0.03976
A_rrs_560,0.02735,0.01457,-0.00136,0.00307,0.21039,0.06487,0.0,0.0,0.09577,0.03487
A_rrs_490,0.02588,0.01283,0.00184,0.00163,0.13408,0.04329,0.0,0.0,0.0841,0.03497
A_FLH_665,0.01903,0.00981,0.00786,0.00305,0.04446,0.03275,0.0,0.0,0.13935,0.03935
A_NDWI,0.00529,0.00735,0.00697,0.00378,0.14898,0.03257,0.0,0.0,0.00776,0.01859
A_Blue_Red_Ratio,0.01658,0.00873,0.00216,0.00272,0.0717,0.03057,0.0,0.0,0.03609,0.02746
A_RedEdge_Ratio,0.0083,0.00938,0.00451,0.00226,0.10473,0.03241,0.0,0.0,0.00628,0.02342
A_DINI,-0.00302,0.00755,0.00087,0.00313,0.07591,0.04001,0.0,0.0,0.04911,0.02646
A_BLH,0.01492,0.01108,0.00473,0.00233,0.0569,0.03494,0.0,0.0,0.04588,0.02249
A_NDCI,0.01108,0.00771,0.00257,0.00145,0.06886,0.02416,0.0,0.0,0.03173,0.01342
A_rrs_665,0.00473,0.00588,0.00385,0.0017,0.06526,0.02875,0.0,0.0,0.03382,0.02784
A_rrs_709,0.00286,0.00635,0.00145,0.00146,0.04978,0.02873,0.0,0.0,0.05074,0.03426
A_CI,0.02338,0.01252,0.00592,0.00281,0.06173,0.03178,0.0,0.0,0.01357,0.0219
A_Fluorescence_Peak,0.00099,0.01008,0.00509,0.00219,0.0648,0.03176,0.0,0.0,0.0184,0.02653
A_rrs_865,0.0017,0.00636,0.00191,0.00235,0.05455,0.02914,0.0,0.0,0.02617,0.01757
A_rrs_754,0.00772,0.00762,0.00706,0.00295,0.05871,0.01843,0.0,0.0,0.00812,0.02697
A_Green_Red_Ratio,0.02146,0.00806,0.00547,0.00286,0.05054,0.02113,0.0,0.0,0.00032,0.01274
A_KBBI,0.00823,0.00531,0.00131,0.00256,0.02809,0.01535,0.0,0.0,0.0367,0.01595
A_NDNI,0.01282,0.00741,0.00394,0.00256,0.0424,0.01886,0.0,0.0,0.01301,0.01988
A_rrs_682,-0.00108,0.00557,0.00196,0.00165,0.0454,0.02579,0.0,0.0,0.01865,0.02636
A_FLHmax,-0.00119,0.00317,0.00709,0.00245,0.02848,0.01778,0.0,0.0,0.02295,0.0242
A_rrs_412,0.00452,0.00883,0.00469,0.00282,0.03705,0.02355,0.0,0.0,0.00805,0.02358
A_FLH_681,0.00235,0.00335,0.00305,0.00122,0.00561,0.01255,0.0,0.0,0.02777,0.01268
A_RBD,-0.00287,0.00525,0.00525,0.00205,0.03112,0.01394,0.0,0.0,0.00479,0.02232
A_EBI,-0.00343,0.00429,0.00112,0.00115,0.02343,0.00889,0.0,0.0,-0.01092,0.01231
A_GBI,-0.00161,0.00373,0.00327,0.00221,-0.01112,0.01384,0.0,0.0,0.00897,0.01416
