feature,Alexandrium_catenella_perm_mean,Alexandrium_catenella_perm_std,Dinophysis_acuminata_perm_mean,Dinophysis_acuminata_perm_std,Dinophysis_norvegica_perm_mean,Dinophysis_norvegica_perm_std,Karenia_perm_mean,Karenia_perm_std,Pseudo-nitzschia_perm_mean,Pseudo-nitzschia_perm_std
A_GLH,0.0393,0.0123,0.04117,0.00618,0.11766,0.0171,0.033,0.01894,0.04256,0.00717
doy_sin,0.02571,0.00802,0.01377,0.00533,0.02778,0.00911,0.1548,0.03182,0.01484,0.00511
doy_cos,0.03688,0.00995,0.0101,0.00349,0.01457,0.00918,0.06433,0.02413,0.02282,0.00577
A_BlueGreen_Ratio,0.02779,0.01409,0.00437,0.00354,0.03105,0.01416,0.02427,0.0255,0.01156,0.00566
A_rrs_560,0.02729,0.01317,-0.00152,0.00214,0.0548,0.01763,0.01696,0.00781,0.00064,0.00664
A_MCI,0.02444,0.00825,0.00538,0.00283,0.01338,0.01053,0.02685,0.01289,0.00272,0.00447
A_rrs_412,0.02163,0.00811,0.00181,0.00225,0.02967,0.01165,0.01231,0.01701,0.0051,0.00364
A_FLH_665,0.01491,0.01134,0.00487,0.00315,0.00195,0.00814,0.04018,0.02335,0.00372,0.00436
A_CI,0.03528,0.01404,-0.00191,0.00252,0.02418,0.01316,0.00535,0.01007,0.00038,0.00264
A_NDWI,0.01376,0.00781,3e-05,0.00177,0.01172,0.00892,0.02837,0.01403,0.00114,0.00273
A_Blue_Red_Ratio,0.01806,0.00572,0.00108,0.00174,0.00716,0.00863,0.02091,0.01036,0.00646,0.00312
A_Red_NIR_Ratio,0.01999,0.00666,0.00169,0.00261,0.00768,0.00696,0.02245,0.01073,0.00128,0.00513
A_BLH,0.00857,0.00774,0.0021,0.00237,0.02157,0.00892,0.01338,0.01452,0.00714,0.00402
A_rrs_665,0.00709,0.00627,-0.00022,0.00257,0.0145,0.0061,0.02585,0.00362,0.00052,0.0027
A_rrs_709,0.01271,0.00409,0.00356,0.0019,0.02122,0.00807,0.00912,0.01263,2e-05,0.00228
A_Green_Red_Ratio,0.01401,0.00808,-0.00136,0.0015,0.01266,0.01029,0.01517,0.01022,0.00541,0.00412
A_NDNI,0.01682,0.00535,-0.00259,0.00141,0.00905,0.01014,0.01244,0.01121,0.00297,0.00279
A_rrs_865,0.01925,0.00543,-0.00128,0.00194,0.006,0.00571,0.00913,0.01153,-0.0001,0.00282
A_NDCI,0.01242,0.00511,0.00208,0.00194,0.00639,0.00946,0.00691,0.01257,0.00168,0.00252
A_rrs_490,0.00969,0.00985,0.00095,0.00197,0.02218,0.0095,-0.00272,0.00946,-0.001,0.00465
A_FLHmax,0.00929,0.00574,-0.00301,0.00201,0.00398,0.00482,0.011,0.0098,0.00015,0.00227
A_rrs_682,-0.00095,0.00486,-8e-05,0.00185,0.00703,0.00656,0.01099,0.0112,0.00095,0.0036
A_FLH_681,0.01039,0.0049,0.00059,0.00175,-0.00307,0.00447,0.00881,0.01187,-0.0013,0.00387
A_GBI,0.0101,0.00444,0.00329,0.00222,0.00075,0.00468,0.00016,0.01431,0.00058,0.00209
A_Fluorescence_Peak,-0.00196,0.00478,0.00187,0.00153,0.00957,0.00663,0.00906,0.00835,-0.00474,0.00293
A_rrs_754,0.00518,0.00755,-0.00334,0.0017,0.00199,0.00683,0.00583,0.01224,0.0013,0.00266
A_RedEdge_Ratio,0.00981,0.00573,-0.00094,0.00199,0.00139,0.0083,-0.00765,0.00939,0.00327,0.00351
A_DINI,0.00507,0.00555,0.00158,0.0019,0.00705,0.00588,-0.00325,0.0144,-0.00477,0.00318
A_RBD,0.00659,0.00399,0.00074,0.00112,-0.00964,0.00479,0.00174,0.00803,-0.00064,0.00213
A_EBI,0.00322,0.00384,-0.00098,0.00144,-0.0059,0.00422,-0.0041,0.00546,-8e-05,0.00128
A_KBBI,0.01447,0.00495,-0.00176,0.00204,-0.01228,0.00671,-0.00529,0.00847,-0.00447,0.00248
