feature,Alexandrium_catenella_perm_mean,Alexandrium_catenella_perm_std,Dinophysis_acuminata_perm_mean,Dinophysis_acuminata_perm_std,Dinophysis_norvegica_perm_mean,Dinophysis_norvegica_perm_std,Karenia_perm_mean,Karenia_perm_std,Pseudo-nitzschia_perm_mean,Pseudo-nitzschia_perm_std
roms_salt_sur,0.16069,0.02536,0.01819,0.00784,0.21906,0.05129,0.0,0.0,0.21344,0.05206
A_GLH,0.05587,0.01395,0.08009,0.01219,0.30215,0.05401,0.0,0.0,0.04187,0.03521
roms_temp_sur,0.1166,0.02129,0.00399,0.00283,0.10753,0.03929,0.0,0.0,0.17599,0.03841
roms_zeta,0.20317,0.02361,0.00605,0.00547,0.12394,0.04696,0.0,0.0,0.06576,0.0366
doy_cos,0.03089,0.01698,0.00941,0.00284,0.14683,0.03761,0.0,0.0,0.16036,0.04551
A_MCI,0.01921,0.00834,0.00264,0.00204,0.16958,0.06942,0.0,0.0,0.14787,0.03604
A_BlueGreen_Ratio,0.05209,0.01351,0.01629,0.00604,0.17163,0.04923,0.0,0.0,0.07414,0.03215
A_Red_NIR_Ratio,0.01449,0.00644,0.00418,0.00221,0.26905,0.04387,0.0,0.0,0.02025,0.01993
doy_sin,0.04527,0.01119,0.01341,0.00358,0.08104,0.02459,0.0,0.0,0.1358,0.03936
A_rrs_560,0.02468,0.01178,0.00267,0.00393,0.19761,0.0496,0.0,0.0,0.04716,0.0299
A_FLH_665,0.01973,0.00811,0.00368,0.0022,0.09505,0.03984,0.0,0.0,0.05513,0.03752
A_NDWI,0.02425,0.01082,0.0054,0.00187,0.12744,0.03858,0.0,0.0,0.00634,0.01543
roms_current_dir,0.0189,0.00653,0.00055,0.00281,0.1283,0.0683,0.0,0.0,0.01429,0.02218
A_rrs_490,0.01668,0.00895,0.0026,0.00179,0.10447,0.04655,0.0,0.0,0.02107,0.02287
A_DINI,0.00684,0.0098,0.00378,0.00302,0.09485,0.04478,0.0,0.0,0.0335,0.02297
A_Blue_Red_Ratio,0.0158,0.00649,0.00042,0.00282,0.09159,0.03212,0.0,0.0,0.02514,0.02197
A_NDCI,0.01143,0.00611,0.00386,0.00249,0.1018,0.04233,0.0,0.0,0.00545,0.01579
A_NDNI,0.01927,0.00577,-0.00157,0.00161,0.0713,0.02669,0.0,0.0,0.02814,0.01941
A_RedEdge_Ratio,0.01307,0.00924,0.00294,0.00216,0.08275,0.05217,0.0,0.0,0.01791,0.01749
A_BLH,0.00483,0.00798,0.0035,0.00259,0.07227,0.03772,0.0,0.0,0.02714,0.01528
A_rrs_709,0.01664,0.00595,-0.00014,0.00285,0.04653,0.0319,0.0,0.0,0.04213,0.01758
A_RBD,0.0099,0.00637,0.00211,0.0021,0.06196,0.02441,0.0,0.0,0.0272,0.01805
A_CI,0.02571,0.0088,-0.00043,0.00239,0.04876,0.02913,0.0,0.0,0.02678,0.00893
A_rrs_665,0.00977,0.00608,0.00149,0.00181,0.06449,0.03089,0.0,0.0,0.01932,0.02175
A_EBI,-0.00421,0.00438,0.00129,0.00185,0.08639,0.01805,0.0,0.0,0.00893,0.01363
A_rrs_754,0.00556,0.00667,-0.00026,0.00188,0.05944,0.02705,0.0,0.0,0.0238,0.0119
A_KBBI,0.00705,0.00661,0.00388,0.00225,0.06331,0.03103,0.0,0.0,0.01345,0.01769
A_Green_Red_Ratio,0.00878,0.00734,0.00043,0.00336,0.04748,0.0311,0.0,0.0,0.0285,0.02002
A_Fluorescence_Peak,0.01059,0.00831,0.00091,0.00195,0.05836,0.03185,0.0,0.0,0.01125,0.01551
A_rrs_865,0.00891,0.0065,0.00327,0.00163,0.05827,0.02501,0.0,0.0,0.00617,0.0175
roms_u_sur,-0.00203,0.00754,-0.00355,0.00265,0.0555,0.03527,0.0,0.0,0.02556,0.01739
A_rrs_412,0.01615,0.00833,0.00345,0.00175,0.04839,0.0329,0.0,0.0,0.00744,0.01288
roms_v_sur,0.01182,0.01028,0.00063,0.0042,0.06175,0.0308,0.0,0.0,0.0,0.0
roms_current_speed,0.00447,0.00739,0.00113,0.00454,0.07335,0.03613,0.0,0.0,-0.00684,0.02571
A_GBI,0.01028,0.00423,0.00518,0.00251,0.04381,0.01695,0.0,0.0,0.00249,0.01327
A_rrs_682,0.00311,0.00829,0.00155,0.00288,0.03722,0.02358,0.0,0.0,0.00155,0.01739
A_FLH_681,0.00188,0.00604,0.00246,0.00242,0.03575,0.01169,0.0,0.0,0.00303,0.01283
roms_wind_speed,-0.00173,0.00778,-0.00058,0.00222,0.05098,0.02585,0.0,0.0,-0.00877,0.01364
roms_Pair,0.00037,0.00646,-0.00055,0.00218,0.03436,0.0186,0.0,0.0,0.003,0.02399
roms_wind_dir,0.00628,0.00616,0.00088,0.00208,0.02374,0.02073,0.0,0.0,0.0053,0.02086
A_FLHmax,0.00527,0.00543,0.00128,0.00198,0.01452,0.01458,0.0,0.0,0.01345,0.01769
roms_Vwind,-0.001,0.00607,-0.00154,0.00123,0.00558,0.02581,0.0,0.0,0.01589,0.02018
roms_Uwind,0.01357,0.00833,-0.00086,0.00178,-0.02186,0.01933,0.0,0.0,-0.02143,0.01554
