feature,Alexandrium_catenella_perm_mean,Alexandrium_catenella_perm_std,Dinophysis_acuminata_perm_mean,Dinophysis_acuminata_perm_std,Dinophysis_norvegica_perm_mean,Dinophysis_norvegica_perm_std,Karenia_perm_mean,Karenia_perm_std,Pseudo-nitzschia_perm_mean,Pseudo-nitzschia_perm_std
roms_salt_sur,0.10095,0.01945,0.004,0.00393,0.14762,0.02167,0.1102,0.04955,0.01685,0.00623
roms_zeta,0.15318,0.02038,0.00061,0.00313,0.04795,0.01767,0.07373,0.03232,0.0113,0.00703
doy_sin,0.03106,0.00783,-0.00178,0.00287,0.02994,0.00763,0.18135,0.0467,0.01396,0.00483
roms_temp_sur,0.03713,0.01295,0.00469,0.00204,0.03444,0.00968,0.10282,0.03376,0.01308,0.00513
roms_current_dir,0.01329,0.0066,-0.00268,0.00156,0.06048,0.01576,0.09541,0.03736,-0.00128,0.00404
A_GLH,0.03514,0.00996,-0.0023,0.00473,0.0852,0.01567,0.02452,0.02862,0.01788,0.00882
doy_cos,0.02373,0.00913,0.00118,0.0019,0.01224,0.00727,0.09595,0.04189,0.01662,0.00644
A_rrs_412,0.00519,0.00434,-0.00302,0.00199,0.00633,0.00526,0.10142,0.02652,-0.00065,0.00331
A_BlueGreen_Ratio,0.02677,0.01302,-0.00318,0.00334,0.01693,0.0118,0.04914,0.02458,0.01655,0.00617
A_FLH_665,0.00544,0.00687,-0.00155,0.00172,0.00596,0.00458,0.07159,0.02225,0.0101,0.00314
A_Red_NIR_Ratio,0.00823,0.0057,-0.00144,0.00209,0.00991,0.00422,0.06318,0.01654,0.00414,0.00325
A_MCI,0.00445,0.0088,0.00108,0.00268,0.0062,0.00455,0.06249,0.01676,0.00893,0.00612
A_BLH,0.01246,0.0087,-0.00295,0.00168,0.00632,0.0058,0.05217,0.02442,-0.00119,0.0034
A_NDCI,0.00678,0.0055,-0.00252,0.00191,-0.00031,0.00343,0.05707,0.01808,-8e-05,0.00372
A_NDWI,0.0016,0.00593,-0.00085,0.00153,0.01385,0.00697,0.04281,0.01199,-0.00047,0.003
A_FLHmax,0.00173,0.00478,-0.00361,0.00142,-0.0004,0.00417,0.05926,0.02318,-0.00051,0.00237
A_rrs_682,0.00452,0.00629,-0.00017,0.00144,0.00489,0.00642,0.04401,0.02115,-0.00267,0.00352
A_rrs_560,0.0145,0.00804,-0.00022,0.00181,0.028,0.00944,0.00769,0.01256,-0.00202,0.00576
A_FLH_681,0.00944,0.00558,-0.00058,0.0019,0.00051,0.00369,0.0339,0.01373,0.00259,0.00238
roms_u_sur,0.00929,0.00702,0.00026,0.00155,0.01318,0.00621,0.02119,0.01489,0.00084,0.00304
A_Blue_Red_Ratio,0.00154,0.00716,0.00087,0.00195,0.00591,0.0069,0.03319,0.02028,0.00151,0.00476
A_Green_Red_Ratio,-6e-05,0.00611,-0.00418,0.00136,0.00843,0.00781,0.03499,0.01827,0.00227,0.00293
A_CI,0.00905,0.00507,-0.00093,0.00192,0.01256,0.00803,0.02414,0.01617,-0.00369,0.00338
A_DINI,0.00533,0.00638,-0.00112,0.00182,0.00469,0.00896,0.02894,0.01168,0.00158,0.00296
A_RedEdge_Ratio,0.00641,0.00644,-0.00418,0.00209,0.00084,0.00558,0.03597,0.01792,-0.00103,0.00441
A_KBBI,0.00647,0.00446,-0.00253,0.00111,-0.00221,0.0051,0.03423,0.01731,5e-05,0.0025
A_Fluorescence_Peak,0.00202,0.0055,6e-05,0.00161,0.00261,0.00651,0.03392,0.01512,-0.00321,0.00299
roms_current_speed,0.00961,0.0055,-0.00278,0.00123,0.00603,0.00733,0.02354,0.01,-0.00158,0.00283
A_rrs_865,0.00198,0.00464,0.00063,0.00144,-0.00498,0.00559,0.03493,0.01605,0.00187,0.0025
A_RBD,0.003,0.00379,-0.0025,0.00193,-0.00441,0.00518,0.03387,0.0122,0.00069,0.00232
A_rrs_490,0.00655,0.00552,-0.00012,0.00151,-0.0039,0.00649,0.03207,0.01995,-0.00547,0.00385
A_GBI,0.00969,0.00446,-0.00316,0.00262,-0.0057,0.00491,0.02798,0.01313,-0.00276,0.00252
roms_wind_dir,0.00151,0.00452,0.00108,0.00154,-0.00404,0.00501,0.02671,0.02711,0.00061,0.00352
A_rrs_709,0.00126,0.00536,-0.00201,0.00204,0.00036,0.00588,0.02209,0.01112,0.00186,0.00254
A_NDNI,0.00627,0.00593,-0.00346,0.00177,0.0009,0.00764,0.0174,0.0181,-0.00031,0.00311
roms_Vwind,0.00806,0.00329,-0.00344,0.00116,-0.01168,0.00527,0.02277,0.01169,0.00069,0.00338
roms_v_sur,0.00607,0.00697,1e-05,0.00202,-0.00126,0.00732,0.00774,0.0153,0.00282,0.00312
roms_Uwind,0.00553,0.00571,-0.00119,0.00185,-0.00333,0.00713,0.00784,0.01936,-0.00507,0.00304
roms_Pair,0.00196,0.00352,-0.00079,0.0016,-0.00133,0.00416,0.00294,0.01236,-0.00049,0.00342
A_rrs_665,0.00047,0.00668,-0.00239,0.00122,-0.00477,0.00706,0.01149,0.0112,-0.00369,0.00241
A_EBI,0.00181,0.00373,-0.00182,0.00136,-0.00184,0.00425,3e-05,0.00596,0.00154,0.00168
A_rrs_754,0.00051,0.00493,-0.0041,0.00154,0.00717,0.00505,-0.00261,0.01731,-0.00153,0.00283
roms_wind_speed,-0.00119,0.00422,-0.0015,0.0015,0.00019,0.0036,-0.00779,0.01281,-0.00043,0.0018
