feature,Alexandrium_catenella_perm_mean,Alexandrium_catenella_perm_std,Dinophysis_acuminata_perm_mean,Dinophysis_acuminata_perm_std,Dinophysis_norvegica_perm_mean,Dinophysis_norvegica_perm_std,Karenia_perm_mean,Karenia_perm_std,Pseudo-nitzschia_perm_mean,Pseudo-nitzschia_perm_std
B_GLH,0.06668,0.01756,0.04716,0.00815,0.19765,0.05743,0.0,0.0,0.1759,0.02995
doy_sin,0.0809,0.01629,0.00746,0.0017,0.04439,0.02326,0.0,0.0,0.21364,0.04813
B_GBI,0.0647,0.01716,0.00442,0.0055,0.20996,0.0512,-0.03333,0.1453,0.07272,0.03206
doy_cos,0.07599,0.01186,0.00402,0.00296,0.05774,0.03124,0.0,0.0,0.13249,0.0484
B_FLH_681,0.07219,0.01415,-0.00018,0.00267,0.08134,0.03821,0.0,0.0,0.07064,0.03001
B_BLH,0.04738,0.00956,0.00117,0.00341,0.09345,0.03159,0.0,0.0,0.0689,0.04077
B_Red_NIR_Ratio,0.03469,0.01233,-0.00039,0.00179,0.06232,0.0287,0.0,0.0,0.10111,0.0427
B_rrs_560,0.01916,0.00843,0.0052,0.00431,0.08144,0.03534,0.0,0.0,0.05991,0.02161
B_FLHmax,0.06701,0.01149,-0.00052,0.00203,0.07803,0.0281,0.0,0.0,0.01413,0.0363
B_rrs_490,0.02422,0.0078,0.00052,0.00211,0.05445,0.02587,0.0,0.0,0.04197,0.03342
B_DINI,0.02685,0.00778,0.00552,0.00375,0.06913,0.0275,0.0,0.0,0.01506,0.02112
B_BlueGreen_Ratio,0.03415,0.00863,0.00836,0.00571,0.05571,0.02493,0.0,0.0,0.01065,0.0278
B_MCI,0.03039,0.00998,-0.00312,0.0019,0.02641,0.01977,0.0,0.0,0.05121,0.02495
B_FLH_665,0.03344,0.01144,0.00134,0.00329,0.00188,0.01543,0.0,0.0,0.03902,0.03663
B_RedEdge_Ratio,0.01553,0.00684,-0.00074,0.00211,0.01908,0.01645,0.0,0.0,0.03999,0.02164
B_Blue_Red_Ratio,0.02631,0.00598,-0.00169,0.00218,0.01718,0.01238,0.0,0.0,0.01322,0.01472
B_CI,0.04379,0.00756,-0.00559,0.00299,0.02393,0.0097,0.0,0.0,-0.01053,0.01267
B_Green_Red_Ratio,0.02808,0.00803,-0.00537,0.00379,0.02536,0.01246,0.0,0.0,0.00116,0.01787
B_rrs_412,0.02089,0.00678,0.0011,0.00186,0.03406,0.01578,0.0,0.0,-0.01446,0.01449
B_KBBI,0.02048,0.00892,0.00105,0.00295,0.00485,0.01046,0.0,0.0,0.01038,0.02395
B_rrs_754,0.01316,0.00631,-0.00355,0.00185,0.01765,0.01595,0.0,0.0,0.00428,0.02435
B_RBD,0.01375,0.00655,-0.00044,0.00257,0.00788,0.01794,0.0,0.0,0.00843,0.0206
B_NDWI,0.01496,0.0091,-0.00469,0.00235,0.01236,0.01731,0.0,0.0,0.00645,0.01204
B_EBI,0.01483,0.00705,-0.00214,0.00225,0.01752,0.01319,0.0,0.0,-0.00381,0.01763
B_rrs_673,0.00874,0.00795,-0.00418,0.00243,0.02194,0.01354,0.0,0.0,-0.01014,0.01506
B_rrs_709,0.0072,0.00618,-0.00578,0.00272,0.01366,0.01326,0.0,0.0,0.0002,0.01917
B_rrs_682,0.00908,0.00579,-0.00616,0.00234,0.00326,0.01183,0.0,0.0,0.00186,0.02095
B_rrs_865,0.01325,0.00616,-0.00121,0.00188,-0.00375,0.01027,0.0,0.0,-0.00809,0.01331
B_NDNI,0.0145,0.00756,-0.00342,0.00258,0.01852,0.01247,-0.13333,0.26667,0.0223,0.01587
B_rrs_665,0.01155,0.00857,-0.00339,0.00215,0.01664,0.01683,-0.13333,0.26667,0.00952,0.01255
B_Fluorescence_Peak,0.01206,0.00811,-0.00295,0.00285,0.01765,0.01506,-0.16667,0.28868,0.00922,0.02418
B_NDCI,0.01108,0.00985,0.00261,0.00423,0.02875,0.0162,-0.36667,0.33166,-0.0039,0.01685
