feature,Alexandrium_catenella_perm_mean,Alexandrium_catenella_perm_std,Dinophysis_acuminata_perm_mean,Dinophysis_acuminata_perm_std,Dinophysis_norvegica_perm_mean,Dinophysis_norvegica_perm_std,Karenia_perm_mean,Karenia_perm_std,Pseudo-nitzschia_perm_mean,Pseudo-nitzschia_perm_std
B_GLH,0.06039,0.01516,0.01845,0.0056,0.11372,0.01778,0.01121,0.00932,0.05681,0.01146
doy_sin,0.03089,0.0054,0.01013,0.00402,0.01891,0.00848,0.14607,0.04151,0.03827,0.00554
doy_cos,0.0603,0.00947,0.00982,0.00442,0.01602,0.00722,0.07716,0.02795,0.02837,0.00708
B_GBI,0.03277,0.01207,0.00136,0.00411,0.0736,0.01126,0.01202,0.01646,0.03492,0.00876
B_BLH,0.01663,0.01004,0.00058,0.0024,0.0152,0.00892,0.05978,0.02054,0.0141,0.00574
B_FLHmax,0.0301,0.00724,0.00194,0.00236,0.01582,0.00888,0.03598,0.01617,0.01409,0.00524
B_Red_NIR_Ratio,0.01653,0.00844,-9e-05,0.00141,0.04963,0.01309,0.00237,0.0194,0.01321,0.00541
B_FLH_681,0.03354,0.00944,-0.00161,0.00254,0.02711,0.00954,0.01039,0.01069,0.0113,0.00567
B_KBBI,0.00086,0.00545,-0.00395,0.00167,0.01009,0.00647,0.05898,0.01667,0.0104,0.00356
B_CI,0.01147,0.00694,6e-05,0.00241,0.02391,0.0103,0.02404,0.01315,0.01562,0.00521
B_BlueGreen_Ratio,0.02077,0.01139,0.0012,0.00254,0.0419,0.00982,-0.00212,0.02328,0.01039,0.00787
B_NDCI,0.013,0.00671,-0.00234,0.0026,0.00854,0.00681,0.03465,0.01213,0.00662,0.00554
B_DINI,0.00137,0.00797,-0.00154,0.00224,0.02658,0.01466,0.02028,0.01464,0.01196,0.00545
B_rrs_754,-0.00171,0.00483,-7e-05,0.00196,0.01739,0.00861,0.0225,0.02011,0.01248,0.0033
B_RedEdge_Ratio,0.01264,0.00605,-0.0029,0.00276,0.01632,0.00835,0.01649,0.01154,0.00568,0.00402
B_FLH_665,0.00217,0.00691,-0.00168,0.00308,0.00733,0.0089,0.02836,0.0157,0.00946,0.00445
B_MCI,0.00112,0.00606,0.00615,0.00196,0.01325,0.0095,0.02259,0.01911,0.00112,0.00463
B_Green_Red_Ratio,0.01063,0.00653,-0.00041,0.00253,0.01424,0.00929,0.01241,0.01235,0.00605,0.00364
B_rrs_709,0.00267,0.00351,-0.00219,0.00193,0.00451,0.00601,0.02434,0.01239,0.00865,0.00549
B_rrs_560,0.00886,0.00437,-0.0002,0.00264,0.01977,0.00898,-0.0017,0.00853,0.00929,0.00463
B_rrs_682,-0.00518,0.00506,0.00057,0.0016,-0.00144,0.0057,0.03442,0.01632,0.0043,0.00382
B_NDNI,0.0052,0.00764,-0.00301,0.00251,0.00851,0.0066,0.01949,0.02005,0.00122,0.00528
B_RBD,0.00224,0.00621,-0.00012,0.00148,0.00425,0.00754,0.01273,0.01134,0.01209,0.00399
B_rrs_673,0.00163,0.00611,-0.00155,0.00142,0.00466,0.00438,0.01251,0.01188,0.00557,0.00512
B_rrs_490,-0.0,0.00791,-0.00288,0.00176,5e-05,0.00611,0.01703,0.01524,0.00782,0.00435
B_Fluorescence_Peak,0.00291,0.00467,0.00119,0.00138,-0.00408,0.00448,0.0165,0.01304,0.00504,0.00441
B_rrs_665,0.00041,0.00417,0.00045,0.00183,0.00067,0.00677,0.01776,0.01613,0.00156,0.00351
B_NDWI,0.00788,0.00624,0.001,0.00222,0.01022,0.01021,-0.01777,0.0066,0.00845,0.00522
B_Blue_Red_Ratio,-0.00315,0.00312,0.00167,0.00211,0.00498,0.00694,-0.00063,0.01302,0.00635,0.00435
B_rrs_865,0.00201,0.00319,-0.00414,0.00125,0.00705,0.00517,-0.01084,0.01162,0.01216,0.00435
B_rrs_412,0.00191,0.00615,-0.0023,0.00214,0.00638,0.00611,-0.00061,0.01161,0.00029,0.00363
B_EBI,0.0012,0.00485,-0.00133,0.00127,0.00131,0.0055,-0.00176,0.00566,0.00374,0.00272
