feature,Alexandrium_catenella_perm_mean,Alexandrium_catenella_perm_std,Dinophysis_acuminata_perm_mean,Dinophysis_acuminata_perm_std,Dinophysis_norvegica_perm_mean,Dinophysis_norvegica_perm_std,Karenia_perm_mean,Karenia_perm_std,Pseudo-nitzschia_perm_mean,Pseudo-nitzschia_perm_std
roms_salt_sur,0.12367,0.02787,0.00719,0.00359,0.23858,0.05669,0.0,0.0,0.33317,0.05597
B_GLH,0.03716,0.01536,0.03555,0.00968,0.31566,0.0545,0.0,0.0,0.14868,0.02743
roms_temp_sur,0.07444,0.01261,-0.00028,0.00263,0.07129,0.04543,0.0,0.0,0.38115,0.05135
B_GBI,0.04398,0.01766,0.00402,0.00458,0.28681,0.05139,0.0,0.0,0.19042,0.0427
roms_zeta,0.1901,0.02939,-0.00065,0.00247,0.09939,0.03547,0.0,0.0,0.18981,0.05104
doy_cos,0.03444,0.00669,0.00637,0.0023,0.12797,0.04255,0.0,0.0,0.28856,0.05516
B_FLH_681,0.06043,0.01514,0.0014,0.00266,0.24313,0.04825,0.0,0.0,0.12449,0.03238
doy_sin,0.04107,0.01066,0.00988,0.00297,0.08871,0.03619,0.0,0.0,0.27103,0.03207
B_BlueGreen_Ratio,0.02691,0.01143,0.01212,0.00551,0.12754,0.02667,0.0,0.0,0.12138,0.03491
B_FLHmax,0.03156,0.00728,-0.00174,0.00257,0.12298,0.03661,0.0,0.0,0.12719,0.03247
B_rrs_560,0.00531,0.00718,0.00018,0.0029,0.13218,0.04014,0.0,0.0,0.10157,0.04988
B_RedEdge_Ratio,0.01288,0.00732,0.00242,0.00173,0.07779,0.03,0.0,0.0,0.14283,0.03797
B_Red_NIR_Ratio,0.04009,0.01466,0.00256,0.00257,0.03291,0.02917,0.0,0.0,0.14834,0.03509
B_Fluorescence_Peak,0.00038,0.00359,-0.00075,0.00239,0.09785,0.03199,0.0,0.0,0.12004,0.05326
B_FLH_665,0.01576,0.00847,0.00324,0.00197,0.05561,0.02257,0.0,0.0,0.12574,0.04546
B_BLH,0.00737,0.00722,0.00126,0.00267,0.08787,0.03157,0.0,0.0,0.10347,0.04949
B_NDNI,0.00926,0.00605,-0.00341,0.00202,0.07634,0.02464,0.0,0.0,0.11723,0.03111
B_MCI,0.01212,0.00703,-0.00073,0.00215,0.07717,0.02752,0.0,0.0,0.10909,0.03249
B_CI,0.00499,0.0053,0.00027,0.0024,0.08693,0.02679,0.0,0.0,0.09851,0.05441
B_DINI,0.0122,0.00966,-0.00425,0.00258,0.11451,0.0378,0.0,0.0,0.06064,0.0261
B_rrs_682,0.00338,0.00375,-0.00379,0.00223,0.1011,0.03572,0.0,0.0,0.0771,0.04384
B_Green_Red_Ratio,0.01351,0.00576,0.00108,0.00315,0.08347,0.0227,0.0,0.0,0.07333,0.0477
B_Blue_Red_Ratio,0.00376,0.00637,0.00021,0.0024,0.06075,0.01936,0.0,0.0,0.10261,0.04316
B_rrs_673,0.00232,0.0065,-0.00283,0.00264,0.05253,0.02064,0.0,0.0,0.11324,0.03703
B_rrs_490,0.00394,0.00478,-0.00397,0.00189,0.10399,0.03798,0.0,0.0,0.06099,0.03887
roms_current_dir,0.01339,0.00841,-0.00063,0.0017,0.13319,0.0428,0.0,0.0,0.01694,0.0279
B_rrs_412,0.01451,0.00818,0.00016,0.00249,0.0612,0.02132,0.0,0.0,0.08405,0.03484
B_RBD,0.01315,0.00677,-0.00052,0.00193,0.04284,0.03585,0.0,0.0,0.10163,0.03555
roms_current_speed,0.01237,0.00824,0.00439,0.00465,0.06055,0.02719,0.0,0.0,0.07818,0.03233
B_NDCI,0.01546,0.00604,-0.00022,0.00232,0.05128,0.01653,0.0,0.0,0.08655,0.04169
B_rrs_709,0.00112,0.00466,-0.00133,0.00256,0.06446,0.02283,0.0,0.0,0.0873,0.04584
B_rrs_665,0.00771,0.0048,0.00231,0.00189,0.03908,0.02799,0.0,0.0,0.10062,0.04795
B_KBBI,0.00906,0.00505,-0.00074,0.00179,0.04857,0.02631,0.0,0.0,0.08997,0.03124
B_NDWI,0.01067,0.00568,0.00033,0.00178,0.02051,0.01404,0.0,0.0,0.09631,0.02555
roms_v_sur,0.01082,0.00739,-0.00217,0.0045,0.05038,0.02576,0.0,0.0,0.06689,0.02524
B_rrs_865,-0.00354,0.00282,-0.00261,0.00218,0.04147,0.0208,0.0,0.0,0.08653,0.0329
B_rrs_754,0.00409,0.00484,-0.00026,0.00202,0.03547,0.02141,0.0,0.0,0.0697,0.02249
roms_Vwind,0.00531,0.0043,-0.00041,0.0016,0.02061,0.01828,0.0,0.0,0.0704,0.02765
roms_u_sur,0.00257,0.00557,0.00051,0.00179,0.01956,0.01904,0.0,0.0,0.05893,0.02233
roms_wind_speed,0.00037,0.00324,-0.00226,0.00146,0.02289,0.01671,0.0,0.0,0.04375,0.02574
roms_Pair,0.002,0.00545,-0.00365,0.00133,0.01019,0.01636,0.0,0.0,0.00656,0.02745
roms_wind_dir,0.00043,0.00244,-0.00117,0.00207,-0.00592,0.01959,0.0,0.0,0.01759,0.02431
B_EBI,0.00745,0.00489,-0.00378,0.00117,-0.00503,0.02081,0.0,0.0,0.00083,0.03116
roms_Uwind,-0.00608,0.0042,-0.00072,0.00171,-0.01126,0.01348,0.0,0.0,-0.00605,0.01589
