feature,Alexandrium_catenella_perm_mean,Alexandrium_catenella_perm_std,Dinophysis_acuminata_perm_mean,Dinophysis_acuminata_perm_std,Dinophysis_norvegica_perm_mean,Dinophysis_norvegica_perm_std,Karenia_perm_mean,Karenia_perm_std,Pseudo-nitzschia_perm_mean,Pseudo-nitzschia_perm_std
roms_salt_sur,0.08941,0.01909,0.0094,0.00364,0.13408,0.02064,0.12623,0.03749,0.03115,0.00763
doy_sin,0.0389,0.01049,0.00162,0.00328,0.01375,0.00782,0.17147,0.03037,0.03329,0.00732
roms_zeta,0.12663,0.0193,0.00282,0.00341,0.03102,0.01384,0.06647,0.0214,0.01153,0.00604
doy_cos,0.03591,0.01116,-0.00105,0.00243,0.00587,0.00627,0.14762,0.02897,0.02196,0.00617
roms_temp_sur,0.04564,0.00987,0.00806,0.00251,0.0094,0.01012,0.11104,0.04164,0.02475,0.00633
roms_current_dir,0.00399,0.00549,0.00246,0.00186,0.05075,0.018,0.10142,0.03557,0.00368,0.0041
B_GBI,0.01796,0.00824,0.00193,0.00209,0.04027,0.01102,0.03562,0.01551,0.022,0.0064
B_GLH,0.01705,0.00866,0.00702,0.00425,0.06584,0.02419,0.00479,0.0117,0.0197,0.01045
B_BLH,0.00789,0.00518,-0.0014,0.00219,0.00301,0.00555,0.08875,0.02371,0.00652,0.00422
B_FLH_681,0.01709,0.0098,-0.00115,0.00131,0.01554,0.00849,0.05564,0.02016,0.0149,0.006
B_BlueGreen_Ratio,0.01179,0.00641,0.00058,0.00283,0.00861,0.01056,0.05902,0.02631,0.00098,0.00672
B_Red_NIR_Ratio,0.00237,0.0058,-0.00166,0.00191,0.01609,0.00755,0.04364,0.02174,0.00439,0.00554
B_FLHmax,0.00822,0.00768,-0.00114,0.0015,-0.00949,0.0053,0.04062,0.01879,0.00889,0.00435
B_KBBI,0.00537,0.00424,0.00228,0.00164,-0.0138,0.00662,0.04454,0.01684,0.00592,0.00492
B_NDCI,-0.00537,0.00433,-0.00178,0.00193,-0.0026,0.00618,0.04605,0.01709,0.00467,0.00484
roms_u_sur,0.00137,0.00289,-0.0019,0.00217,-0.01247,0.00491,0.04106,0.0281,0.01246,0.00486
B_DINI,0.00222,0.0054,-0.00429,0.00239,0.0105,0.01119,0.02202,0.0163,0.00836,0.00609
B_rrs_754,0.00565,0.00474,-0.00117,0.00172,-0.0007,0.00571,0.02481,0.01078,0.00819,0.00283
B_Green_Red_Ratio,0.00875,0.00517,0.00067,0.00136,-0.00641,0.00592,0.02018,0.01981,0.0086,0.00277
B_RedEdge_Ratio,0.00058,0.00451,-0.00353,0.00213,-0.00694,0.00623,0.0357,0.01875,0.00521,0.0028
B_rrs_490,0.01018,0.00542,-0.00353,0.0013,-0.00732,0.00434,0.02719,0.01583,0.00417,0.00361
roms_current_speed,0.00676,0.00411,-0.00228,0.0018,0.0016,0.00747,0.01616,0.01095,0.00682,0.00335
B_rrs_673,0.00445,0.00324,-0.0009,0.00188,-0.00984,0.00292,0.02993,0.01457,0.00506,0.00352
B_CI,0.01174,0.00743,0.00101,0.0012,-0.01112,0.00806,0.02496,0.01242,0.00153,0.00286
B_MCI,0.00539,0.0047,8e-05,0.00183,-0.01112,0.005,0.02378,0.02055,0.00763,0.00323
roms_v_sur,0.01164,0.00667,-0.00016,0.00199,-0.00702,0.00841,0.01506,0.01701,0.00425,0.00408
B_RBD,0.00868,0.00506,-0.00511,0.00208,-0.01107,0.00495,0.02784,0.01688,0.00269,0.00255
B_NDNI,0.00451,0.00406,-0.00263,0.002,-0.01266,0.00445,0.0297,0.01302,0.00155,0.00304
B_FLH_665,-0.00138,0.00479,-0.00042,0.00198,-0.01007,0.00575,0.02578,0.01108,0.00328,0.00284
B_rrs_560,0.00294,0.00413,-0.00166,0.00212,-0.00036,0.01,0.00763,0.0216,0.00784,0.00613
B_Blue_Red_Ratio,0.00069,0.00396,0.00063,0.00214,-0.01235,0.00462,0.01652,0.01655,0.00993,0.00448
B_rrs_682,0.00519,0.00361,0.00085,0.00143,-0.00981,0.00386,0.01408,0.01364,0.00319,0.00374
B_rrs_665,0.00466,0.00358,-0.00153,0.00239,-0.01713,0.0048,0.01716,0.01342,0.0095,0.00295
B_rrs_865,0.00451,0.00286,-0.00059,0.00112,-0.01062,0.00327,0.01421,0.0082,0.00461,0.00354
B_Fluorescence_Peak,0.0005,0.00481,-0.00092,0.00191,-0.00981,0.00209,0.01716,0.01342,0.00499,0.00395
roms_wind_dir,0.00056,0.00507,-0.00342,0.00131,-0.00581,0.00347,0.01244,0.01637,0.00567,0.0031
B_rrs_412,0.00265,0.00543,-0.0027,0.00205,-0.01104,0.00576,0.00873,0.01941,0.00353,0.00371
B_NDWI,0.00351,0.00558,1e-05,0.00126,-0.0115,0.00548,0.00287,0.00898,0.00472,0.00381
roms_Uwind,0.00032,0.00526,-0.00295,0.00199,-0.01299,0.00387,0.00322,0.00681,0.0105,0.00325
roms_wind_speed,0.00167,0.00271,-0.00141,0.00159,-0.01013,0.00461,0.00107,0.01375,0.00634,0.00391
roms_Vwind,0.00539,0.00419,-0.00284,0.00194,-0.01284,0.00461,0.00056,0.0157,0.00681,0.00476
B_rrs_709,-0.00182,0.0037,-0.0005,0.00237,-0.0144,0.00478,0.00568,0.00868,0.00498,0.00347
B_EBI,0.00178,0.00305,-0.00242,0.00091,-0.00671,0.00336,-0.00733,0.01235,0.00796,0.00262
roms_Pair,0.00252,0.00506,-0.00263,0.00134,-0.01005,0.00403,-0.01727,0.01952,0.00568,0.00413
