feature,Alexandrium_catenella_perm_mean,Alexandrium_catenella_perm_std,Dinophysis_acuminata_perm_mean,Dinophysis_acuminata_perm_std,Dinophysis_norvegica_perm_mean,Dinophysis_norvegica_perm_std,Karenia_perm_mean,Karenia_perm_std,Pseudo-nitzschia_perm_mean,Pseudo-nitzschia_perm_std
doy_cos,0.06182,0.01819,0.0291,0.00808,0.10958,0.03709,0.0,0.0,0.1912,0.04121
doy_sin,0.1026,0.01621,0.03668,0.0066,0.08745,0.04091,0.0,0.0,0.14723,0.03566
C_RBD,0.11746,0.02515,0.00825,0.00446,0.08876,0.0403,0.0,0.0,0.14333,0.03487
C_rrs_560,0.03526,0.01423,0.01084,0.00512,0.12304,0.04934,0.0,0.0,0.14294,0.03165
C_KBBI,0.04476,0.01526,0.01093,0.00552,0.0614,0.0353,0.0,0.0,0.12098,0.0531
C_rrs_490,0.02333,0.01165,0.01125,0.00541,0.10528,0.02676,0.0,0.0,0.06827,0.02469
C_rrs_412,0.02527,0.01379,0.01824,0.00468,0.0939,0.06403,0.0,0.0,0.0602,0.02922
C_DINI,0.02599,0.01076,0.0045,0.00411,0.10193,0.05031,0.0,0.0,0.04521,0.02992
C_Red_NIR_Ratio,0.00691,0.00715,0.00308,0.00384,0.06704,0.02483,0.0,0.0,0.09607,0.03194
C_rrs_665,0.03398,0.01555,0.01364,0.00631,0.03956,0.01668,0.0,0.0,0.08289,0.0302
C_GLH,0.01443,0.0093,0.02795,0.0054,0.0359,0.01775,0.0,0.0,0.07485,0.03117
C_FLH_681,0.01705,0.01072,0.00497,0.00388,0.05991,0.02264,0.0,0.0,0.06407,0.03364
C_rrs_709,0.03487,0.01462,0.0048,0.00295,0.03283,0.0173,0.0,0.0,0.06567,0.02776
C_rrs_682,0.02697,0.01172,0.00405,0.00361,0.04568,0.00998,0.0,0.0,0.05932,0.01676
C_BlueGreen_Ratio,0.01778,0.01103,0.00031,0.00388,0.04634,0.0164,0.0,0.0,0.06208,0.0275
C_NDWI,0.01012,0.0081,0.00672,0.00419,0.06246,0.02481,0.0,0.0,0.04601,0.02372
C_FLH_665,0.02217,0.01053,0.00409,0.00281,0.05004,0.02245,0.0,0.0,0.04292,0.02165
C_Blue_Red_Ratio,0.00742,0.0075,0.00739,0.004,0.04363,0.01809,0.0,0.0,0.05732,0.04182
C_FLHmax,0.01117,0.01038,0.00471,0.00353,0.02622,0.02182,0.0,0.0,0.07209,0.03367
C_BLH,0.02086,0.01235,0.02225,0.00399,0.01973,0.01084,0.0,0.0,0.05035,0.04467
C_CI,0.00035,0.00892,0.00883,0.00573,0.03664,0.01402,0.0,0.0,0.05562,0.02399
C_MCI,0.02539,0.00889,0.00468,0.00434,0.03519,0.01488,0.0,0.0,0.0352,0.03221
C_RedEdge_Ratio,0.00063,0.00647,0.00343,0.00392,0.04506,0.01782,0.0,0.0,0.0507,0.03279
C_rrs_865,0.01816,0.00675,0.00525,0.0029,0.03229,0.01757,0.0,0.0,0.04126,0.02207
C_Fluorescence_Peak,0.01541,0.00822,0.00797,0.00506,0.03805,0.01767,0.0,0.0,0.03431,0.02389
C_rrs_754,0.00666,0.00899,0.00235,0.00436,0.0324,0.01683,0.0,0.0,0.05369,0.02508
C_GBI,0.00692,0.00929,0.00503,0.00394,0.0274,0.02305,0.0,0.0,0.04622,0.02529
C_rrs_673,0.01717,0.00776,0.00586,0.00367,0.04216,0.01163,0.0,0.0,0.02016,0.02357
C_NDNI,0.01796,0.00859,0.00337,0.00233,0.01573,0.00762,0.0,0.0,0.0473,0.02945
C_Green_Red_Ratio,0.00451,0.00727,0.00896,0.00507,0.03689,0.01688,0.0,0.0,0.02942,0.02451
C_NDCI,0.0066,0.00729,0.00046,0.00483,0.02887,0.01807,0.0,0.0,0.02486,0.03278
C_EBI,-0.01076,0.00349,0.00243,0.00154,0.00899,0.0103,0.0,0.0,0.0148,0.01402
