feature,Alexandrium_catenella_perm_mean,Alexandrium_catenella_perm_std,Dinophysis_acuminata_perm_mean,Dinophysis_acuminata_perm_std,Dinophysis_norvegica_perm_mean,Dinophysis_norvegica_perm_std,Karenia_perm_mean,Karenia_perm_std,Pseudo-nitzschia_perm_mean,Pseudo-nitzschia_perm_std
doy_sin,0.05007,0.01483,0.02005,0.00557,0.04693,0.01596,0.1714,0.05983,0.04135,0.00917
doy_cos,0.05757,0.01994,0.01898,0.00451,0.02198,0.01427,0.08375,0.04393,0.04246,0.00592
C_rrs_560,0.01342,0.01233,-0.00453,0.00296,0.06727,0.01798,-0.00735,0.01818,0.01457,0.00738
C_RBD,0.03942,0.01385,0.00014,0.00382,0.048,0.01167,-0.03408,0.01635,0.01213,0.00835
C_GLH,0.00348,0.00904,0.00483,0.00373,0.03523,0.01159,0.00634,0.01565,0.00417,0.00486
C_rrs_412,0.01042,0.00799,-0.00201,0.00265,0.03009,0.01275,-0.00119,0.02582,0.01118,0.00583
C_rrs_490,0.00913,0.00793,-0.00248,0.0029,0.06035,0.01546,-0.04595,0.03315,0.0147,0.00693
C_FLHmax,0.00776,0.00653,0.00215,0.00243,0.00217,0.00352,0.00675,0.01468,0.00739,0.00512
C_BLH,0.01199,0.00851,0.0005,0.00353,0.02012,0.00916,-0.0294,0.02087,0.00784,0.00537
C_NDNI,0.0102,0.00622,-0.00059,0.00212,0.00502,0.01023,-0.00971,0.01414,0.00307,0.00528
C_Green_Red_Ratio,0.0016,0.00703,-0.00166,0.0026,0.00658,0.0107,-0.01215,0.0137,0.01096,0.00576
C_rrs_682,0.00607,0.00734,-0.00135,0.00215,0.00741,0.0058,-0.01477,0.00696,0.00667,0.00544
C_MCI,0.01607,0.00795,-0.0021,0.00377,-0.00659,0.00729,-0.00258,0.01696,-0.00264,0.00428
C_Red_NIR_Ratio,-0.0002,0.0068,0.0022,0.0025,0.01737,0.00822,-0.0188,0.01673,-0.00038,0.0058
C_EBI,0.00177,0.00173,-5e-05,0.00086,-0.00165,0.00327,-0.00038,0.00555,-0.00012,0.003
C_CI,0.00165,0.00678,0.00074,0.00247,0.00789,0.00712,-0.0182,0.01351,0.00629,0.00573
C_KBBI,0.02252,0.01099,-0.00364,0.0027,0.0278,0.01157,-0.04734,0.01455,-0.00155,0.00742
C_FLH_665,0.00909,0.0066,-0.00531,0.0021,-0.00095,0.00929,-0.01042,0.01674,0.00166,0.00533
C_rrs_673,0.00224,0.00716,-0.00228,0.00212,0.01424,0.00768,-0.0234,0.01242,0.00303,0.00519
C_rrs_665,0.01349,0.00784,-0.00471,0.00358,0.01079,0.00822,-0.02071,0.01094,-0.00575,0.00638
C_BlueGreen_Ratio,0.01393,0.00937,0.00021,0.00207,0.00822,0.00632,-0.04395,0.02245,0.01074,0.00462
C_NDWI,0.00527,0.00731,-0.00192,0.00268,0.00507,0.0095,-0.02602,0.02161,0.00389,0.00575
C_FLH_681,0.00863,0.00682,0.00075,0.00302,-0.00759,0.00776,-0.02345,0.01266,0.00398,0.00515
C_rrs_754,-0.0043,0.00592,-0.00352,0.00194,0.01002,0.00863,-0.02397,0.01813,-0.00094,0.00476
C_Fluorescence_Peak,0.00249,0.00887,-0.00343,0.00212,0.00552,0.00571,-0.0313,0.01159,0.00395,0.00458
C_NDCI,-0.00485,0.00754,-0.00286,0.00273,0.00371,0.00671,-0.02221,0.0199,0.00152,0.00425
C_rrs_709,0.00333,0.00615,0.00289,0.00173,0.0026,0.00592,-0.03199,0.01981,-0.00227,0.0063
C_rrs_865,-0.00328,0.00687,-0.00356,0.00238,3e-05,0.00926,-0.02598,0.01779,0.00675,0.00626
C_RedEdge_Ratio,-0.01311,0.00585,-0.0031,0.00264,0.00991,0.00815,-0.02657,0.01135,0.00259,0.00468
C_DINI,0.0034,0.0097,-0.00121,0.0023,0.01204,0.01274,-0.05275,0.02641,0.00427,0.00561
C_Blue_Red_Ratio,0.00163,0.00609,-0.00403,0.00216,0.01346,0.00878,-0.05121,0.02014,0.00407,0.00454
C_GBI,0.00065,0.00481,-0.00489,0.00414,-0.00556,0.01049,-0.05164,0.02014,0.0097,0.00593
