feature,Alexandrium_catenella_perm_mean,Alexandrium_catenella_perm_std,Dinophysis_acuminata_perm_mean,Dinophysis_acuminata_perm_std,Dinophysis_norvegica_perm_mean,Dinophysis_norvegica_perm_std,Karenia_perm_mean,Karenia_perm_std,Pseudo-nitzschia_perm_mean,Pseudo-nitzschia_perm_std
roms_salt_sur,0.18354,0.02286,0.04492,0.00779,0.16871,0.0438,0.0,0.0,0.1568,0.05785
C_rrs_560,0.06456,0.01306,0.00877,0.00456,0.25395,0.07951,0.0,0.0,0.11886,0.02819
doy_cos,0.1027,0.01803,0.02081,0.00447,0.13401,0.04342,0.0,0.0,0.15922,0.03715
roms_temp_sur,0.15923,0.02965,0.01955,0.00402,0.03578,0.0351,0.0,0.0,0.17691,0.02996
C_RBD,0.10503,0.01929,0.00242,0.00281,0.19881,0.05362,0.0,0.0,0.04764,0.02781
roms_zeta,0.21333,0.03782,0.03144,0.00839,0.06171,0.04461,0.0,0.0,0.03983,0.04
doy_sin,0.08412,0.01544,0.01144,0.00403,0.0057,0.0257,0.0,0.0,0.1315,0.03582
C_rrs_490,0.03773,0.0151,0.00313,0.0034,0.15509,0.06383,0.0,0.0,0.02022,0.02047
C_KBBI,0.04621,0.01682,-0.00263,0.00275,0.09051,0.03413,0.0,0.0,0.01391,0.01538
roms_current_dir,0.04399,0.01368,0.01197,0.00606,0.09025,0.05124,0.0,0.0,-0.00423,0.02198
C_rrs_412,0.01561,0.01244,0.00504,0.0028,0.10055,0.06593,0.0,0.0,0.00071,0.03394
C_DINI,0.00458,0.01156,-0.00317,0.00295,0.09773,0.04542,0.0,0.0,0.01552,0.01815
C_rrs_673,0.0225,0.00852,-0.00128,0.0022,0.04478,0.03553,0.0,0.0,0.0248,0.01591
C_GLH,0.01896,0.01019,0.00193,0.00425,0.06728,0.02729,0.0,0.0,-0.01734,0.03194
C_BlueGreen_Ratio,0.0174,0.0105,-0.00139,0.00267,0.02243,0.01893,0.0,0.0,0.02814,0.02445
C_rrs_665,0.01317,0.00549,-0.0021,0.0023,0.00893,0.0142,0.0,0.0,0.03914,0.02212
C_FLHmax,0.01107,0.00448,-0.00042,0.0026,0.01996,0.02214,0.0,0.0,0.02296,0.02104
roms_v_sur,0.01999,0.00974,0.00769,0.00607,0.02288,0.03151,0.0,0.0,0.0016,0.01172
C_Fluorescence_Peak,0.01185,0.00968,-0.00257,0.00247,0.03686,0.01724,0.0,0.0,0.00321,0.01641
C_rrs_865,0.0075,0.00594,-0.00059,0.00277,0.03148,0.0229,0.0,0.0,0.00309,0.00928
C_Green_Red_Ratio,0.02158,0.00749,-0.00135,0.00376,0.00021,0.01305,0.0,0.0,0.0201,0.01475
C_BLH,0.00611,0.00816,0.00374,0.00352,0.00263,0.00846,0.0,0.0,0.02597,0.0308
C_rrs_754,0.00554,0.00478,0.00102,0.00331,0.01579,0.01548,0.0,0.0,0.01391,0.01538
C_rrs_682,0.0151,0.0098,-0.00243,0.00331,0.02124,0.02497,0.0,0.0,0.0,0.0
C_FLH_681,0.01049,0.00877,0.0036,0.00318,0.01911,0.01083,0.0,0.0,0.0,0.0
C_rrs_709,0.01312,0.00777,-0.00441,0.00223,0.00906,0.01935,0.0,0.0,0.01397,0.01808
roms_current_speed,0.01754,0.01322,0.01482,0.00518,0.01244,0.02252,0.0,0.0,-0.01471,0.02196
C_CI,0.00596,0.00733,-0.002,0.00391,0.00171,0.01393,0.0,0.0,0.0201,0.01475
C_RedEdge_Ratio,0.01154,0.00484,0.00031,0.00229,-9e-05,0.00729,0.0,0.0,0.01237,0.01515
C_Red_NIR_Ratio,0.01717,0.00877,-0.0019,0.00215,0.00231,0.01576,0.0,0.0,0.00487,0.02234
C_NDWI,0.02008,0.00897,-8e-05,0.00213,-0.00237,0.00905,0.0,0.0,0.00155,0.00674
C_FLH_665,0.00946,0.00685,0.00094,0.00211,-0.00067,0.00432,0.0,0.0,0.00464,0.01104
C_NDCI,0.00551,0.00783,0.00128,0.00208,0.00112,0.00703,0.0,0.0,0.00618,0.01237
roms_u_sur,0.00218,0.00738,0.00478,0.00227,0.00118,0.03616,0.0,0.0,0.005,0.02633
C_MCI,0.01062,0.0065,0.00453,0.00226,-0.00289,0.00671,0.0,0.0,0.0,0.0
C_Blue_Red_Ratio,0.01308,0.00581,-0.00279,0.00237,-0.01545,0.01162,0.0,0.0,0.00464,0.01104
roms_Uwind,0.01301,0.00669,0.0031,0.00314,0.00362,0.01337,0.0,0.0,-0.02083,0.01363
C_NDNI,0.00688,0.00687,0.00035,0.00187,-0.01148,0.01091,0.0,0.0,0.0,0.0
C_GBI,0.00363,0.00723,0.00041,0.00245,-0.00918,0.01694,0.0,0.0,0.0,0.0
roms_Vwind,0.00082,0.00627,0.00088,0.00329,0.01016,0.01297,0.0,0.0,-0.02375,0.01504
C_EBI,0.00341,0.00245,-0.001,0.00124,0.01157,0.00715,0.0,0.0,-0.05124,0.01241
roms_wind_speed,0.00681,0.00866,0.00109,0.00327,-0.0285,0.01148,0.0,0.0,-0.02518,0.01681
roms_Pair,-0.00431,0.00778,-0.00165,0.00209,0.00297,0.00689,0.0,0.0,-0.04687,0.03292
roms_wind_dir,0.0053,0.00568,-0.00183,0.00251,-0.00745,0.02313,0.0,0.0,-0.05124,0.01241
