feature,Alexandrium_catenella_perm_mean,Alexandrium_catenella_perm_std,Dinophysis_acuminata_perm_mean,Dinophysis_acuminata_perm_std,Dinophysis_norvegica_perm_mean,Dinophysis_norvegica_perm_std,Karenia_perm_mean,Karenia_perm_std,Pseudo-nitzschia_perm_mean,Pseudo-nitzschia_perm_std
roms_zeta,0.19108,0.03357,0.00446,0.00372,0.07351,0.0167,0.05865,0.04375,0.03722,0.01182
roms_salt_sur,0.10143,0.01718,0.01045,0.00684,0.1264,0.02151,0.07287,0.04535,0.04369,0.01015
doy_sin,0.04768,0.01232,0.00418,0.00254,0.02792,0.01286,0.12804,0.05284,0.06451,0.00716
doy_cos,0.04336,0.00855,-0.00129,0.00282,0.01554,0.0087,0.15289,0.03593,0.04085,0.00748
roms_temp_sur,0.0618,0.01189,0.00489,0.00239,0.04852,0.01202,0.0923,0.02492,0.02831,0.00856
roms_current_dir,0.02148,0.01052,-0.00083,0.00323,0.093,0.02135,0.00151,0.0202,0.01475,0.00556
C_RBD,0.03573,0.01376,0.00029,0.00247,0.03549,0.0176,0.03159,0.0141,0.01161,0.00699
C_rrs_490,0.0076,0.00795,-0.00181,0.00163,0.04956,0.01807,0.02231,0.03182,0.00618,0.00574
C_rrs_560,0.03155,0.00978,-0.00712,0.00267,0.02522,0.01029,0.00702,0.02533,0.01306,0.01038
C_GLH,0.00783,0.00721,-0.00129,0.00263,0.02387,0.00933,0.03168,0.01794,0.00739,0.00559
C_NDWI,0.01502,0.00609,0.00185,0.00142,0.00809,0.0082,0.01596,0.01851,0.00045,0.00465
C_rrs_412,0.01111,0.0059,-0.00195,0.00271,0.02149,0.01017,0.00073,0.02715,0.00273,0.00465
C_GBI,0.00412,0.00539,-0.00083,0.00145,-0.00563,0.00527,0.02462,0.02428,0.00757,0.00565
C_NDNI,0.01369,0.00485,0.00011,0.00163,0.00136,0.00662,0.00782,0.01754,0.00198,0.00324
C_KBBI,0.01342,0.00795,0.00332,0.00154,0.00945,0.01097,-0.00488,0.02245,0.00349,0.00532
roms_Pair,0.01026,0.00642,0.00094,0.00215,-0.01474,0.00593,0.02071,0.02837,0.00279,0.0043
C_rrs_709,0.01026,0.00554,0.0017,0.00115,-0.00474,0.00789,0.01115,0.01746,-0.00105,0.00312
C_rrs_665,0.01984,0.00597,0.00087,0.00163,0.00542,0.00832,-0.00822,0.01855,-0.00361,0.00418
C_FLH_665,0.00608,0.00701,0.00101,0.00132,-0.0016,0.00719,0.00882,0.01671,-7e-05,0.00294
C_MCI,0.0127,0.00534,0.00028,0.00146,-0.00329,0.00489,-0.004,0.00958,0.00817,0.00493
C_BLH,0.01084,0.00742,-0.0034,0.00256,0.0015,0.00826,-0.00652,0.00924,0.01054,0.0053
C_Green_Red_Ratio,-0.00055,0.00543,0.00191,0.0018,0.00682,0.0069,0.00121,0.01595,6e-05,0.00408
C_NDCI,0.00866,0.00547,-0.00311,0.00197,-0.00197,0.00642,4e-05,0.0129,0.00577,0.00416
C_RedEdge_Ratio,0.01052,0.00566,0.00119,0.00258,-0.00046,0.00661,-0.00472,0.01853,0.00261,0.00357
C_rrs_865,0.00608,0.00515,0.00349,0.00124,0.00488,0.00764,-0.00786,0.00891,0.00181,0.00327
C_rrs_754,0.00384,0.00502,0.0019,0.00175,-0.00233,0.00769,0.00682,0.02143,-0.00328,0.00328
C_BlueGreen_Ratio,0.00794,0.00571,0.00016,0.00175,-0.00214,0.00836,-0.00928,0.0171,0.0096,0.00851
C_EBI,0.00435,0.00348,0.00063,0.00084,-0.00153,0.00276,0.0,0.0,0.00148,0.00155
C_FLHmax,0.00751,0.00457,0.00015,0.00166,0.00788,0.00564,-0.01321,0.0193,0.00192,0.00398
C_FLH_681,0.00461,0.00475,-0.00264,0.00223,0.00805,0.00903,-0.00493,0.01789,-0.00161,0.00356
roms_v_sur,0.01579,0.00736,0.00218,0.00298,0.01545,0.01115,-0.03598,0.01417,0.00565,0.00414
C_Blue_Red_Ratio,0.00108,0.00681,0.0001,0.00184,-0.00057,0.00633,-0.00034,0.01688,-0.0001,0.00314
C_Fluorescence_Peak,0.01414,0.00613,-0.00033,0.00177,0.00132,0.0068,-0.01145,0.01219,-0.00576,0.004
roms_current_speed,0.01502,0.00565,-0.00029,0.0023,0.01526,0.01123,-0.03584,0.01624,0.00331,0.0033
C_Red_NIR_Ratio,0.00631,0.00625,-0.00023,0.00105,0.00221,0.00783,-0.00936,0.02062,-0.00171,0.00411
roms_u_sur,0.0055,0.00508,0.00016,0.00218,0.01685,0.00694,-0.02333,0.0319,-0.00446,0.00362
C_CI,0.0113,0.00715,-0.00057,0.00211,-0.00298,0.007,-0.00632,0.0158,-0.00719,0.00385
C_rrs_682,0.00416,0.0048,0.00086,0.00096,-0.00529,0.0066,-0.00622,0.01077,-0.00484,0.00444
C_rrs_673,0.00805,0.00654,-0.00164,0.00239,0.0004,0.00577,-0.00785,0.02727,-0.01312,0.00411
roms_Uwind,0.00877,0.00813,-0.00333,0.00136,-0.01333,0.00567,-0.00895,0.01761,-0.00198,0.00354
roms_wind_dir,0.00305,0.00781,-0.00066,0.00159,-0.0103,0.00853,-0.00877,0.01928,-0.0045,0.00344
C_DINI,0.00494,0.00724,1e-05,0.00119,0.00203,0.01026,-0.02702,0.0222,-0.00211,0.00633
roms_wind_speed,0.01357,0.00629,0.0,0.00162,-0.01775,0.00683,-0.02101,0.02933,0.00299,0.00478
roms_Vwind,-0.00457,0.00454,-0.0008,0.00213,-0.01267,0.008,-0.03043,0.02907,-0.00576,0.00444
