ac,track,tier,species,fold,f1,prauc,recall,precision
ACOLITE,ACOLITE_only,closure,Alexandrium_catenella,0,0.60963,0.6939,0.53774,0.7037
ACOLITE,ACOLITE_only,closure,Alexandrium_catenella,1,0.58378,0.67651,0.48649,0.72973
ACOLITE,ACOLITE_only,closure,Alexandrium_catenella,2,0.60638,0.72539,0.49138,0.79167
ACOLITE,ACOLITE_only,closure,Alexandrium_catenella,3,0.65502,0.74355,0.5814,0.75
ACOLITE,ACOLITE_only,closure,Alexandrium_catenella,4,0.67005,0.74282,0.57895,0.79518
ACOLITE,ACOLITE_only,closure,Alexandrium_catenella,5,0.62069,0.70693,0.52427,0.76056
ACOLITE,ACOLITE_only,closure,Alexandrium_catenella,6,0.62791,0.68887,0.55102,0.72973
ACOLITE,ACOLITE_only,closure,Alexandrium_catenella,7,0.59783,0.70848,0.53398,0.67901
ACOLITE,ACOLITE_only,closure,Alexandrium_catenella,8,0.60104,0.72638,0.49153,0.77333
ACOLITE,ACOLITE_only,closure,Alexandrium_catenella,9,0.6257,0.71459,0.54369,0.73684
ACOLITE,ACOLITE_only,closure,Alexandrium_catenella,10,0.65641,0.70867,0.60377,0.7191
ACOLITE,ACOLITE_only,closure,Alexandrium_catenella,11,0.57647,0.67198,0.50515,0.67123
ACOLITE,ACOLITE_only,closure,Alexandrium_catenella,12,0.63473,0.74971,0.51961,0.81538
ACOLITE,ACOLITE_only,closure,Alexandrium_catenella,13,0.5283,0.63813,0.47191,0.6
ACOLITE,ACOLITE_only,closure,Alexandrium_catenella,14,0.65263,0.78943,0.55357,0.79487
ACOLITE,ACOLITE_only,closure,Alexandrium_catenella,15,0.57895,0.65428,0.5,0.6875
ACOLITE,ACOLITE_only,closure,Alexandrium_catenella,16,0.65641,0.70297,0.61538,0.7033
ACOLITE,ACOLITE_only,closure,Alexandrium_catenella,17,0.58511,0.69772,0.48246,0.74324
ACOLITE,ACOLITE_only,closure,Alexandrium_catenella,18,0.61905,0.7345,0.53719,0.73034
ACOLITE,ACOLITE_only,closure,Alexandrium_catenella,19,0.62376,0.73606,0.56757,0.69231
ACOLITE,ACOLITE_only,closure,Alexandrium_catenella,20,0.61905,0.72763,0.53608,0.73239
ACOLITE,ACOLITE_only,closure,Alexandrium_catenella,21,0.68041,0.73881,0.57391,0.83544
ACOLITE,ACOLITE_only,closure,Alexandrium_catenella,22,0.6,0.71016,0.5,0.75
ACOLITE,ACOLITE_only,closure,Alexandrium_catenella,23,0.60287,0.69941,0.56757,0.64286
ACOLITE,ACOLITE_only,closure,Alexandrium_catenella,24,0.59113,0.70664,0.51724,0.68966
ACOLITE,ACOLITE_only,closure,Alexandrium_catenella,25,0.61988,0.70998,0.53535,0.73611
ACOLITE,ACOLITE_only,closure,Alexandrium_catenella,26,0.53571,0.64279,0.43689,0.69231
ACOLITE,ACOLITE_only,closure,Alexandrium_catenella,27,0.57754,0.70574,0.50943,0.66667
ACOLITE,ACOLITE_only,closure,Alexandrium_catenella,28,0.56354,0.66566,0.47222,0.69863
ACOLITE,ACOLITE_only,closure,Alexandrium_catenella,29,0.58065,0.69686,0.51429,0.66667
ACOLITE,ACOLITE_only,closure,Alexandrium_catenella,30,0.54645,0.63919,0.4717,0.64935
ACOLITE,ACOLITE_only,closure,Alexandrium_catenella,31,0.54762,0.6899,0.42593,0.76667
ACOLITE,ACOLITE_only,closure,Alexandrium_catenella,32,0.57732,0.69148,0.47458,0.73684
ACOLITE,ACOLITE_only,closure,Alexandrium_catenella,33,0.6129,0.72252,0.53271,0.72152
ACOLITE,ACOLITE_only,closure,Alexandrium_catenella,34,0.54545,0.69672,0.44037,0.71642
ACOLITE,ACOLITE_only,closure,Alexandrium_catenella,35,0.64975,0.76827,0.55172,0.79012
ACOLITE,ACOLITE_only,closure,Alexandrium_catenella,36,0.60104,0.67764,0.48739,0.78378
ACOLITE,ACOLITE_only,closure,Alexandrium_catenella,37,0.68208,0.76191,0.57843,0.83099
ACOLITE,ACOLITE_only,closure,Alexandrium_catenella,38,0.58763,0.67354,0.51351,0.68675
ACOLITE,ACOLITE_only,closure,Alexandrium_catenella,39,0.58333,0.67594,0.53846,0.63636
ACOLITE,ACOLITE_only,closure,Alexandrium_catenella,40,0.6125,0.68975,0.56977,0.66216
ACOLITE,ACOLITE_only,closure,Alexandrium_catenella,41,0.5625,0.64049,0.5,0.64286
ACOLITE,ACOLITE_only,closure,Alexandrium_catenella,42,0.57447,0.69335,0.47788,0.72
ACOLITE,ACOLITE_only,closure,Alexandrium_catenella,43,0.56497,0.7306,0.44643,0.76923
ACOLITE,ACOLITE_only,closure,Alexandrium_catenella,44,0.63918,0.7429,0.55856,0.74699
ACOLITE,ACOLITE_only,closure,Alexandrium_catenella,45,0.68108,0.75563,0.59434,0.79747
ACOLITE,ACOLITE_only,closure,Alexandrium_catenella,46,0.6,0.6884,0.52174,0.70588
ACOLITE,ACOLITE_only,closure,Alexandrium_catenella,47,0.51701,0.62091,0.42222,0.66667
ACOLITE,ACOLITE_only,closure,Alexandrium_catenella,48,0.6701,0.7446,0.61321,0.73864
ACOLITE,ACOLITE_only,closure,Alexandrium_catenella,49,0.6087,0.69828,0.54902,0.68293
ACOLITE,ACOLITE_roms,closure,Alexandrium_catenella,0,0.70936,0.75891,0.67925,0.74227
ACOLITE,ACOLITE_roms,closure,Alexandrium_catenella,1,0.60825,0.71995,0.53153,0.71084
ACOLITE,ACOLITE_roms,closure,Alexandrium_catenella,2,0.71642,0.76465,0.62069,0.84706
ACOLITE,ACOLITE_roms,closure,Alexandrium_catenella,3,0.67873,0.78243,0.5814,0.81522
ACOLITE,ACOLITE_roms,closure,Alexandrium_catenella,4,0.71921,0.77187,0.64035,0.82022
ACOLITE,ACOLITE_roms,closure,Alexandrium_catenella,5,0.64835,0.74597,0.57282,0.74684
ACOLITE,ACOLITE_roms,closure,Alexandrium_catenella,6,0.66667,0.74441,0.61224,0.73171
ACOLITE,ACOLITE_roms,closure,Alexandrium_catenella,7,0.67708,0.73665,0.63107,0.73034
ACOLITE,ACOLITE_roms,closure,Alexandrium_catenella,8,0.689,0.78129,0.61017,0.79121
ACOLITE,ACOLITE_roms,closure,Alexandrium_catenella,9,0.67,0.73778,0.65049,0.69072
ACOLITE,ACOLITE_roms,closure,Alexandrium_catenella,10,0.68246,0.74418,0.67925,0.68571
ACOLITE,ACOLITE_roms,closure,Alexandrium_catenella,11,0.65896,0.75035,0.58763,0.75
ACOLITE,ACOLITE_roms,closure,Alexandrium_catenella,12,0.65169,0.74446,0.56863,0.76316
ACOLITE,ACOLITE_roms,closure,Alexandrium_catenella,13,0.625,0.71276,0.5618,0.70423
ACOLITE,ACOLITE_roms,closure,Alexandrium_catenella,14,0.71717,0.8187,0.63393,0.82558
ACOLITE,ACOLITE_roms,closure,Alexandrium_catenella,15,0.66667,0.70587,0.6,0.75
ACOLITE,ACOLITE_roms,closure,Alexandrium_catenella,16,0.69524,0.74743,0.70192,0.68868
ACOLITE,ACOLITE_roms,closure,Alexandrium_catenella,17,0.62245,0.74088,0.53509,0.7439
ACOLITE,ACOLITE_roms,closure,Alexandrium_catenella,18,0.65741,0.75855,0.58678,0.74737
ACOLITE,ACOLITE_roms,closure,Alexandrium_catenella,19,0.69524,0.76524,0.65766,0.73737
ACOLITE,ACOLITE_roms,closure,Alexandrium_catenella,20,0.6631,0.78067,0.63918,0.68889
ACOLITE,ACOLITE_roms,closure,Alexandrium_catenella,21,0.71429,0.759,0.65217,0.78947
