ac,track,tier,n_samples,n_features,n_folds_used,cv_f1_macro_mean,cv_f1_macro_median,cv_f1_macro_std,cv_prauc_macro_mean,cv_prauc_macro_median,cv_prauc_macro_std,cv_hamming_mean,cv_hamming_std,cv_subset_acc_mean,cv_subset_acc_std,cv_jaccard_mean,cv_jaccard_std
ACOLITE,ACOLITE_only,closure,9283,31,50,0.47972,0.48134,0.02261,0.54542,0.54536,0.02086,0.05481,0.00317,0.75446,0.01349,0.35662,0.01742
ACOLITE,ACOLITE_roms,closure,9283,43,50,0.53813,0.54104,0.02224,0.5985,0.5992,0.0212,0.04807,0.00304,0.77936,0.01381,0.41334,0.01721
Baseline,Baseline_only,closure,9283,32,50,0.44609,0.44359,0.02364,0.52695,0.52657,0.02432,0.05673,0.00308,0.74885,0.01207,0.32585,0.01857
Baseline,Baseline_roms,closure,9283,44,50,0.5231,0.52292,0.02657,0.58494,0.57979,0.02055,0.04971,0.00292,0.77409,0.01336,0.39743,0.0213
C2RCC,C2RCC_only,closure,9283,32,50,0.46438,0.4647,0.02624,0.52025,0.51779,0.02209,0.05995,0.00303,0.73383,0.01213,0.33837,0.01958
C2RCC,C2RCC_roms,closure,9283,44,50,0.53464,0.53683,0.02305,0.58306,0.58819,0.02006,0.05151,0.00319,0.76413,0.01374,0.4088,0.01948
ACOLITE,ACOLITE_only,warning,9283,31,50,0.55325,0.55205,0.01289,0.6221,0.62225,0.01199,0.12119,0.00493,0.54984,0.01335,0.42728,0.01131
ACOLITE,ACOLITE_roms,warning,9283,43,50,0.5869,0.5881,0.0116,0.6544,0.6541,0.01047,0.1112,0.00442,0.57509,0.01375,0.46335,0.01049
Baseline,Baseline_only,warning,9283,32,50,0.51414,0.5151,0.01143,0.60062,0.6006,0.01181,0.12646,0.00531,0.53991,0.01497,0.39063,0.01021
Baseline,Baseline_roms,warning,9283,44,50,0.57227,0.57303,0.01247,0.64599,0.64722,0.01097,0.11217,0.00441,0.57253,0.01469,0.44865,0.01097
C2RCC,C2RCC_only,warning,9283,32,50,0.52631,0.52728,0.01197,0.59646,0.59728,0.01186,0.13389,0.00554,0.52094,0.01528,0.39966,0.0105
C2RCC,C2RCC_roms,warning,9283,44,50,0.5784,0.57877,0.01212,0.64618,0.64715,0.01096,0.11575,0.00464,0.55949,0.01372,0.45464,0.01047
