ac,tier,species,n_positive,threshold,cv_recall_mean_only,cv_recall_mean_roms,delta_recall,extra_blooms_per_100
ACOLITE,closure,Pseudo-nitzschia,381,13000,0.49207,0.62001,0.12794,12.8
ACOLITE,closure,Dinophysis_acuminata,2095,500,0.23825,0.32394,0.08569,8.6
ACOLITE,closure,Alexandrium_catenella,1310,300,0.52216,0.60094,0.07878,7.9
ACOLITE,closure,Karenia,1212,5000,0.85037,0.88982,0.03945,3.9
ACOLITE,closure,Dinophysis_norvegica,255,500,0.0466,0.04826,0.00166,0.2
Baseline,closure,Pseudo-nitzschia,381,13000,0.43025,0.59562,0.16537,16.5
Baseline,closure,Dinophysis_acuminata,2095,500,0.19685,0.32178,0.12493,12.5
Baseline,closure,Alexandrium_catenella,1310,300,0.46139,0.54428,0.08289,8.3
Baseline,closure,Karenia,1212,5000,0.81421,0.86754,0.05333,5.3
Baseline,closure,Dinophysis_norvegica,255,500,0.02967,0.037,0.00733,0.7
C2RCC,closure,Pseudo-nitzschia,381,13000,0.4416,0.62809,0.18649,18.6
C2RCC,closure,Alexandrium_catenella,1310,300,0.49036,0.59169,0.10133,10.1
C2RCC,closure,Dinophysis_acuminata,2095,500,0.29766,0.3579,0.06024,6.0
C2RCC,closure,Karenia,1212,5000,0.86163,0.91139,0.04976,5.0
C2RCC,closure,Dinophysis_norvegica,255,500,0.03654,0.03987,0.00333,0.3
ACOLITE,warning,Pseudo-nitzschia,2132,2000,0.63156,0.70956,0.078,7.8
ACOLITE,warning,Alexandrium_catenella,1706,100,0.50366,0.56675,0.06309,6.3
ACOLITE,warning,Karenia,2518,1000,0.87076,0.8976,0.02684,2.7
ACOLITE,warning,Dinophysis_norvegica,1276,200,0.07538,0.09559,0.02021,2.0
ACOLITE,warning,Dinophysis_acuminata,3897,200,0.41533,0.42366,0.00833,0.8
Baseline,warning,Pseudo-nitzschia,2132,2000,0.52188,0.66397,0.14209,14.2
Baseline,warning,Alexandrium_catenella,1706,100,0.43049,0.51533,0.08484,8.5
Baseline,warning,Karenia,2518,1000,0.85005,0.89008,0.04003,4.0
Baseline,warning,Dinophysis_norvegica,1276,200,0.04453,0.08081,0.03628,3.6
Baseline,warning,Dinophysis_acuminata,3897,200,0.38321,0.41304,0.02983,3.0
C2RCC,warning,Pseudo-nitzschia,2132,2000,0.57426,0.70161,0.12735,12.7
C2RCC,warning,Alexandrium_catenella,1706,100,0.47878,0.55316,0.07438,7.4
C2RCC,warning,Karenia,2518,1000,0.82846,0.88745,0.05899,5.9
C2RCC,warning,Dinophysis_norvegica,1276,200,0.05149,0.08422,0.03273,3.3
C2RCC,warning,Dinophysis_acuminata,3897,200,0.4597,0.44805,-0.01165,-1.2
