ac,tier,species,n_positive,threshold,cv_f1_mean_only,cv_f1_std_only,cv_f1_mean_roms,cv_f1_std_roms,delta_f1,cv_prauc_mean_only,cv_prauc_std_only,cv_prauc_mean_roms,cv_prauc_std_roms,delta_prauc
ACOLITE,closure,Dinophysis_acuminata,2095,500,0.29075,0.05257,0.4011,0.0552,0.11035,0.3148,0.04963,0.44829,0.05605,0.13349
ACOLITE,closure,Pseudo-nitzschia,381,13000,0.6021,0.06114,0.69808,0.04588,0.09598,0.72671,0.05469,0.79472,0.04965,0.06801
ACOLITE,closure,Alexandrium_catenella,1310,300,0.60489,0.04065,0.66422,0.03691,0.05933,0.70433,0.03593,0.74589,0.03302,0.04156
ACOLITE,closure,Karenia,1212,5000,0.82354,0.01672,0.84454,0.01528,0.021,0.87908,0.01853,0.88566,0.01827,0.00658
ACOLITE,closure,Dinophysis_norvegica,255,500,0.07733,0.10137,0.08269,0.10914,0.00536,0.10215,0.07231,0.11793,0.08091,0.01578
Baseline,closure,Dinophysis_acuminata,2095,500,0.26258,0.04619,0.40505,0.0526,0.14247,0.29659,0.04312,0.43011,0.05333,0.13352
Baseline,closure,Pseudo-nitzschia,381,13000,0.54256,0.07659,0.68061,0.05313,0.13805,0.67617,0.06202,0.77068,0.05771,0.09451
Baseline,closure,Alexandrium_catenella,1310,300,0.57073,0.04038,0.6367,0.04228,0.06597,0.68078,0.03849,0.73899,0.033,0.05821
Baseline,closure,Karenia,1212,5000,0.80342,0.0166,0.82951,0.01427,0.02609,0.87128,0.02014,0.88168,0.01886,0.0104
Baseline,closure,Dinophysis_norvegica,255,500,0.05114,0.09709,0.06366,0.10478,0.01252,0.10994,0.07978,0.10327,0.07814,-0.00667
C2RCC,closure,Pseudo-nitzschia,381,13000,0.55355,0.06623,0.70601,0.05384,0.15246,0.67109,0.06107,0.78157,0.05328,0.11048
C2RCC,closure,Dinophysis_acuminata,2095,500,0.33312,0.04335,0.41973,0.05601,0.08661,0.31803,0.05407,0.4228,0.05644,0.10477
C2RCC,closure,Alexandrium_catenella,1310,300,0.56852,0.03862,0.65324,0.04092,0.08472,0.65699,0.04073,0.73438,0.03818,0.07739
C2RCC,closure,Karenia,1212,5000,0.80356,0.01597,0.8259,0.01514,0.02234,0.86782,0.01775,0.87538,0.01792,0.00756
C2RCC,closure,Dinophysis_norvegica,255,500,0.06315,0.09832,0.06831,0.10178,0.00516,0.08735,0.07223,0.1012,0.07532,0.01385
ACOLITE,warning,Pseudo-nitzschia,2132,2000,0.68973,0.02207,0.75211,0.02177,0.06238,0.78077,0.02541,0.84008,0.02096,0.05931
ACOLITE,warning,Alexandrium_catenella,1706,100,0.58176,0.03538,0.62968,0.03004,0.04792,0.67682,0.02992,0.71776,0.02665,0.04094
ACOLITE,warning,Dinophysis_norvegica,1276,200,0.11634,0.03426,0.14367,0.03976,0.02733,0.18413,0.02479,0.20464,0.02809,0.02051
ACOLITE,warning,Dinophysis_acuminata,3897,200,0.47428,0.02303,0.4896,0.02378,0.01532,0.49546,0.03002,0.52981,0.03011,0.03435
ACOLITE,warning,Karenia,2518,1000,0.90414,0.00997,0.91944,0.00819,0.0153,0.97332,0.00382,0.9797,0.00323,0.00638
Baseline,warning,Pseudo-nitzschia,2132,2000,0.61368,0.03109,0.72423,0.02569,0.11055,0.73166,0.0304,0.82133,0.02396,0.08967
Baseline,warning,Alexandrium_catenella,1706,100,0.53751,0.03132,0.60748,0.03637,0.06997,0.65829,0.03135,0.7114,0.02765,0.05311
Baseline,warning,Dinophysis_norvegica,1276,200,0.07543,0.03383,0.1296,0.03777,0.05417,0.17854,0.02424,0.20502,0.0279,0.02648
Baseline,warning,Dinophysis_acuminata,3897,200,0.44648,0.02486,0.4803,0.02759,0.03382,0.46319,0.02901,0.51331,0.02894,0.05012
Baseline,warning,Karenia,2518,1000,0.89761,0.00941,0.91974,0.00873,0.02213,0.97141,0.00408,0.97889,0.00316,0.00748
C2RCC,warning,Pseudo-nitzschia,2132,2000,0.64254,0.02638,0.74021,0.02441,0.09767,0.72795,0.02763,0.82487,0.02471,0.09692
C2RCC,warning,Alexandrium_catenella,1706,100,0.54985,0.03665,0.61786,0.03418,0.06801,0.63358,0.03696,0.70694,0.03009,0.07336
C2RCC,warning,Dinophysis_norvegica,1276,200,0.0797,0.03217,0.12298,0.04199,0.04328,0.15162,0.02246,0.18543,0.03,0.03381
C2RCC,warning,Karenia,2518,1000,0.88132,0.01125,0.91189,0.00895,0.03057,0.96676,0.00457,0.97699,0.00391,0.01023
C2RCC,warning,Dinophysis_acuminata,3897,200,0.47811,0.0259,0.49904,0.02558,0.02093,0.50239,0.03078,0.53665,0.02699,0.03426
