ac,track,tier,species,threshold,n_positive,cv_f1_mean,cv_f1_median,cv_f1_std,cv_prauc_mean,cv_prauc_median,cv_prauc_std,cv_recall_mean,cv_recall_median,cv_recall_std,cv_precision_mean,cv_precision_median,cv_precision_std
ACOLITE,ACOLITE_only,closure,Alexandrium_catenella,300,1310,0.60489,0.60195,0.04065,0.70433,0.70435,0.03593,0.52216,0.52301,0.04757,0.72339,0.72562,0.05306
ACOLITE,ACOLITE_roms,closure,Alexandrium_catenella,300,1310,0.66422,0.66667,0.03691,0.74589,0.74615,0.03302,0.60094,0.60665,0.04968,0.74685,0.74587,0.04961
ACOLITE,ACOLITE_only,closure,Dinophysis_acuminata,500,2095,0.29075,0.29371,0.05257,0.3148,0.31038,0.04963,0.23825,0.23431,0.05432,0.38504,0.3838,0.06818
ACOLITE,ACOLITE_roms,closure,Dinophysis_acuminata,500,2095,0.4011,0.40426,0.0552,0.44829,0.44957,0.05605,0.32394,0.32435,0.05365,0.5371,0.54066,0.08471
ACOLITE,ACOLITE_only,closure,Dinophysis_norvegica,500,255,0.07733,0.0,0.10137,0.10215,0.0798,0.07231,0.0466,0.0,0.06318,0.31,0.0,0.41901
ACOLITE,ACOLITE_roms,closure,Dinophysis_norvegica,500,255,0.08269,0.0,0.10914,0.11793,0.09726,0.08091,0.04826,0.0,0.06519,0.35667,0.0,0.45827
ACOLITE,ACOLITE_only,closure,Karenia,5000,1212,0.82354,0.82529,0.01672,0.87908,0.88138,0.01853,0.85037,0.85216,0.02392,0.79904,0.79779,0.02412
ACOLITE,ACOLITE_roms,closure,Karenia,5000,1212,0.84454,0.842,0.01528,0.88566,0.8885,0.01827,0.88982,0.89198,0.02027,0.80421,0.80226,0.02369
ACOLITE,ACOLITE_only,closure,Pseudo-nitzschia,13000,381,0.6021,0.60462,0.06114,0.72671,0.73515,0.05469,0.49207,0.48749,0.07376,0.79175,0.79057,0.08186
ACOLITE,ACOLITE_roms,closure,Pseudo-nitzschia,13000,381,0.69808,0.70008,0.04588,0.79472,0.79911,0.04965,0.62001,0.625,0.06639,0.80788,0.80707,0.06232
Baseline,Baseline_only,closure,Alexandrium_catenella,300,1310,0.57073,0.57609,0.04038,0.68078,0.68267,0.03849,0.46139,0.46155,0.04743,0.75462,0.75192,0.05202
Baseline,Baseline_roms,closure,Alexandrium_catenella,300,1310,0.6367,0.64877,0.04228,0.73899,0.74399,0.033,0.54428,0.5507,0.05441,0.77408,0.77274,0.05684
