feature,Alexandrium_catenella_perm_mean,Alexandrium_catenella_perm_std,Dinophysis_acuminata_perm_mean,Dinophysis_acuminata_perm_std,Dinophysis_norvegica_perm_mean,Dinophysis_norvegica_perm_std,Karenia_perm_mean,Karenia_perm_std,Pseudo-nitzschia_perm_mean,Pseudo-nitzschia_perm_std
doy_cos,0.24022,0.03477,0.11273,0.02455,0.0,0.0,0.20962,0.02555,0.31427,0.04007
doy_sin,0.15594,0.02361,0.13664,0.02293,0.01538,0.04615,0.15314,0.01733,0.33883,0.0559
A_BlueGreen_Ratio,0.03462,0.01935,0.08293,0.03177,0.12308,0.06154,0.10375,0.01725,0.04683,0.03446
A_MCI,0.01934,0.01071,0.02993,0.02737,0.00769,0.03353,0.02551,0.01036,0.21957,0.04336
A_GLH,0.0206,0.01476,0.06328,0.03428,0.1,0.07338,0.04027,0.01576,0.05373,0.02941
A_rrs_560,-0.00853,0.0098,0.04578,0.02902,0.07692,0.07692,-0.00252,0.00346,0.11429,0.04162
A_NDCI,0.01344,0.00899,0.02276,0.02096,0.05385,0.07338,0.00246,0.00401,0.02228,0.01713
A_rrs_490,0.00407,0.00873,0.05813,0.02149,0.04615,0.0705,-0.00223,0.00327,0.00656,0.01804
A_RedEdge_Ratio,0.00668,0.01101,0.01883,0.01945,0.04615,0.0705,0.00059,0.0034,0.03132,0.01467
A_FLH_665,0.00375,0.01299,0.00101,0.02374,0.05385,0.07338,0.03013,0.01006,0.01046,0.01396
A_Red_NIR_Ratio,0.02443,0.00943,0.01401,0.01505,0.01538,0.04615,0.0109,0.00701,0.01934,0.01877
A_NDWI,0.00717,0.01126,0.02426,0.02375,0.03077,0.06154,0.01179,0.00779,0.0069,0.01068
A_Green_Red_Ratio,0.00646,0.00384,0.03845,0.02445,0.02308,0.05493,0.00023,0.00215,0.01219,0.0142
A_NDNI,-7e-05,0.00603,0.04043,0.03179,0.02308,0.05493,-0.00068,0.00329,0.01512,0.01201
A_KBBI,-0.0019,0.00769,0.05456,0.02191,0.0,0.0,0.00084,0.0027,0.02368,0.01399
A_CI,0.0101,0.00528,0.01688,0.01747,0.03077,0.06154,0.00333,0.00301,0.0004,0.01175
A_rrs_865,0.00548,0.00513,0.01176,0.02282,0.03077,0.06154,0.00294,0.00294,0.00996,0.0107
A_rrs_709,0.02219,0.00638,0.01043,0.01363,0.0,0.0,0.00203,0.00228,0.02454,0.01847
A_rrs_665,0.01455,0.00439,0.03286,0.01813,0.0,0.0,-0.00135,0.00286,0.01148,0.01493
A_BLH,0.00342,0.00644,0.03187,0.02386,0.0,0.0,-0.00266,0.00357,0.01488,0.0185
A_Blue_Red_Ratio,0.00073,0.00628,0.03583,0.02184,0.0,0.0,-0.00341,0.0032,0.00694,0.01481
A_FLH_681,-0.00525,0.00426,0.04091,0.01058,0.0,0.0,-0.00142,0.00204,0.00527,0.01101
A_rrs_754,0.0048,0.00498,0.04367,0.01997,0.0,0.0,0.00116,0.00258,-0.01248,0.00763
A_FLHmax,0.00132,0.00927,0.02476,0.01742,0.0,0.0,0.00049,0.00298,0.00604,0.00941
A_rrs_682,0.00017,0.00637,0.0082,0.0171,0.0,0.0,0.00171,0.00277,0.01845,0.01405
A_GBI,-0.00066,0.00813,0.00794,0.01956,0.0,0.0,0.00774,0.00423,0.01278,0.00813
A_Fluorescence_Peak,0.0058,0.00706,0.01716,0.02099,0.0,0.0,0.00043,0.00269,0.00391,0.01344
A_DINI,0.00298,0.01203,0.02661,0.01947,0.0,0.0,0.00643,0.00231,-0.00901,0.01167
A_RBD,0.00174,0.01124,0.02162,0.01706,0.0,0.0,-0.00168,0.00279,0.00276,0.01195
A_rrs_412,-0.00465,0.00806,0.01288,0.01993,0.0,0.0,0.00303,0.00312,0.00592,0.0166
A_EBI,-0.00133,0.00163,0.00216,0.00879,0.0,0.0,0.00135,0.00165,-0.00046,0.00569
