feature,Alexandrium_catenella_perm_mean,Alexandrium_catenella_perm_std,Dinophysis_acuminata_perm_mean,Dinophysis_acuminata_perm_std,Dinophysis_norvegica_perm_mean,Dinophysis_norvegica_perm_std,Karenia_perm_mean,Karenia_perm_std,Pseudo-nitzschia_perm_mean,Pseudo-nitzschia_perm_std
doy_sin,0.10937,0.02011,0.15378,0.01641,0.07507,0.02238,0.15641,0.01,0.15006,0.01727
doy_cos,0.14435,0.02983,0.05061,0.01314,0.03092,0.0181,0.11571,0.00967,0.11656,0.01528
A_BlueGreen_Ratio,0.02036,0.01231,0.00041,0.01702,0.01182,0.01614,0.06597,0.00908,0.03945,0.01068
A_MCI,0.02893,0.01125,0.00274,0.00825,0.02352,0.01788,0.01025,0.00316,0.06941,0.01524
A_GLH,0.02679,0.01578,0.02058,0.0142,0.00597,0.01392,0.01128,0.00319,0.05437,0.01114
A_rrs_412,0.00738,0.00951,0.02401,0.01191,0.04383,0.01949,0.00915,0.00322,0.02334,0.00853
A_FLH_665,-0.01045,0.01077,0.01238,0.00797,0.02885,0.01367,0.00913,0.00225,0.04886,0.00909
A_NDWI,0.01259,0.00887,0.00444,0.00745,0.0306,0.01191,0.00622,0.00299,0.02656,0.00864
A_rrs_560,0.00633,0.00963,-0.00192,0.0071,0.02188,0.01312,0.00469,0.0017,0.0407,0.01055
A_CI,0.02387,0.01102,0.00832,0.0063,0.00723,0.01573,0.00634,0.00261,0.02582,0.00919
A_NDCI,0.00689,0.0095,0.00595,0.00843,0.01766,0.01492,0.00402,0.00195,0.03356,0.01139
A_Green_Red_Ratio,0.01866,0.0111,0.00293,0.0064,0.01119,0.00787,0.00332,0.00193,0.03113,0.00981
A_rrs_490,-0.01161,0.00719,0.00053,0.00732,0.03454,0.0138,0.0016,0.0024,0.04211,0.01211
A_BLH,0.00461,0.00907,-0.00283,0.00618,0.02338,0.01508,0.00134,0.00316,0.03346,0.01101
A_FLHmax,0.00026,0.007,-0.00192,0.006,0.03181,0.01844,0.00806,0.00286,0.01375,0.0061
A_FLH_681,0.00465,0.00799,0.00139,0.00611,0.01754,0.0124,0.0049,0.00215,0.02188,0.00684
A_Blue_Red_Ratio,0.00678,0.00895,-0.00659,0.00603,0.01355,0.00479,0.01005,0.00359,0.01927,0.00763
A_Red_NIR_Ratio,0.00698,0.01049,0.00619,0.00619,0.00328,0.01168,0.00266,0.00158,0.02091,0.00944
A_RedEdge_Ratio,0.00773,0.00598,-0.00179,0.00607,0.00657,0.01773,0.00349,0.00231,0.02008,0.00741
A_rrs_709,-0.0011,0.00539,-0.01124,0.00466,0.02048,0.01061,0.0037,0.00277,0.01701,0.00802
A_rrs_865,-0.00527,0.00585,-0.00779,0.00434,0.02015,0.01287,0.0035,0.00165,0.01814,0.00864
A_rrs_754,-0.01068,0.00715,0.00019,0.00426,0.01614,0.01106,0.00288,0.00249,0.01359,0.00466
A_DINI,0.00604,0.01205,-0.0053,0.00649,-0.00113,0.01103,0.00524,0.00238,0.01626,0.01016
A_Fluorescence_Peak,0.00281,0.00792,0.002,0.0065,-0.00327,0.01175,0.0047,0.00184,0.01222,0.00412
A_NDNI,0.00404,0.00906,-0.00517,0.00628,-0.00421,0.00811,0.00328,0.00212,0.01896,0.00939
A_KBBI,-0.00191,0.00687,0.00019,0.00432,0.00155,0.0083,0.0021,0.00211,0.01281,0.00755
A_GBI,-0.00386,0.00524,-0.00197,0.00643,-0.00397,0.0119,0.00785,0.00238,0.01356,0.00694
A_RBD,-0.00716,0.00737,-0.00376,0.00418,-0.00201,0.00742,0.00618,0.0026,0.01745,0.00685
A_rrs_665,-0.00263,0.00589,-0.00686,0.00564,0.0081,0.01651,0.00261,0.00189,0.00823,0.00723
A_EBI,0.00215,0.00377,0.00443,0.00314,-0.00052,0.0008,-0.00036,0.00147,0.00133,0.00529
A_rrs_682,-0.00513,0.00798,-0.00068,0.00482,-0.00314,0.00701,0.00133,0.00177,0.00678,0.00572
