feature,Alexandrium_catenella_perm_mean,Alexandrium_catenella_perm_std,Dinophysis_acuminata_perm_mean,Dinophysis_acuminata_perm_std,Dinophysis_norvegica_perm_mean,Dinophysis_norvegica_perm_std,Karenia_perm_mean,Karenia_perm_std,Pseudo-nitzschia_perm_mean,Pseudo-nitzschia_perm_std
roms_salt_sur,0.02973,0.01978,0.06617,0.02902,0.07692,0.07692,0.2934,0.03615,0.26422,0.05367
doy_sin,0.05385,0.0191,0.20652,0.04044,0.0,0.0,0.08897,0.00987,0.15503,0.04606
doy_cos,0.03597,0.01286,0.09485,0.0351,0.0,0.0,0.0321,0.00882,0.17818,0.0571
roms_temp_sur,0.0401,0.01398,0.08069,0.02126,0.0,0.0,0.02543,0.00902,0.19441,0.0658
roms_zeta,0.0557,0.0196,0.06667,0.03214,0.02308,0.05493,0.00503,0.00387,0.18039,0.0527
A_BlueGreen_Ratio,0.0009,0.01164,0.03382,0.02068,0.03077,0.06154,0.12723,0.02307,0.01695,0.02014
roms_v_sur,-0.00611,0.00872,0.09981,0.03784,0.0,0.0,0.01595,0.00609,0.03569,0.02521
A_GLH,-0.00082,0.01134,0.0537,0.01952,0.07692,0.07692,0.00372,0.00499,0.00974,0.01625
A_MCI,-0.00052,0.00532,0.01199,0.01216,0.0,0.0,0.00938,0.00546,0.12151,0.04101
roms_Pair,0.01696,0.00746,0.02582,0.01537,0.0,0.0,0.01285,0.00392,0.03424,0.01514
roms_current_dir,-0.00687,0.00882,0.02291,0.01749,0.03846,0.06662,0.00422,0.0037,0.00248,0.01697
roms_current_speed,-0.0017,0.00581,0.0351,0.02552,0.0,0.0,-0.00486,0.00242,0.0289,0.01396
A_Red_NIR_Ratio,0.0065,0.00689,0.00721,0.01281,0.0,0.0,0.0069,0.00424,0.01883,0.01989
A_CI,-0.00409,0.00804,0.03966,0.02141,0.0,0.0,0.00366,0.00303,-0.00418,0.00967
roms_wind_speed,-0.00615,0.00513,0.01331,0.01334,0.0,0.0,0.0089,0.00329,0.01851,0.01712
roms_Vwind,-0.00119,0.00702,0.01004,0.02382,0.0,0.0,0.00796,0.00526,0.01657,0.01667
roms_Uwind,-0.00565,0.00634,0.01398,0.00934,0.0,0.0,0.00598,0.00189,0.01821,0.02403
A_BLH,-0.00841,0.00547,0.01757,0.01736,0.0,0.0,0.0041,0.00251,0.01807,0.01823
roms_wind_dir,0.01451,0.00955,0.00773,0.01544,0.0,0.0,0.00118,0.00193,0.0064,0.01161
A_Green_Red_Ratio,-0.00016,0.00587,0.0204,0.01538,0.0,0.0,0.00392,0.00226,0.00487,0.01145
A_NDWI,-0.00516,0.00674,0.01983,0.01599,0.0,0.0,0.01673,0.007,-0.00245,0.00822
A_DINI,-0.0062,0.0075,0.02719,0.02358,0.0,0.0,0.00017,0.003,0.00647,0.02023
roms_u_sur,-0.01202,0.00522,-0.00332,0.01168,0.0,0.0,0.00582,0.0026,0.0352,0.01323
A_rrs_560,-0.00067,0.01107,0.01382,0.01671,0.0,0.0,0.00608,0.00395,0.00174,0.02551
A_rrs_865,0.00119,0.00528,0.02744,0.00996,0.0,0.0,0.00246,0.00317,-0.0148,0.00942
A_FLH_665,-0.01337,0.00532,0.0041,0.01324,0.0,0.0,0.00829,0.00463,0.01029,0.02088
A_RBD,0.0047,0.00388,-0.00718,0.01282,0.0,0.0,0.00266,0.00274,0.00793,0.0123
A_rrs_412,-0.00606,0.011,0.00958,0.01479,0.0,0.0,-0.00074,0.00349,0.00522,0.01725
A_EBI,0.00068,0.00275,-0.0111,0.00762,0.0,0.0,0.00653,0.00093,0.00567,0.00549
A_FLHmax,0.00085,0.00533,0.00817,0.00972,0.0,0.0,-0.00014,0.00293,-0.00728,0.01065
A_NDCI,-0.00067,0.00615,0.00511,0.01366,0.0,0.0,0.00325,0.0038,-0.00657,0.01196
A_rrs_682,0.00185,0.00595,-0.00617,0.01015,0.0,0.0,0.00146,0.00274,0.00271,0.01006
A_KBBI,0.00271,0.00465,0.00836,0.0126,0.0,0.0,0.00197,0.003,-0.01525,0.00847
A_Fluorescence_Peak,0.00408,0.00574,-0.0066,0.01144,0.0,0.0,-7e-05,0.00276,-0.00057,0.01115
A_FLH_681,0.00356,0.00461,0.0017,0.00977,0.0,0.0,-8e-05,0.00239,-0.00854,0.01195
A_Blue_Red_Ratio,0.00322,0.00362,-0.00095,0.00743,0.0,0.0,0.00103,0.00418,-0.01046,0.01322
A_RedEdge_Ratio,-0.0031,0.00736,-0.00285,0.00992,0.0,0.0,0.00014,0.00303,-0.00146,0.0123
A_rrs_490,-0.00789,0.00781,0.00105,0.00942,0.0,0.0,-0.00032,0.00291,-0.00188,0.00867
A_GBI,-0.00052,0.00288,-0.01819,0.01338,0.0,0.0,0.00669,0.00392,0.00232,0.01175
A_rrs_665,-0.00566,0.0076,0.00093,0.0145,0.0,0.0,-0.00249,0.00219,-0.00775,0.00989
A_NDNI,-0.00445,0.00564,-0.01163,0.00933,0.0,0.0,0.00138,0.00419,-0.0022,0.01253
A_rrs_754,-0.01168,0.00383,-0.01669,0.01171,0.0,0.0,0.00164,0.00252,-0.00318,0.01141
A_rrs_709,-0.00823,0.00516,8e-05,0.01187,0.0,0.0,-0.00325,0.00229,-0.02063,0.00642
