feature,Alexandrium_catenella_perm_mean,Alexandrium_catenella_perm_std,Dinophysis_acuminata_perm_mean,Dinophysis_acuminata_perm_std,Dinophysis_norvegica_perm_mean,Dinophysis_norvegica_perm_std,Karenia_perm_mean,Karenia_perm_std,Pseudo-nitzschia_perm_mean,Pseudo-nitzschia_perm_std
roms_salt_sur,0.01504,0.01619,0.01281,0.00784,0.05239,0.02675,0.1866,0.01277,0.06918,0.01322
doy_sin,0.0294,0.0154,0.05694,0.01248,0.07484,0.02879,0.034,0.00486,0.0692,0.01005
roms_temp_sur,0.00686,0.0102,0.00039,0.00619,0.06751,0.0202,0.00352,0.00259,0.058,0.01053
roms_zeta,0.05024,0.02091,0.0009,0.00625,0.03318,0.02629,0.00328,0.00208,0.03486,0.00791
doy_cos,0.01939,0.0106,0.00959,0.00869,0.00312,0.01437,0.0106,0.00441,0.05548,0.01019
A_BlueGreen_Ratio,-0.00407,0.01113,-0.0081,0.00827,0.01288,0.01506,0.00657,0.00239,0.03852,0.00909
roms_current_dir,-0.0034,0.0066,-0.01696,0.00573,0.03432,0.02494,-0.00076,0.00183,0.02533,0.00651
A_GLH,-0.00977,0.00822,-0.00663,0.00829,0.01391,0.01299,0.00139,0.00268,0.03526,0.00948
A_NDWI,-0.00626,0.00487,0.00303,0.00674,0.01748,0.0098,0.00095,0.00242,0.01405,0.00514
roms_wind_speed,-0.00081,0.00453,-0.00792,0.0038,0.01071,0.00837,0.00142,0.00265,0.02041,0.00641
A_rrs_412,-0.00759,0.0061,0.00304,0.0066,0.01235,0.01287,0.00126,0.00253,0.01252,0.00453
A_MCI,-0.00251,0.01039,-0.01785,0.00609,0.00968,0.00586,0.00318,0.00201,0.02733,0.00592
roms_Pair,0.00182,0.00789,-0.00696,0.00491,5e-05,0.00813,0.0026,0.00209,0.02069,0.00777
roms_wind_dir,-0.00577,0.00728,-0.01186,0.00783,0.01087,0.01251,0.00126,0.00209,0.02076,0.00332
A_FLH_681,-9e-05,0.00601,-0.0086,0.00506,0.0084,0.00801,-0.00142,0.00211,0.0144,0.00298
roms_Vwind,-0.00814,0.00581,-0.00595,0.00607,0.00879,0.01156,0.00058,0.00133,0.01601,0.0062
roms_Uwind,-0.00351,0.00717,-0.00779,0.00446,0.00344,0.01027,0.00165,0.00219,0.01669,0.00685
A_NDNI,0.0016,0.00438,-0.01648,0.00551,0.00774,0.00815,0.00139,0.00206,0.01319,0.0049
A_CI,-0.01017,0.00813,0.00837,0.00578,0.00106,0.01673,0.00264,0.00204,0.00485,0.00435
A_Red_NIR_Ratio,0.00444,0.00714,-0.01662,0.00662,0.00585,0.00977,-0.00028,0.00158,0.01236,0.00492
A_rrs_865,-0.00377,0.00429,-0.01103,0.00391,0.00154,0.01152,-0.00203,0.00128,0.02063,0.00619
A_GBI,-0.0056,0.00414,-0.00551,0.00476,0.00957,0.00714,0.00099,0.00166,0.00558,0.00452
A_FLHmax,-0.00513,0.00343,-0.00913,0.00654,0.0,0.00718,0.00192,0.00149,0.01719,0.00651
A_FLH_665,-0.00809,0.00458,-0.00549,0.00521,0.00498,0.01021,-0.00207,0.00245,0.01511,0.00577
roms_current_speed,-0.00979,0.00592,-0.00919,0.00674,0.01075,0.01248,-0.00096,0.00173,0.0114,0.00591
A_KBBI,-0.00185,0.00596,-0.01363,0.00255,0.01207,0.00709,-0.00183,0.00199,0.00705,0.00239
A_EBI,-0.00154,0.00359,-0.00041,0.0025,-0.00097,0.00097,-0.00039,0.00087,0.00389,0.00158
roms_v_sur,-0.01375,0.00794,-0.01292,0.00521,0.00696,0.00916,0.00297,0.0016,0.0171,0.0052
A_rrs_754,-0.00603,0.00418,-0.00966,0.00576,0.00176,0.00922,0.00024,0.0015,0.01348,0.00311
A_rrs_560,-0.01195,0.00728,-0.0095,0.00407,0.00761,0.01322,-0.0024,0.00171,0.01577,0.00682
roms_u_sur,-0.00855,0.00678,-0.01019,0.00542,0.0015,0.01039,0.00176,0.00191,0.0145,0.00528
A_rrs_709,-0.00411,0.00719,-0.00647,0.0035,-0.00563,0.00856,-0.00125,0.00116,0.01515,0.00534
A_RBD,-0.00198,0.00415,-0.01043,0.00287,-0.00327,0.00682,0.00122,0.00137,0.01077,0.004
A_rrs_665,-0.00388,0.00379,-0.00726,0.00443,-0.00178,0.00917,-0.00206,0.00137,0.00989,0.00411
A_NDCI,0.0005,0.00486,-0.01613,0.00506,-0.00446,0.00888,-0.00163,0.00177,0.01644,0.00651
A_DINI,-0.00641,0.00582,-0.00655,0.00719,-0.00249,0.01641,-0.0028,0.00165,0.01154,0.00447
A_rrs_682,-0.00796,0.00503,-0.00836,0.00232,-0.00469,0.01064,-0.0015,0.00145,0.01464,0.00576
A_Green_Red_Ratio,-0.00451,0.00597,-0.00032,0.00598,-0.0147,0.01376,-0.00215,0.00224,0.01004,0.00555
A_BLH,-0.00289,0.00711,-0.01559,0.00524,-0.01217,0.00926,0.00266,0.00194,0.01456,0.0032
A_Blue_Red_Ratio,-0.01028,0.00388,-0.00695,0.00637,-0.00119,0.0074,-0.00059,0.00164,0.00386,0.00555
A_rrs_490,-0.01415,0.00564,-0.01332,0.00591,-0.00494,0.01337,0.00221,0.00196,0.01384,0.00607
A_Fluorescence_Peak,-0.00627,0.00542,-0.01526,0.00221,-0.00544,0.0081,-0.00122,0.00178,0.01063,0.00516
A_RedEdge_Ratio,-0.00071,0.00393,-0.00899,0.00534,-0.01473,0.00833,-0.00207,0.00219,0.00639,0.00384
