feature,Alexandrium_catenella_perm_mean,Alexandrium_catenella_perm_std,Dinophysis_acuminata_perm_mean,Dinophysis_acuminata_perm_std,Dinophysis_norvegica_perm_mean,Dinophysis_norvegica_perm_std,Karenia_perm_mean,Karenia_perm_std,Pseudo-nitzschia_perm_mean,Pseudo-nitzschia_perm_std
doy_sin,0.29133,0.03481,0.10415,0.02084,0.0,0.0,0.17633,0.02013,0.41813,0.05551
doy_cos,0.30702,0.03525,0.0605,0.01872,0.0,0.0,0.20685,0.022,0.30058,0.05116
B_GLH,0.01331,0.0131,0.06061,0.02488,0.0,0.0,0.04669,0.01085,0.02812,0.02074
B_rrs_490,0.0158,0.00801,0.03103,0.01855,0.0,0.0,0.0571,0.00987,0.02219,0.01665
B_BLH,0.00121,0.01004,0.0326,0.01621,0.0,0.0,0.03703,0.00998,0.05092,0.01811
B_FLH_681,0.03223,0.01586,0.02562,0.01866,0.0,0.0,0.0108,0.00282,0.04888,0.03707
B_KBBI,0.00249,0.01182,0.03523,0.01571,0.0,0.0,0.00912,0.00311,0.06898,0.02466
B_FLH_665,0.03139,0.00977,0.01444,0.01361,0.0,0.0,0.00712,0.00347,0.05817,0.03481
B_NDCI,0.01223,0.00888,0.01297,0.01307,0.0,0.0,0.01002,0.00365,0.07021,0.03142
B_rrs_560,-0.00094,0.0114,0.02301,0.01546,0.0,0.0,0.04067,0.00894,0.04031,0.01823
B_FLHmax,0.04541,0.01226,0.01306,0.01418,0.0,0.0,0.01102,0.00458,0.02751,0.0319
B_rrs_709,0.02131,0.00803,0.03951,0.01499,0.0,0.0,0.0092,0.00402,0.01538,0.01928
B_RBD,0.01149,0.01241,0.03068,0.013,0.0,0.0,0.01176,0.00301,0.02439,0.01115
B_Green_Red_Ratio,0.0165,0.01104,0.01514,0.01253,0.0,0.0,0.01374,0.005,0.02621,0.03265
B_rrs_412,0.00858,0.01323,0.03551,0.01471,0.0,0.0,0.00926,0.00603,0.01706,0.02178
B_GBI,0.0184,0.01145,0.01755,0.01714,0.0,0.0,0.0177,0.00572,0.01538,0.02219
B_CI,0.01074,0.00964,0.02953,0.0136,0.0,0.0,0.01302,0.00558,0.01477,0.01126
B_BlueGreen_Ratio,0.01587,0.01526,0.04488,0.02163,0.0,0.0,0.02756,0.01014,-0.0217,0.02189
B_RedEdge_Ratio,0.0061,0.01406,0.02861,0.01163,0.0,0.0,0.01467,0.00298,0.01166,0.02095
B_Blue_Red_Ratio,0.00296,0.00696,0.02628,0.01169,0.0,0.0,0.01424,0.00511,0.01603,0.02124
B_rrs_673,0.00771,0.00944,0.02298,0.0141,0.0,0.0,0.01041,0.00409,0.01566,0.02444
B_DINI,-0.00227,0.01131,0.03271,0.02315,0.0,0.0,0.0299,0.00691,-0.00521,0.02597
B_rrs_682,0.01363,0.00986,0.00206,0.00995,0.0,0.0,0.01134,0.00425,0.02565,0.02286
B_NDNI,0.01144,0.00834,0.02672,0.01815,0.0,0.0,0.01473,0.00459,-0.0005,0.01455
B_NDWI,0.00315,0.00908,0.02595,0.01596,0.0,0.0,0.01614,0.0033,-0.00057,0.01471
B_Red_NIR_Ratio,-0.00149,0.01613,0.04011,0.00585,0.0,0.0,0.01397,0.00284,-0.01257,0.01649
B_Fluorescence_Peak,0.00762,0.00709,0.0102,0.01134,0.0,0.0,0.00188,0.0042,0.01852,0.02114
B_rrs_665,0.00288,0.0089,0.00699,0.00953,0.0,0.0,0.0188,0.00638,0.00734,0.0184
B_rrs_865,0.00011,0.01264,0.02433,0.01285,0.0,0.0,0.01102,0.00362,-0.00172,0.01504
B_rrs_754,-0.00032,0.0102,0.02499,0.00967,0.0,0.0,0.01229,0.00557,-0.00688,0.01333
B_MCI,0.00522,0.01191,0.00947,0.01247,0.0,0.0,0.00682,0.00345,0.00656,0.0263
B_EBI,-0.00068,0.00845,0.00907,0.01007,0.0,0.0,0.00486,0.00265,0.01454,0.01965
