feature,Alexandrium_catenella_perm_mean,Alexandrium_catenella_perm_std,Dinophysis_acuminata_perm_mean,Dinophysis_acuminata_perm_std,Dinophysis_norvegica_perm_mean,Dinophysis_norvegica_perm_std,Karenia_perm_mean,Karenia_perm_std,Pseudo-nitzschia_perm_mean,Pseudo-nitzschia_perm_std
doy_sin,0.27596,0.03673,0.11109,0.01765,0.04605,0.01621,0.20874,0.01102,0.1905,0.02446
doy_cos,0.2465,0.02437,0.02927,0.00924,0.04019,0.02043,0.04265,0.00495,0.12451,0.02063
B_FLHmax,0.0329,0.01473,-0.0101,0.00766,0.05737,0.01887,0.00344,0.00237,0.04864,0.00982
B_BlueGreen_Ratio,0.01707,0.01224,0.00438,0.0082,0.0441,0.01684,0.01333,0.00341,0.04148,0.01241
B_FLH_681,0.03634,0.00952,0.00507,0.0061,0.04425,0.01874,0.00417,0.00216,0.02739,0.00868
B_GLH,0.03888,0.0159,-0.00738,0.01215,0.03011,0.01667,0.00751,0.00372,0.04604,0.00815
B_GBI,-0.00028,0.00973,-0.01422,0.00757,0.04078,0.01568,0.00663,0.00247,0.04633,0.00985
B_DINI,0.01244,0.01221,-0.00692,0.00928,0.00454,0.01227,0.01087,0.00375,0.0445,0.01277
B_KBBI,0.01391,0.00809,0.00605,0.0077,-7e-05,0.00117,0.00416,0.00254,0.0329,0.01253
B_FLH_665,0.02634,0.00933,-0.01774,0.00699,0.02354,0.02049,0.00587,0.00292,0.01264,0.00665
B_rrs_560,0.00913,0.00993,-0.01527,0.00586,0.02554,0.0127,0.01006,0.00321,0.01723,0.00798
B_MCI,0.00497,0.00863,-0.00143,0.00844,0.0137,0.01767,0.0069,0.00314,0.01902,0.00871
B_Blue_Red_Ratio,0.00425,0.01071,0.00405,0.00484,0.01415,0.00933,0.00403,0.00236,0.01488,0.00868
B_rrs_490,0.01028,0.00867,-0.00323,0.00599,-0.0035,0.01332,0.01118,0.00368,0.02646,0.01023
B_Red_NIR_Ratio,0.00796,0.0102,-0.00849,0.00774,0.02079,0.00691,0.00887,0.00211,0.01174,0.01129
B_BLH,0.00883,0.008,0.00044,0.00517,-0.0002,0.01123,0.01118,0.00306,0.01665,0.01388
B_NDWI,0.00808,0.01139,0.00027,0.00551,0.01895,0.01654,0.00049,0.0017,0.00389,0.00678
B_NDNI,0.01279,0.01065,-0.00044,0.00631,0.00523,0.00867,0.0043,0.00207,0.00917,0.00829
B_Green_Red_Ratio,0.01323,0.00639,-0.00227,0.00633,0.00923,0.01047,0.00615,0.00188,0.00363,0.00839
B_CI,0.00665,0.01001,0.00373,0.00452,0.00415,0.00916,0.00593,0.00275,0.00871,0.00803
B_Fluorescence_Peak,0.00608,0.0094,-0.00278,0.00397,0.00048,0.01051,0.00471,0.00262,0.02064,0.00661
B_RBD,0.00192,0.00947,0.0021,0.00648,-0.00239,0.00456,0.00935,0.00302,0.01379,0.01262
B_rrs_682,0.00628,0.01323,-0.00694,0.00613,0.00267,0.00847,0.00526,0.0028,0.01097,0.00707
B_NDCI,-0.0091,0.01136,0.00445,0.00694,0.00905,0.0106,0.00225,0.00249,0.0101,0.00905
B_rrs_412,0.01378,0.01028,-0.00223,0.00465,-0.00559,0.00892,0.00644,0.00294,0.00298,0.00669
B_rrs_673,-0.00054,0.00887,-0.00077,0.00435,0.00242,0.00856,0.00195,0.00195,0.01231,0.00828
B_rrs_754,-0.00626,0.00821,0.00364,0.00549,0.00582,0.01496,7e-05,0.00194,0.01136,0.00954
B_rrs_709,-0.00313,0.00829,-0.00081,0.00708,0.00163,0.01274,0.00352,0.00134,0.01031,0.00898
B_rrs_665,-0.01003,0.00723,-0.00289,0.00475,0.00364,0.00873,0.00129,0.00255,0.00978,0.00709
B_rrs_865,-0.00678,0.00696,-0.00031,0.00534,0.00102,0.00634,0.00384,0.00195,0.00366,0.00741
B_EBI,-0.00459,0.00675,-0.01162,0.0049,7e-05,0.00484,0.00121,0.00196,0.00976,0.00441
B_RedEdge_Ratio,-0.00637,0.01009,-0.01444,0.00628,0.00436,0.01491,0.00352,0.00187,-0.01118,0.0077
