feature,Alexandrium_catenella_perm_mean,Alexandrium_catenella_perm_std,Dinophysis_acuminata_perm_mean,Dinophysis_acuminata_perm_std,Dinophysis_norvegica_perm_mean,Dinophysis_norvegica_perm_std,Karenia_perm_mean,Karenia_perm_std,Pseudo-nitzschia_perm_mean,Pseudo-nitzschia_perm_std
roms_salt_sur,0.03116,0.01508,0.02428,0.01131,0.07692,0.07692,0.26652,0.03025,0.26907,0.06123
doy_sin,0.07961,0.01529,0.07522,0.02356,0.0,0.0,0.06374,0.00873,0.25822,0.03801
doy_cos,0.09096,0.01618,0.03315,0.01071,0.1,0.07338,0.02988,0.00721,0.21028,0.05842
roms_temp_sur,0.06865,0.01983,0.072,0.02584,0.0,0.0,0.05219,0.00955,0.241,0.04804
roms_zeta,0.10034,0.0293,0.01727,0.01268,0.02308,0.05493,0.01448,0.00334,0.19481,0.04694
B_GBI,0.01559,0.00909,0.00924,0.00875,0.14615,0.03353,0.01088,0.0052,-0.00666,0.01129
B_FLH_681,0.01307,0.00878,-0.00307,0.00551,0.13846,0.04615,0.00784,0.00482,0.01698,0.01571
roms_v_sur,0.00526,0.00862,0.06304,0.01991,0.02308,0.05493,0.01464,0.00744,0.0238,0.0139
B_GLH,-0.0025,0.00812,0.03477,0.01946,0.1,0.07338,0.01549,0.0069,-0.02812,0.01722
roms_wind_speed,-0.00087,0.0087,0.01262,0.01201,0.01538,0.04615,0.01167,0.0053,0.04332,0.01604
B_FLHmax,0.02256,0.01085,0.00399,0.01016,0.0,0.0,0.00662,0.00395,0.03878,0.0182
roms_current_dir,-0.00108,0.0071,0.01642,0.0142,0.04066,0.06548,0.00656,0.00253,0.00852,0.01296
roms_Pair,0.00741,0.01372,0.00076,0.01586,0.0,0.0,0.01972,0.00371,0.03114,0.0135
B_RedEdge_Ratio,0.00599,0.00513,0.01101,0.01241,0.0,0.0,0.00394,0.00377,0.03484,0.02309
B_rrs_490,0.00404,0.00724,0.00861,0.00918,0.0,0.0,0.02499,0.00686,0.01608,0.0139
B_NDCI,0.00458,0.00499,0.00717,0.0078,0.0,0.0,0.00521,0.00266,0.03552,0.01569
B_BLH,1e-05,0.01019,-0.00983,0.01338,0.0,0.0,0.01835,0.00566,0.03754,0.02338
B_NDNI,0.00107,0.00475,0.00719,0.0094,0.0,0.0,0.00665,0.00567,0.03039,0.01437
roms_u_sur,0.00104,0.0059,0.01407,0.01449,0.0,0.0,0.00824,0.00298,0.02176,0.00947
B_FLH_665,0.00779,0.00829,0.00398,0.00557,0.0,0.0,0.00929,0.00373,0.0229,0.0156
B_rrs_709,0.00247,0.00645,0.00603,0.01036,0.0,0.0,0.00354,0.00261,0.03021,0.01477
B_rrs_560,-0.00157,0.00979,0.0047,0.00687,0.0,0.0,0.02103,0.0071,0.01745,0.01521
B_NDWI,0.00336,0.00379,0.00281,0.01256,0.00769,0.03353,0.00815,0.0031,0.01915,0.01097
B_DINI,0.00927,0.00905,0.01518,0.01345,0.0,0.0,0.00957,0.00391,0.00631,0.01587
B_rrs_682,0.0095,0.00643,0.0,0.0,0.0,0.0,0.00342,0.00428,0.02735,0.01552
B_RBD,0.01547,0.0087,0.0087,0.01115,0.0,0.0,0.00297,0.00259,0.0126,0.01014
B_Red_NIR_Ratio,-0.00806,0.00482,0.00223,0.00475,0.0,0.0,0.02058,0.00481,0.02272,0.01382
roms_current_speed,0.00728,0.00621,-0.0098,0.00885,0.01538,0.04615,0.00533,0.00387,0.01917,0.01229
B_KBBI,0.00037,0.00498,0.00942,0.00863,0.0,0.0,0.01038,0.00294,0.01639,0.01484
roms_Vwind,0.00582,0.00807,-0.0024,0.00157,0.0,0.0,0.00834,0.00494,0.02444,0.01715
B_CI,0.00404,0.00547,0.00809,0.00953,0.0,0.0,0.00728,0.00348,0.01667,0.01795
B_MCI,0.00877,0.00572,0.00773,0.01415,0.0,0.0,0.00576,0.00338,0.01353,0.01673
B_rrs_865,0.00018,0.00358,0.00452,0.00783,0.0,0.0,0.01025,0.0034,0.02035,0.01131
B_rrs_673,-0.00123,0.00731,0.00546,0.01058,0.0,0.0,0.0094,0.00328,0.02092,0.01204
B_Blue_Red_Ratio,-0.0044,0.00546,0.00463,0.00932,0.0,0.0,0.00735,0.00471,0.02681,0.0195
B_BlueGreen_Ratio,0.00038,0.00762,0.00889,0.01158,0.0,0.0,0.02062,0.00797,0.00293,0.01347
B_rrs_412,-0.00588,0.00544,0.019,0.01136,0.0,0.0,0.00776,0.00517,0.01129,0.01141
B_rrs_754,-0.00124,0.00533,-0.00086,0.00149,0.0,0.0,0.00447,0.00284,0.02887,0.01563
roms_Uwind,0.0095,0.00525,0.00209,0.00854,0.0,0.0,0.00763,0.00306,0.01025,0.01295
B_Fluorescence_Peak,-0.00159,0.00622,0.00499,0.00802,0.0,0.0,0.00939,0.00404,0.00878,0.01204
B_rrs_665,0.00545,0.00593,0.00102,0.00982,0.0,0.0,0.00443,0.0031,0.00984,0.01186
B_Green_Red_Ratio,-0.00211,0.00732,0.00129,0.00572,0.0,0.0,0.00682,0.00427,0.01274,0.01624
roms_wind_dir,0.00175,0.00629,-0.00091,0.0123,0.0,0.0,0.01132,0.00637,0.00648,0.01481
B_EBI,-0.0028,0.00438,-0.01274,0.00803,0.0,0.0,0.00252,0.00195,0.0077,0.01146
