feature,Alexandrium_catenella_perm_mean,Alexandrium_catenella_perm_std,Dinophysis_acuminata_perm_mean,Dinophysis_acuminata_perm_std,Dinophysis_norvegica_perm_mean,Dinophysis_norvegica_perm_std,Karenia_perm_mean,Karenia_perm_std,Pseudo-nitzschia_perm_mean,Pseudo-nitzschia_perm_std
doy_sin,0.08229,0.01392,0.07439,0.01126,0.10181,0.02588,0.04075,0.0059,0.08858,0.01033
roms_salt_sur,0.01117,0.01307,0.01891,0.00854,0.04565,0.02886,0.18461,0.01281,0.06929,0.00995
roms_temp_sur,0.01334,0.01223,0.02785,0.01079,0.10055,0.02075,0.02108,0.00364,0.06221,0.00781
doy_cos,0.03769,0.01152,0.01752,0.00755,0.01917,0.01256,0.01806,0.00253,0.08688,0.01636
roms_zeta,0.05628,0.02442,0.00401,0.00609,0.03066,0.02252,0.00687,0.00259,0.03437,0.00982
roms_current_dir,-0.0015,0.00576,0.0071,0.00675,0.05395,0.02653,0.00657,0.00272,0.02176,0.00612
B_GLH,-0.00699,0.0054,0.00917,0.00832,0.05478,0.01809,0.0033,0.00252,0.01492,0.00452
roms_Pair,0.00014,0.00901,0.0148,0.00521,0.00943,0.00886,0.01027,0.00267,0.02137,0.00798
B_BlueGreen_Ratio,-0.01113,0.01015,-0.00227,0.00928,0.0395,0.01327,0.00927,0.00262,0.0154,0.00698
B_DINI,-0.0115,0.00629,0.00954,0.00715,0.02598,0.01564,0.00641,0.00242,0.01466,0.0054
B_rrs_560,-0.00792,0.00641,0.00142,0.00869,0.0276,0.01691,0.00716,0.00318,0.01429,0.00637
B_GBI,-0.00328,0.00677,0.00433,0.00742,0.03414,0.01048,0.00167,0.00154,-0.00077,0.00801
roms_wind_speed,-0.00277,0.00514,-0.00025,0.00568,0.01713,0.00945,0.00501,0.00231,0.01483,0.00566
B_NDWI,-0.00721,0.00569,0.01284,0.00493,0.00823,0.00985,0.00099,0.00106,0.01215,0.00446
roms_v_sur,-0.01172,0.0071,0.00318,0.00711,0.00233,0.01117,0.00324,0.00219,0.02954,0.00749
B_rrs_490,-0.01058,0.00654,0.00831,0.00455,0.01741,0.01554,0.00493,0.00223,0.0053,0.0043
roms_Uwind,-0.01028,0.00637,0.00556,0.0054,0.00812,0.00977,0.00256,0.00177,0.01806,0.00639
roms_Vwind,-0.00403,0.00649,-0.01488,0.00582,0.03139,0.01733,0.0056,0.00184,0.00583,0.00515
B_FLHmax,-0.00831,0.0085,-0.00373,0.00572,0.01296,0.00786,0.00196,0.00104,0.0201,0.00489
B_BLH,-0.00726,0.00516,0.00754,0.00763,0.00061,0.00639,0.0053,0.00277,0.01471,0.00659
B_rrs_709,0.00016,0.00535,0.00288,0.00524,0.00651,0.00958,0.00293,0.00109,0.00781,0.00413
roms_wind_dir,-0.00829,0.00488,0.00403,0.00622,0.00382,0.01288,0.00924,0.00204,0.01102,0.0078
B_rrs_682,0.0004,0.00644,0.00918,0.00479,0.0018,0.00591,0.00348,0.00233,0.00165,0.00378
B_Green_Red_Ratio,-0.01355,0.00437,0.00597,0.00625,0.01393,0.00855,0.00171,0.00127,0.00827,0.00367
B_FLH_681,0.00016,0.00998,0.00546,0.00769,0.00181,0.00951,0.00012,0.00109,0.00822,0.00785
B_MCI,-0.00738,0.00406,0.00031,0.00456,0.01792,0.01594,0.00181,0.00129,0.00215,0.00257
B_NDCI,-0.0033,0.00555,-0.00078,0.00545,0.00641,0.00937,0.00222,0.00133,0.00853,0.00546
B_rrs_865,-0.00459,0.0038,0.00573,0.00482,0.00448,0.00906,0.00268,0.0013,0.00391,0.00296
roms_u_sur,-0.00304,0.00579,-0.0055,0.00569,0.00323,0.00805,0.0076,0.00218,0.00949,0.00607
B_Red_NIR_Ratio,-0.00761,0.00447,0.00213,0.00359,0.00957,0.00753,0.00421,0.00248,0.00201,0.00672
B_rrs_665,-0.00968,0.00444,-0.00431,0.00663,0.00794,0.00986,0.00328,0.00133,0.01278,0.00567
B_CI,-0.00645,0.0042,0.0081,0.00552,0.00113,0.00576,0.00221,0.0014,0.00445,0.00418
B_RBD,-0.00934,0.00547,0.00532,0.0046,-0.00248,0.00125,0.00254,0.00146,0.01255,0.00522
B_FLH_665,-0.00963,0.00581,-0.00767,0.00577,0.01526,0.01237,0.00442,0.002,0.00588,0.00543
roms_current_speed,-0.01047,0.00505,0.00321,0.0057,0.0015,0.01652,0.0023,0.00174,0.01028,0.00673
B_Fluorescence_Peak,-0.00456,0.00733,-0.00801,0.00654,0.00573,0.00912,0.00435,0.00147,0.00538,0.00515
B_NDNI,-0.00518,0.00478,0.00152,0.0057,0.00199,0.0068,0.00106,0.00119,0.00245,0.00417
B_Blue_Red_Ratio,-0.00555,0.00547,-0.00733,0.00503,0.00201,0.00955,0.00293,0.00171,0.00809,0.00393
B_KBBI,-0.00956,0.0056,-0.00609,0.00403,0.00526,0.00945,0.00547,0.00166,0.00502,0.00693
B_rrs_673,-0.01076,0.00412,-0.00319,0.00483,0.00764,0.01,0.00149,0.00166,0.00262,0.00379
B_RedEdge_Ratio,-0.01043,0.00553,-0.00683,0.00493,0.00822,0.01005,0.002,0.00151,0.00466,0.00584
B_rrs_754,-0.01389,0.00344,0.00022,0.00639,-0.00416,0.00483,0.00291,0.00137,0.01044,0.00551
B_rrs_412,-0.01553,0.00481,0.00204,0.00696,-0.00097,0.00658,0.00495,0.00124,0.00017,0.00471
B_EBI,-0.01191,0.00278,-0.00638,0.00337,-0.00051,0.00388,-0.00016,0.00091,0.00517,0.00493
