feature,Alexandrium_catenella_perm_mean,Alexandrium_catenella_perm_std,Dinophysis_acuminata_perm_mean,Dinophysis_acuminata_perm_std,Dinophysis_norvegica_perm_mean,Dinophysis_norvegica_perm_std,Karenia_perm_mean,Karenia_perm_std,Pseudo-nitzschia_perm_mean,Pseudo-nitzschia_perm_std
doy_sin,0.24075,0.03072,0.07682,0.02224,0.01538,0.04615,0.17261,0.01873,0.30283,0.05475
doy_cos,0.22474,0.02783,0.05174,0.02418,0.03846,0.06662,0.22956,0.02329,0.24609,0.0357
C_RBD,0.03917,0.02221,0.02002,0.01324,0.11538,0.06662,0.00412,0.00238,-0.00501,0.01027
C_rrs_412,-0.01154,0.0122,0.03069,0.02667,0.08462,0.07654,0.01293,0.00424,0.00506,0.03217
C_rrs_490,0.01262,0.01137,0.04073,0.01578,0.0,0.0,0.01363,0.00443,0.02438,0.02036
C_BLH,0.00871,0.01083,0.04585,0.01738,0.0022,0.0044,0.01049,0.00629,-0.0003,0.01416
C_DINI,-0.00488,0.01464,0.02461,0.01684,0.0,0.0,0.03606,0.00679,0.00752,0.01255
C_BlueGreen_Ratio,-0.0013,0.00938,0.02022,0.01647,0.0,0.0,0.018,0.00488,0.0176,0.01978
C_rrs_665,0.02267,0.01645,0.02699,0.01441,0.0,0.0,0.00481,0.00325,-5e-05,0.00596
C_MCI,0.01897,0.01112,0.02041,0.01282,0.0,0.0,0.00738,0.00293,-0.00277,0.00378
C_rrs_673,0.00562,0.01521,0.02682,0.00833,0.0,0.0,0.00503,0.00205,-0.00079,0.00238
C_Fluorescence_Peak,-0.00081,0.00885,0.03789,0.01276,0.0,0.0,0.00029,0.0023,-0.00119,0.00283
C_NDWI,0.00138,0.01382,0.02656,0.01051,0.0,0.0,0.0061,0.0022,-0.00159,0.00317
C_rrs_754,0.01238,0.01012,0.01777,0.01582,0.00055,0.00239,0.00111,0.00178,-0.00317,0.00388
C_rrs_682,0.00932,0.0141,0.01208,0.01032,0.0,0.0,0.00495,0.00336,0.0,0.0
C_Red_NIR_Ratio,-0.01012,0.01599,0.01792,0.01479,0.0,0.0,0.00864,0.00339,0.0063,0.01599
C_GLH,0.00061,0.01055,0.01847,0.0221,0.0,0.0,0.00736,0.00286,-0.00789,0.00719
C_NDNI,0.00285,0.00917,0.01667,0.00699,0.0,0.0,0.00375,0.00117,-0.00713,0.00238
C_EBI,0.00061,0.00121,0.01334,0.00614,0.0,0.0,0.0,0.0,0.00114,0.00498
C_rrs_560,0.01733,0.01378,0.01255,0.01687,0.0,0.0,0.00641,0.00388,-0.02129,0.01055
C_KBBI,0.012,0.01394,0.0241,0.01271,0.0,0.0,0.00234,0.00241,-0.02389,0.01578
C_NDCI,0.00551,0.01186,-0.00266,0.01657,0.0,0.0,0.00226,0.00058,0.00805,0.0056
C_rrs_865,-0.00507,0.0067,0.01852,0.01131,0.0,0.0,0.00514,0.0018,-0.00634,0.00317
C_FLHmax,0.00064,0.00747,0.01594,0.01189,0.0,0.0,0.00565,0.00514,-0.01016,0.00671
C_FLH_681,0.00621,0.01177,0.00658,0.00787,0.0,0.0,0.00298,0.00196,-0.00865,0.00526
C_RedEdge_Ratio,-0.00867,0.0105,0.01017,0.01312,0.0,0.0,0.00654,0.00168,-0.00594,0.00343
C_CI,0.00755,0.00885,-0.00469,0.01675,0.0,0.0,0.00488,0.00316,-0.00634,0.00317
C_Blue_Red_Ratio,0.00119,0.00718,0.00053,0.01381,0.0,0.0,0.00413,0.0031,-0.00476,0.00388
C_Green_Red_Ratio,0.00325,0.01056,0.00162,0.01469,0.0,0.0,0.00142,0.00446,-0.00555,0.00363
C_rrs_709,-0.0216,0.00809,0.01221,0.01862,0.0,0.0,0.00319,0.00193,-0.00357,0.00394
C_FLH_665,-0.00963,0.01014,-0.00363,0.00752,0.0,0.0,0.00316,0.00355,-0.00476,0.00388
C_GBI,0.01129,0.00807,-0.00718,0.01245,0.0,0.0,0.0019,0.00221,-0.02261,0.01232
