feature,Alexandrium_catenella_perm_mean,Alexandrium_catenella_perm_std,Dinophysis_acuminata_perm_mean,Dinophysis_acuminata_perm_std,Dinophysis_norvegica_perm_mean,Dinophysis_norvegica_perm_std,Karenia_perm_mean,Karenia_perm_std,Pseudo-nitzschia_perm_mean,Pseudo-nitzschia_perm_std
doy_sin,0.15015,0.02047,0.13306,0.01856,0.04485,0.01661,0.18283,0.01066,0.17727,0.01908
doy_cos,0.18591,0.02042,0.01001,0.00901,0.02844,0.01837,0.11865,0.01313,0.11559,0.01965
C_GLH,0.01218,0.00932,-0.00195,0.00688,0.03198,0.01144,0.00223,0.00413,0.02087,0.0085
C_RBD,0.01801,0.01527,-0.00578,0.0119,0.03776,0.01641,0.00033,0.00258,0.01354,0.0081
C_KBBI,0.01207,0.01312,0.00814,0.00839,0.04477,0.01236,-0.00137,0.00295,-0.00376,0.00768
C_Red_NIR_Ratio,0.00256,0.0084,-0.01771,0.00652,0.04658,0.01034,-0.00209,0.00244,0.02361,0.00675
C_rrs_490,-0.01242,0.00626,-0.01566,0.00617,0.0498,0.00933,0.01003,0.00492,0.02034,0.00952
C_rrs_560,-0.00558,0.01188,-0.0099,0.00878,0.04766,0.0197,0.00218,0.00419,0.01692,0.00821
C_rrs_682,0.01181,0.00831,-0.00715,0.00687,0.04323,0.01485,-0.00022,0.00251,8e-05,0.00724
C_MCI,0.01594,0.01036,-0.00358,0.00708,0.02541,0.00991,0.0027,0.00375,0.00562,0.00688
C_rrs_709,0.00545,0.00733,-0.00294,0.00466,0.03377,0.0184,-0.00449,0.0031,0.01388,0.0056
C_rrs_673,0.01584,0.009,-0.00636,0.00441,0.02521,0.01397,-0.00052,0.00207,0.01146,0.00447
C_BLH,0.00016,0.00675,0.00846,0.00692,0.00555,0.00951,0.00909,0.0027,0.0174,0.01059
C_NDNI,0.00161,0.00543,-0.01571,0.00431,0.04351,0.00996,-0.00457,0.00256,0.01493,0.00587
C_Blue_Red_Ratio,0.00797,0.0069,-0.00288,0.00581,0.02179,0.0167,0.00663,0.00242,0.00098,0.00629
C_Green_Red_Ratio,0.0045,0.00848,-0.00597,0.00767,0.02722,0.01308,-0.00013,0.00223,0.00733,0.00709
C_NDCI,0.00477,0.00544,-0.00585,0.00737,0.02591,0.01481,-0.00144,0.00232,0.00763,0.00545
C_BlueGreen_Ratio,0.00576,0.0083,-0.01856,0.00749,0.02168,0.01587,0.00736,0.0035,0.0147,0.00708
C_FLH_665,-0.00335,0.00897,-0.00359,0.00398,0.02271,0.01218,-0.00013,0.00282,0.0148,0.00698
C_FLHmax,0.00849,0.01067,-0.00694,0.00603,0.02665,0.01724,-0.0028,0.00215,0.00436,0.00876
C_GBI,-0.00823,0.0064,-0.01152,0.00622,0.03793,0.01149,-0.00209,0.00288,0.01146,0.00893
C_rrs_412,0.00298,0.00821,0.0001,0.00618,0.00755,0.01713,0.00785,0.00371,0.00681,0.00826
C_rrs_865,0.00816,0.00788,-0.00584,0.00614,0.00431,0.01969,-0.0007,0.00237,0.01883,0.00687
C_rrs_665,0.00085,0.01019,-0.01596,0.00709,0.03535,0.01738,-0.0047,0.00285,0.00865,0.00816
C_rrs_754,0.01318,0.00477,-0.00321,0.00567,0.00288,0.01077,-0.00184,0.00353,0.01307,0.00766
C_DINI,0.00039,0.01054,-0.01035,0.00582,0.01984,0.01793,-0.00032,0.0045,0.01304,0.01105
C_Fluorescence_Peak,0.0045,0.00785,-0.00899,0.00583,0.01893,0.01473,-0.00107,0.00197,0.00708,0.00676
C_EBI,0.00075,0.00299,0.00191,0.00158,0.00263,0.00839,-0.00165,0.00119,0.0025,0.00221
C_NDWI,0.00195,0.01105,-0.00493,0.00471,-0.00213,0.0122,-4e-05,0.00243,0.00798,0.00659
C_FLH_681,-0.00543,0.00708,-0.00689,0.0069,0.00343,0.01515,-0.00198,0.00174,0.00417,0.00659
C_RedEdge_Ratio,0.00296,0.00587,-0.01029,0.00476,0.00403,0.01385,-0.00369,0.00248,-0.00012,0.00797
C_CI,-0.00751,0.00828,-0.00714,0.0066,-0.00141,0.01157,-0.00162,0.00263,0.00476,0.00876
