feature,Alexandrium_catenella_perm_mean,Alexandrium_catenella_perm_std,Dinophysis_acuminata_perm_mean,Dinophysis_acuminata_perm_std,Dinophysis_norvegica_perm_mean,Dinophysis_norvegica_perm_std,Karenia_perm_mean,Karenia_perm_std,Pseudo-nitzschia_perm_mean,Pseudo-nitzschia_perm_std
roms_salt_sur,0.03984,0.0175,0.03083,0.02721,0.06154,0.07537,0.27817,0.0362,0.2503,0.05536
doy_sin,0.04579,0.01919,0.03906,0.01703,0.0,0.0,0.07065,0.0088,0.25898,0.04331
roms_temp_sur,0.07299,0.01483,0.01539,0.01508,0.0,0.0,0.0324,0.00868,0.284,0.04113
doy_cos,0.11929,0.02274,0.01044,0.01523,0.0,0.0,0.01859,0.00488,0.2324,0.04297
roms_zeta,0.10036,0.02912,0.037,0.02496,0.00769,0.03353,0.01468,0.00444,0.16511,0.03613
C_rrs_412,0.0144,0.00569,-0.00106,0.00345,0.06154,0.07537,-0.00242,0.00186,0.02199,0.01703
roms_current_dir,-0.00311,0.00956,0.00844,0.01679,0.05385,0.07338,0.00602,0.00308,0.01838,0.01654
C_BlueGreen_Ratio,8e-05,0.00657,0.00605,0.00985,0.0,0.0,0.00973,0.00228,0.04473,0.01589
roms_wind_dir,0.00933,0.0107,-0.00477,0.01174,0.0,0.0,0.00863,0.00225,0.03901,0.01513
roms_v_sur,0.00492,0.01028,0.00515,0.01989,0.0,0.0,0.00554,0.00393,0.03243,0.0076
roms_Pair,0.01557,0.01237,-0.02737,0.00985,0.0,0.0,0.00737,0.00353,0.05156,0.01291
C_RBD,-0.00346,0.00802,0.01017,0.01315,0.0,0.0,0.0035,0.00143,0.03372,0.01537
roms_Uwind,0.00543,0.00788,-0.00072,0.01245,0.0,0.0,0.00673,0.00377,0.03206,0.01514
C_Blue_Red_Ratio,0.00215,0.00696,0.00936,0.00882,0.0,0.0,0.00097,0.00187,0.03068,0.00692
C_KBBI,0.0179,0.01239,-0.0073,0.00651,0.0,0.0,0.0031,0.00135,0.02613,0.01275
roms_wind_speed,0.00843,0.00659,-0.00482,0.00785,0.0,0.0,0.00549,0.00302,0.02813,0.01141
roms_Vwind,0.00029,0.00492,-0.00869,0.01612,0.0,0.0,0.0059,0.00197,0.03962,0.01759
C_rrs_673,-0.00195,0.0066,-0.00202,0.00655,0.0,0.0,0.0,0.00139,0.03639,0.00907
roms_current_speed,0.0127,0.00919,-0.00871,0.01211,0.00769,0.03353,-0.0007,0.00121,0.0187,0.01429
C_rrs_560,-0.00109,0.0091,-0.01972,0.01347,0.0,0.0,0.0018,0.00377,0.04719,0.01991
C_MCI,0.00707,0.00566,-0.00417,0.00527,0.0,0.0,-0.00232,0.00213,0.02465,0.01026
C_rrs_665,-0.00542,0.00611,0.0113,0.00956,0.0,0.0,0.00294,0.00233,0.0152,0.00916
C_FLH_665,0.00079,0.00465,-0.00138,0.00755,0.0,0.0,-0.00058,0.0018,0.02208,0.01098
C_rrs_754,-0.0016,0.00395,-0.0069,0.01261,0.0,0.0,0.00252,0.00171,0.02467,0.01147
C_Fluorescence_Peak,-0.00493,0.00666,-0.00259,0.00526,0.0,0.0,0.00343,0.00175,0.02037,0.01161
C_GBI,0.00534,0.00324,-0.01433,0.01387,0.0,0.0,-0.00207,0.00147,0.02722,0.00847
C_NDWI,0.00522,0.00821,-0.01471,0.01312,0.0,0.0,0.00051,0.00177,0.02378,0.01003
C_rrs_682,-0.00418,0.00428,-0.00243,0.0058,0.0,0.0,0.00028,0.002,0.01953,0.01242
C_GLH,0.00468,0.00493,-0.00307,0.00954,0.0,0.0,0.00412,0.00105,0.00629,0.01167
C_NDNI,0.00588,0.00467,-0.01536,0.0057,0.0,0.0,0.00181,0.00194,0.01864,0.01068
C_Red_NIR_Ratio,0.00367,0.00787,-0.01084,0.0056,0.0,0.0,0.00295,0.00197,0.01438,0.01113
C_rrs_865,0.00572,0.00526,-0.01581,0.01318,0.0,0.0,0.00228,0.00214,0.01778,0.01008
C_CI,0.00146,0.00521,-0.00357,0.01008,0.0,0.0,0.00193,0.00189,0.00926,0.00838
C_rrs_709,0.00233,0.00555,-0.01713,0.01234,0.0,0.0,0.0013,0.00088,0.02205,0.00958
C_FLHmax,0.00012,0.00407,-0.01096,0.00665,0.0,0.0,-0.00152,0.00227,0.02035,0.01029
C_DINI,0.00249,0.00645,-0.01709,0.00803,0.0,0.0,0.00055,0.00307,0.01693,0.0108
C_rrs_490,0.00933,0.00611,-0.00735,0.00799,0.0,0.0,0.00454,0.00266,-0.00399,0.01361
C_FLH_681,-0.00192,0.00622,-0.02345,0.00954,0.0,0.0,-0.00269,0.00196,0.02636,0.00861
C_EBI,-0.00236,0.00188,-0.01611,0.0111,0.0,0.0,0.0013,0.00139,0.01013,0.00988
C_RedEdge_Ratio,-0.00123,0.00482,-0.01721,0.01381,0.0,0.0,0.00032,0.00221,0.00926,0.00838
roms_u_sur,0.00572,0.00568,-0.02702,0.01092,0.0,0.0,0.00125,0.00193,0.01011,0.01667
C_Green_Red_Ratio,-0.00191,0.00541,-0.03021,0.01798,0.0,0.0,-0.0048,0.00175,0.01784,0.01374
C_BLH,-0.00593,0.00283,-0.01139,0.02036,0.0,0.0,0.00081,0.00298,-0.00978,0.01202
C_NDCI,-0.00374,0.00336,-0.02498,0.00849,0.0,0.0,-0.00166,0.00194,0.00044,0.01137
