feature,Alexandrium_catenella_perm_mean,Alexandrium_catenella_perm_std,Dinophysis_acuminata_perm_mean,Dinophysis_acuminata_perm_std,Dinophysis_norvegica_perm_mean,Dinophysis_norvegica_perm_std,Karenia_perm_mean,Karenia_perm_std,Pseudo-nitzschia_perm_mean,Pseudo-nitzschia_perm_std
roms_salt_sur,0.04355,0.01885,-0.0053,0.01407,0.06556,0.02968,0.17616,0.0124,0.01691,0.00982
doy_sin,0.04637,0.01248,0.04884,0.01541,0.05576,0.02745,0.0414,0.0053,0.05161,0.01515
roms_zeta,0.07644,0.02189,-0.00093,0.00766,0.0532,0.01891,-0.00054,0.00269,0.02791,0.00855
roms_temp_sur,0.03412,0.01682,-0.01244,0.00747,0.03264,0.01082,0.01622,0.00439,0.04713,0.01248
doy_cos,0.06565,0.01706,-0.00743,0.00854,0.01739,0.01577,0.00935,0.00514,0.02813,0.0112
roms_current_dir,0.02397,0.0122,-0.01483,0.00966,0.08135,0.02117,0.00119,0.00174,0.00149,0.00672
C_rrs_560,0.02213,0.01365,-0.00294,0.00444,0.05615,0.01499,0.00227,0.00215,-0.00318,0.00524
C_rrs_490,0.01073,0.00676,-0.00647,0.00437,0.05029,0.0194,0.00252,0.00274,-0.00197,0.00791
roms_u_sur,0.01886,0.00647,-0.00527,0.00497,0.01097,0.01362,0.00282,0.00189,0.00656,0.00436
roms_Pair,0.01521,0.00648,-0.01443,0.00508,0.01319,0.01226,0.00821,0.00303,0.01174,0.00699
roms_current_speed,0.00852,0.0085,-0.00279,0.00452,0.02302,0.01944,-0.00283,0.00185,0.0011,0.00629
roms_v_sur,0.01008,0.00875,-0.00866,0.00768,0.02193,0.01471,-0.0025,0.00207,0.00421,0.0068
roms_Uwind,0.01824,0.00994,-0.00254,0.00433,-0.00513,0.0055,0.00416,0.00286,0.00343,0.00599
C_KBBI,0.01441,0.01004,-0.00239,0.00496,0.00575,0.01146,-0.00063,0.00158,-0.00103,0.00582
roms_wind_dir,0.01725,0.00558,-0.01867,0.00592,0.01192,0.01133,0.00442,0.0032,0.00073,0.00372
C_BlueGreen_Ratio,0.00282,0.00853,-0.00553,0.00422,0.01093,0.01442,0.00204,0.00231,0.00398,0.00669
C_Red_NIR_Ratio,0.01502,0.00844,-0.00826,0.00419,0.00775,0.01008,-0.00293,0.00115,-0.00056,0.00365
C_BLH,0.00112,0.00852,-0.00276,0.00326,0.0131,0.01557,-0.00074,0.00194,-0.00049,0.00374
C_Fluorescence_Peak,0.01264,0.00634,-0.01006,0.004,0.00426,0.01017,0.00015,0.00121,0.00111,0.00549
C_MCI,0.00514,0.0064,-0.00355,0.00359,0.0113,0.01347,-0.0037,0.00167,-0.00351,0.00462
C_Green_Red_Ratio,0.01119,0.00805,-0.01048,0.00526,0.00461,0.00896,0.00179,0.0015,-0.00195,0.00238
C_RBD,0.00904,0.0107,-0.0102,0.00624,0.01407,0.01273,-0.00132,0.00168,-0.00714,0.0038
C_GLH,0.00545,0.00532,-0.01405,0.00414,0.01002,0.01349,-0.0015,0.00206,0.00303,0.00609
C_rrs_673,0.01104,0.0069,-0.01088,0.00501,0.0038,0.00923,-0.00242,0.00149,0.00088,0.00146
roms_wind_speed,0.00535,0.00672,-0.00806,0.00578,0.00095,0.01136,0.00131,0.00216,0.00264,0.00543
C_DINI,0.00879,0.01083,-0.00527,0.0032,0.00426,0.00621,0.00049,0.00233,-0.00633,0.007
C_rrs_665,-0.00018,0.00643,-0.00893,0.00473,0.01033,0.00466,-0.00199,0.00159,-0.00072,0.00509
C_rrs_865,0.00171,0.00812,-0.00534,0.00469,0.00054,0.00933,-0.00066,0.00143,0.00207,0.00372
C_NDNI,0.0011,0.00818,-0.00967,0.0038,0.00905,0.0128,-0.00065,0.00108,-0.00179,0.00383
C_EBI,0.00108,0.00169,0.00091,0.00073,-0.00164,0.00421,-0.00236,0.00085,0.0,0.0
C_rrs_412,0.00613,0.00824,-0.00676,0.00644,0.00055,0.00928,-0.00013,0.00214,-0.00359,0.00648
roms_Vwind,0.00378,0.00714,-0.00637,0.00769,0.00344,0.01026,0.00084,0.00234,-0.00677,0.0057
C_CI,-0.0018,0.00665,-0.00921,0.00643,0.00325,0.00991,-0.00065,0.00149,-0.00074,0.00406
C_rrs_709,0.00305,0.00503,-0.00372,0.00488,-0.00384,0.00173,-0.0018,0.00092,-0.00313,0.00337
C_GBI,-0.00854,0.00668,-0.00305,0.00253,0.00634,0.00874,-0.00037,0.0025,-0.00387,0.0051
C_FLH_665,0.00118,0.00555,-0.00786,0.00482,0.00101,0.00868,-0.00151,0.00164,-0.00437,0.00331
C_RedEdge_Ratio,-0.0027,0.00441,-0.00726,0.00539,0.01217,0.00779,-0.00447,0.00118,-0.01205,0.00452
C_FLH_681,-0.00182,0.00646,-0.00638,0.00315,0.00313,0.01071,-0.00348,0.00211,-0.00605,0.00334
C_rrs_754,0.00417,0.00559,-0.01153,0.00312,-0.00213,0.00438,-0.00275,0.00135,-0.00381,0.00309
C_FLHmax,0.00154,0.00619,-0.01121,0.00512,-0.0012,0.00752,-0.00207,0.0016,-0.00317,0.00393
C_NDWI,0.00029,0.0103,-0.01507,0.00388,0.00153,0.00954,-0.00262,0.00145,-0.00407,0.00308
C_rrs_682,-0.00335,0.00711,-0.01536,0.00443,0.00614,0.0079,-0.00309,0.00126,-0.00429,0.00347
C_Blue_Red_Ratio,0.00292,0.00739,-0.01877,0.00442,0.00102,0.009,-0.00199,0.0017,-0.00585,0.0044
C_NDCI,-0.00594,0.0069,-0.01372,0.00539,0.00118,0.00927,-0.00197,0.0017,-0.00649,0.00342
