ac,track,tier,species,fold,n_positive,f1,prauc
ACOLITE,ACOLITE_only,closure,Alexandrium_catenella,0,54,0.65854,0.65814
ACOLITE,ACOLITE_only,closure,Alexandrium_catenella,1,641,0.02699,0.44169
ACOLITE,ACOLITE_only,closure,Alexandrium_catenella,2,58,0.6729,0.70524
ACOLITE,ACOLITE_only,closure,Alexandrium_catenella,3,81,0.40994,0.4313
ACOLITE,ACOLITE_only,closure,Alexandrium_catenella,4,150,0.22222,0.26637
ACOLITE,ACOLITE_only,closure,Alexandrium_catenella,5,62,0.55856,0.61158
ACOLITE,ACOLITE_only,closure,Alexandrium_catenella,6,67,0.48598,0.50989
ACOLITE,ACOLITE_only,closure,Alexandrium_catenella,7,64,0.45833,0.49487
ACOLITE,ACOLITE_only,closure,Alexandrium_catenella,8,66,0.51852,0.53481
ACOLITE,ACOLITE_only,closure,Alexandrium_catenella,9,60,0.58182,0.66283
ACOLITE,ACOLITE_roms,closure,Alexandrium_catenella,0,54,0.72727,0.84702
ACOLITE,ACOLITE_roms,closure,Alexandrium_catenella,1,641,0.02154,0.4728
ACOLITE,ACOLITE_roms,closure,Alexandrium_catenella,2,58,0.76364,0.82874
ACOLITE,ACOLITE_roms,closure,Alexandrium_catenella,3,81,0.54839,0.506
ACOLITE,ACOLITE_roms,closure,Alexandrium_catenella,4,150,0.21053,0.21246
ACOLITE,ACOLITE_roms,closure,Alexandrium_catenella,5,62,0.63551,0.68861
ACOLITE,ACOLITE_roms,closure,Alexandrium_catenella,6,67,0.55856,0.58525
ACOLITE,ACOLITE_roms,closure,Alexandrium_catenella,7,64,0.53608,0.63415
ACOLITE,ACOLITE_roms,closure,Alexandrium_catenella,8,66,0.52083,0.58875
ACOLITE,ACOLITE_roms,closure,Alexandrium_catenella,9,60,0.57944,0.6777
ACOLITE,ACOLITE_only,closure,Dinophysis_acuminata,0,22,0.08621,0.0753
ACOLITE,ACOLITE_only,closure,Dinophysis_acuminata,1,834,0.6601,0.6466
ACOLITE,ACOLITE_only,closure,Dinophysis_acuminata,2,31,0.11538,0.12012
ACOLITE,ACOLITE_only,closure,Dinophysis_acuminata,3,443,0.7123,0.63559
ACOLITE,ACOLITE_only,closure,Dinophysis_acuminata,4,502,0.83716,0.94016
ACOLITE,ACOLITE_only,closure,Dinophysis_acuminata,5,51,0.4186,0.50405
ACOLITE,ACOLITE_only,closure,Dinophysis_acuminata,6,55,0.13043,0.14612
ACOLITE,ACOLITE_only,closure,Dinophysis_acuminata,7,51,0.16216,0.21191
ACOLITE,ACOLITE_only,closure,Dinophysis_acuminata,8,52,0.20253,0.31244
ACOLITE,ACOLITE_only,closure,Dinophysis_acuminata,9,50,0.2973,0.28612
ACOLITE,ACOLITE_roms,closure,Dinophysis_acuminata,0,22,0.4,0.24318
ACOLITE,ACOLITE_roms,closure,Dinophysis_acuminata,1,834,0.38268,0.6805
ACOLITE,ACOLITE_roms,closure,Dinophysis_acuminata,2,31,0.2439,0.22679
ACOLITE,ACOLITE_roms,closure,Dinophysis_acuminata,3,443,0.57179,0.65839
ACOLITE,ACOLITE_roms,closure,Dinophysis_acuminata,4,502,0.62087,0.92268
ACOLITE,ACOLITE_roms,closure,Dinophysis_acuminata,5,51,0.61538,0.65076
ACOLITE,ACOLITE_roms,closure,Dinophysis_acuminata,6,55,0.19549,0.17119
ACOLITE,ACOLITE_roms,closure,Dinophysis_acuminata,7,51,0.2716,0.30813
ACOLITE,ACOLITE_roms,closure,Dinophysis_acuminata,8,52,0.32,0.41154
ACOLITE,ACOLITE_roms,closure,Dinophysis_acuminata,9,50,0.39474,0.47451
ACOLITE,ACOLITE_only,closure,Dinophysis_norvegica,0,4,0.0,0.01363
ACOLITE,ACOLITE_only,closure,Dinophysis_norvegica,1,205,0.0,0.15519
ACOLITE,ACOLITE_only,closure,Dinophysis_norvegica,2,4,0.0,0.22738
ACOLITE,ACOLITE_only,closure,Dinophysis_norvegica,3,7,0.0,0.00853
ACOLITE,ACOLITE_only,closure,Dinophysis_norvegica,4,7,0.0,0.01113
ACOLITE,ACOLITE_only,closure,Dinophysis_norvegica,5,5,0.0,0.00989
ACOLITE,ACOLITE_only,closure,Dinophysis_norvegica,6,5,0.0,0.02694
ACOLITE,ACOLITE_only,closure,Dinophysis_norvegica,7,6,0.0,0.02231
ACOLITE,ACOLITE_only,closure,Dinophysis_norvegica,8,7,0.0,0.04479
ACOLITE,ACOLITE_only,closure,Dinophysis_norvegica,9,5,0.0,0.04929
ACOLITE,ACOLITE_roms,closure,Dinophysis_norvegica,0,4,0.0,0.01339
ACOLITE,ACOLITE_roms,closure,Dinophysis_norvegica,1,205,0.0,0.14863
ACOLITE,ACOLITE_roms,closure,Dinophysis_norvegica,2,4,0.0,0.08661
ACOLITE,ACOLITE_roms,closure,Dinophysis_norvegica,3,7,0.0,0.00836
ACOLITE,ACOLITE_roms,closure,Dinophysis_norvegica,4,7,0.0,0.02852
