ac,track,tier,n_samples,n_features,n_folds_used,n_spatial_groups,block_size_m,avg_zero_pos_species_per_fold,avg_train_excluded_species_per_fold,cv_f1_macro_mean,cv_f1_macro_median,cv_f1_macro_std,cv_prauc_macro_mean,cv_prauc_macro_median,cv_prauc_macro_std,cv_hamming_mean,cv_hamming_std,cv_subset_acc_mean,cv_subset_acc_std,cv_jaccard_mean,cv_jaccard_std,random_f1_macro_mean,random_f1_macro_std,leakage_ratio,leakage_gate_pass
ACOLITE,ACOLITE_only,closure,9188,31,10,399,10000.0,0.0,0.0,0.3528,0.34816,0.063,0.42738,0.42963,0.04547,0.08315,0.05055,0.64971,0.16229,0.24713,0.05066,0.6854,0.02285,0.51474,False
ACOLITE,ACOLITE_roms,closure,9188,43,10,399,10000.0,0.0,0.0,0.40515,0.40461,0.08077,0.48021,0.49302,0.05653,0.08575,0.05985,0.65544,0.16924,0.29224,0.06274,0.68251,0.03136,0.59361,False
Baseline,Baseline_only,closure,9188,32,10,399,10000.0,0.0,0.0,0.30076,0.29108,0.07302,0.40293,0.40531,0.05581,0.08501,0.05158,0.64913,0.15142,0.20249,0.05792,0.6738,0.02573,0.44636,False
Baseline,Baseline_roms,closure,9188,44,10,399,10000.0,0.0,0.0,0.37038,0.38227,0.07484,0.46779,0.48846,0.06051,0.08837,0.06109,0.64687,0.18186,0.25983,0.05581,0.67759,0.01601,0.54661,False
C2RCC,C2RCC_only,closure,9188,32,10,399,10000.0,0.0,0.0,0.28897,0.29584,0.05133,0.37394,0.3792,0.05243,0.10081,0.04904,0.58264,0.15553,0.18952,0.03635,0.61861,0.02904,0.46714,False
C2RCC,C2RCC_roms,closure,9188,44,10,399,10000.0,0.0,0.0,0.38251,0.40038,0.0798,0.46221,0.4741,0.05928,0.08895,0.06248,0.64212,0.18184,0.27054,0.06009,0.64471,0.0205,0.5933,False
ACOLITE,ACOLITE_only,warning,9188,31,10,399,10000.0,0.0,0.0,0.43631,0.4577,0.07804,0.52355,0.53852,0.07724,0.17884,0.07403,0.41612,0.13022,0.31532,0.07117,0.74168,0.01994,0.58827,False
ACOLITE,ACOLITE_roms,warning,9188,43,10,399,10000.0,0.0,0.0,0.4652,0.49769,0.09005,0.56695,0.57422,0.05988,0.17297,0.08552,0.43852,0.15978,0.34448,0.07943,0.7521,0.01848,0.61853,False
Baseline,Baseline_only,warning,9188,32,10,399,10000.0,0.0,0.0,0.40286,0.40272,0.0614,0.49349,0.49583,0.07186,0.17854,0.08555,0.42983,0.14618,0.28731,0.05911,0.72529,0.01341,0.55544,False
Baseline,Baseline_roms,warning,9188,44,10,399,10000.0,0.0,0.0,0.44737,0.45571,0.07923,0.55894,0.56303,0.05277,0.1722,0.0891,0.4391,0.15023,0.3277,0.07303,0.7434,0.017,0.60179,False
C2RCC,C2RCC_only,warning,9188,32,10,399,10000.0,0.0,0.0,0.39039,0.40211,0.09733,0.47147,0.49636,0.08859,0.20523,0.0731,0.36723,0.12242,0.27342,0.08151,0.68306,0.00864,0.57154,False
C2RCC,C2RCC_roms,warning,9188,44,10,399,10000.0,0.0,0.0,0.45012,0.48641,0.09506,0.55109,0.56915,0.06836,0.17799,0.08541,0.41846,0.13563,0.32651,0.08447,0.71917,0.01134,0.62588,False
